dataset,model,method,model_seed,test_accuracy_original,test_macro_f1_original,total_training_time_sec_original,mean_epoch_time_sec_original,median_epoch_time_sec_original,peak_gpu_memory_allocated_bytes_original,peak_gpu_memory_reserved_bytes_original,runtime_over_bp_original,test_accuracy_patched,test_macro_f1_patched,total_training_time_sec_patched,mean_epoch_time_sec_patched,median_epoch_time_sec_patched,peak_gpu_memory_allocated_bytes_patched,peak_gpu_memory_reserved_bytes_patched,runtime_over_bp_patched,test_accuracy_difference,test_accuracy_ratio,test_macro_f1_difference,test_macro_f1_ratio,total_training_time_sec_difference,total_training_time_sec_ratio,mean_epoch_time_sec_difference,mean_epoch_time_sec_ratio,median_epoch_time_sec_difference,median_epoch_time_sec_ratio,peak_gpu_memory_allocated_bytes_difference,peak_gpu_memory_allocated_bytes_ratio,peak_gpu_memory_reserved_bytes_difference,peak_gpu_memory_reserved_bytes_ratio,runtime_over_bp_difference,runtime_over_bp_ratio
MNIST,lenet_classic,bp,0,0.9852,0.9851698419148791,25.328498695002054,2.5328498695002053,1.7112152330009849,129994240.0,138412032.0,1.0,0.9852,0.9851698419148791,25.30423496200092,2.530423496200092,1.7258620030006568,129994240,138412032,1.0,0.0,1.0,0.0,1.0,-0.024263733001134824,0.9990420382473786,-0.0024263733001133048,0.9990420382473786,0.01464676999967196,1.008559279813087,0.0,1.0,0.0,1.0,0.0,1.0
MNIST,lenet_classic,fixedpred,0,0.9857,0.9856437345949873,68.10183420299654,6.810183420299654,5.980447298999934,160873472.0,174063616.0,2.688743419934113,0.9857,0.9856437345949873,46.400240534007025,4.640024053400703,3.807326527501573,163132416,195035136,1.833694660347793,0.0,1.0,0.0,1.0,-21.701593668989517,0.6813361354658694,-2.170159366898951,0.6813361354658694,-2.173120771498361,0.636629057518531,2258944.0,1.0140417433148954,20971520.0,1.1204819277108433,-0.8550487595863199,0.6819894552797184
MNIST,lenet_classic,exact,0,0.9852,0.9851698419148791,29.836121654007002,2.9836121654007,2.1368017790009617,164927488.0,186646528.0,1.1779664485165249,0.9852,0.9851698419148791,25.367778143008763,2.5367778143008763,1.7326419284981966,133660160,140509184,1.00251116783824,0.0,1.0,0.0,1.0,-4.468343510998238,0.8502371198637965,-0.44683435109982383,0.8502371198637965,-0.40415985050276504,0.8108575842295838,-31267328.0,0.8104177273348152,-46137344.0,0.7528089887640449,-0.17545528067828497,0.85105239550817
MNIST,lenet_classic,strict,0,0.9857,0.9856049359203727,126.90449741499833,12.690449741499833,11.874323860000004,156862464.0,188743680.0,5.0103442348929965,0.9857,0.9856049359203727,94.36735851598496,9.436735851598495,8.620630014498602,156148736,167772160,3.7293108705991447,0.0,1.0,0.0,1.0,-32.53713889901337,0.7436092529281162,-3.253713889901338,0.7436092529281161,-3.2536938455014024,0.7259891271399599,-713728.0,0.9954499758463567,-20971520.0,0.8888888888888888,-1.2810333642938518,0.7443222852089703
MNIST,lenet_classic,fixedpred,1,0.9861,0.9860246545391946,68.35306048099665,6.835306048099665,6.006117410501247,160873472.0,174063616.0,2.6745397973577583,0.9861,0.9860246545391946,47.21960535499966,4.721960535499965,3.8895916049987136,163132416,195035136,1.87313508770421,0.0,1.0,0.0,1.0,-21.13345512599699,0.6908191823850746,-2.1133455125996994,0.6908191823850746,-2.1165258055025333,0.6476049899054677,2258944.0,1.0140417433148954,20971520.0,1.1204819277108433,-0.8014047096535484,0.7003579043971321
MNIST,lenet_classic,strict,1,0.9856,0.9854972959542063,127.40024549600275,12.740024549600275,11.938542882000547,156862464.0,188743680.0,4.984956406844998,0.9856,0.9854972959542063,93.86430488399492,9.386430488399492,8.531961067499651,156148736,167772160,3.7234644728465622,0.0,1.0,0.0,1.0,-33.535940612007835,0.736767064447611,-3.3535940612007824,0.736767064447611,-3.406581814500896,0.7146568179910031,-713728.0,0.9954499758463567,-20971520.0,0.8888888888888888,-1.2614919339984358,0.7469402275481803
MNIST,lenet_classic,exact,1,0.9857,0.9856229374705704,29.155347657993843,2.9155347657993844,2.097882682499403,164927488.0,186646528.0,1.1407995058068374,0.9857,0.9856229374705704,25.03354429500905,2.503354429500905,1.69191123550263,133660160,140509184,0.993045364018785,0.0,1.0,0.0,1.0,-4.121803362984792,0.858626163154166,-0.4121803362984795,0.8586261631541658,-0.405971446996773,0.8064851526811302,-31267328.0,0.8104177273348152,-46137344.0,0.7528089887640449,-0.14775414178805246,0.8704819374167309
MNIST,lenet_classic,bp,1,0.9857,0.9856229374705704,25.556942749000882,2.5556942749000884,1.7391832855028042,129994240.0,138412032.0,1.0,0.9857,0.9856229374705704,25.208862758998293,2.520886275899829,1.703516250501707,129994240,138412032,1.0,0.0,1.0,0.0,1.0,-0.3480799900025886,0.9863802179540353,-0.034807999000259215,0.9863802179540352,-0.03566703500109725,0.9794920780929736,0.0,1.0,0.0,1.0,0.0,1.0
MNIST,lenet_classic,exact,2,0.9859,0.9858467534060436,29.303931281992845,2.9303931281992845,2.1112618209990615,164927488.0,186646528.0,1.1664786301080032,0.9859,0.9858467534060436,25.333612089008966,2.5333612089008968,1.7173441534978338,133660160,140509184,0.988865638847991,0.0,1.0,0.0,1.0,-3.9703191929838795,0.8645124043331475,-0.39703191929838777,0.8645124043331475,-0.3939176675012277,0.8134207403443579,-31267328.0,0.8104177273348152,-46137344.0,0.7528089887640449,-0.1776129912600123,0.8477357521384106
MNIST,lenet_classic,bp,2,0.9859,0.9858467534060436,25.121704354995018,2.5121704354995016,1.700824500499948,129994240.0,138412032.0,1.0,0.9859,0.9858467534060436,25.61886174801475,2.561886174801475,1.7451821440008644,129994240,138412032,1.0,0.0,1.0,0.0,1.0,0.4971573930197337,1.0197899547735456,0.04971573930197337,1.0197899547735456,0.04435764350091631,1.0260800826233851,0.0,1.0,0.0,1.0,0.0,1.0
