dataset,model,method,metric,n,mean,std,ci_low,ci_high
FashionMNIST,lenet_classic,bp,test_accuracy_difference,10,0.0,0.0,0.0,0.0
FashionMNIST,lenet_classic,bp,test_macro_f1_difference,10,0.0,0.0,0.0,0.0
FashionMNIST,lenet_classic,bp,total_training_time_sec_difference,10,-0.08185783250846726,0.19854837387452812,-0.22389078293236586,0.06017511791543134
FashionMNIST,lenet_classic,bp,mean_epoch_time_sec_difference,10,-0.00818578325084669,0.019854837387452803,-0.022389078293236542,0.006017511791543164
FashionMNIST,lenet_classic,bp,median_epoch_time_sec_difference,10,-0.0148555439995107,0.0188126991857607,-0.02831333828232584,-0.0013977497166955608
FashionMNIST,lenet_classic,bp,peak_gpu_memory_allocated_bytes_difference,10,0.0,0.0,0.0,0.0
FashionMNIST,lenet_classic,bp,peak_gpu_memory_reserved_bytes_difference,10,0.0,0.0,0.0,0.0
FashionMNIST,lenet_classic,bp,runtime_over_bp_difference,10,0.0,0.0,0.0,0.0
FashionMNIST,lenet_classic,bp,test_accuracy_ratio,10,1.0,0.0,1.0,1.0
FashionMNIST,lenet_classic,bp,test_macro_f1_ratio,10,1.0,0.0,1.0,1.0
FashionMNIST,lenet_classic,bp,total_training_time_sec_ratio,10,0.9968078918039571,0.007772052465134533,0.9912481003993194,1.0023676832085948
FashionMNIST,lenet_classic,bp,mean_epoch_time_sec_ratio,10,0.9968078918039571,0.007772052465134541,0.9912481003993194,1.0023676832085948
FashionMNIST,lenet_classic,bp,median_epoch_time_sec_ratio,10,0.9915113908082182,0.010758470302213672,0.9838152447796591,0.9992075368367772
FashionMNIST,lenet_classic,bp,peak_gpu_memory_allocated_bytes_ratio,10,1.0,0.0,1.0,1.0
FashionMNIST,lenet_classic,bp,peak_gpu_memory_reserved_bytes_ratio,10,1.0,0.0,1.0,1.0
FashionMNIST,lenet_classic,bp,runtime_over_bp_ratio,10,1.0,0.0,1.0,1.0
FashionMNIST,lenet_classic,exact,test_accuracy_difference,10,0.0,0.0,0.0,0.0
FashionMNIST,lenet_classic,exact,test_macro_f1_difference,10,0.0,0.0,0.0,0.0
FashionMNIST,lenet_classic,exact,total_training_time_sec_difference,10,-4.212295130501661,0.3591810712087745,-4.469237790291148,-3.9553524707121746
FashionMNIST,lenet_classic,exact,mean_epoch_time_sec_difference,10,-0.4212295130501661,0.03591810712087747,-0.4469237790291148,-0.3955352470712174
FashionMNIST,lenet_classic,exact,median_epoch_time_sec_difference,10,-0.41791334335102875,0.03154110421696748,-0.4404764900751344,-0.3953501966269231
FashionMNIST,lenet_classic,exact,peak_gpu_memory_allocated_bytes_difference,10,-31267328.0,0.0,-31267328.0,-31267328.0
FashionMNIST,lenet_classic,exact,peak_gpu_memory_reserved_bytes_difference,10,-46137344.0,0.0,-46137344.0,-46137344.0
FashionMNIST,lenet_classic,exact,runtime_over_bp_difference,10,-0.1613894918876439,0.00665980387541576,-0.16615362858245047,-0.15662535519283732
FashionMNIST,lenet_classic,exact,test_accuracy_ratio,10,1.0,0.0,1.0,1.0
FashionMNIST,lenet_classic,exact,test_macro_f1_ratio,10,1.0,0.0,1.0,1.0
FashionMNIST,lenet_classic,exact,total_training_time_sec_ratio,10,0.8582076732987141,0.01149003783897745,0.8499881953805342,0.866427151216894
FashionMNIST,lenet_classic,exact,mean_epoch_time_sec_ratio,10,0.8582076732987141,0.01149003783897746,0.8499881953805342,0.866427151216894
FashionMNIST,lenet_classic,exact,median_epoch_time_sec_ratio,10,0.8057263183390979,0.01356913770179798,0.7960195419758099,0.8154330947023859
FashionMNIST,lenet_classic,exact,peak_gpu_memory_allocated_bytes_ratio,10,0.8104177273348153,1.1702778228589004e-16,0.8104177273348152,0.8104177273348154
FashionMNIST,lenet_classic,exact,peak_gpu_memory_reserved_bytes_ratio,10,0.7528089887640449,0.0,0.7528089887640449,0.7528089887640449
FashionMNIST,lenet_classic,exact,runtime_over_bp_ratio,10,0.8609244536491362,0.0052452038372439854,0.8571722608608472,0.8646766464374251
FashionMNIST,lenet_classic,fixedpred,test_accuracy_difference,10,0.0,0.0,0.0,0.0
FashionMNIST,lenet_classic,fixedpred,test_macro_f1_difference,10,0.0,0.0,0.0,0.0
FashionMNIST,lenet_classic,fixedpred,total_training_time_sec_difference,10,-21.683751584794663,0.6487749135816984,-22.14785719965732,-21.219645969932007
FashionMNIST,lenet_classic,fixedpred,mean_epoch_time_sec_difference,10,-2.168375158479466,0.06487749135816968,-2.2147857199657315,-2.121964596993201
FashionMNIST,lenet_classic,fixedpred,median_epoch_time_sec_difference,10,-2.170560074300556,0.06423110053999671,-2.216508235651074,-2.124611912950038
FashionMNIST,lenet_classic,fixedpred,peak_gpu_memory_allocated_bytes_difference,10,2258944.0,0.0,2258944.0,2258944.0
FashionMNIST,lenet_classic,fixedpred,peak_gpu_memory_reserved_bytes_difference,10,20971520.0,0.0,20971520.0,20971520.0
FashionMNIST,lenet_classic,fixedpred,runtime_over_bp_difference,10,-0.8411970948327113,0.030889644542797006,-0.8632942153799262,-0.8190999742854964
FashionMNIST,lenet_classic,fixedpred,test_accuracy_ratio,10,1.0,0.0,1.0,1.0
FashionMNIST,lenet_classic,fixedpred,test_macro_f1_ratio,10,1.0,0.0,1.0,1.0
FashionMNIST,lenet_classic,fixedpred,total_training_time_sec_ratio,10,0.6857906801201528,0.008063132116351231,0.6800226628768246,0.691558697363481
FashionMNIST,lenet_classic,fixedpred,mean_epoch_time_sec_ratio,10,0.6857906801201528,0.008063132116351228,0.6800226628768246,0.691558697363481
FashionMNIST,lenet_classic,fixedpred,median_epoch_time_sec_ratio,10,0.6420803297408247,0.00887379777308474,0.6357323972215047,0.6484282622601448
FashionMNIST,lenet_classic,fixedpred,peak_gpu_memory_allocated_bytes_ratio,10,1.0140417433148952,2.340555645717801e-16,1.014041743314895,1.0140417433148954
FashionMNIST,lenet_classic,fixedpred,peak_gpu_memory_reserved_bytes_ratio,10,1.1204819277108433,0.0,1.1204819277108433,1.1204819277108433
FashionMNIST,lenet_classic,fixedpred,runtime_over_bp_ratio,10,0.688026160454244,0.009853679823217191,0.6809772625433076,0.6950750583651805
FashionMNIST,lenet_classic,strict,test_accuracy_difference,10,0.0,0.0,0.0,0.0
FashionMNIST,lenet_classic,strict,test_macro_f1_difference,10,0.0,0.0,0.0,0.0
FashionMNIST,lenet_classic,strict,total_training_time_sec_difference,10,-33.87056676380562,0.932863751531109,-34.53789729080959,-33.20323623680165
FashionMNIST,lenet_classic,strict,mean_epoch_time_sec_difference,10,-3.387056676380562,0.0932863751531108,-3.453789729080959,-3.320323623680165
FashionMNIST,lenet_classic,strict,median_epoch_time_sec_difference,10,-3.387513099950593,0.10676883884716327,-3.463890926164267,-3.3111352737369186
FashionMNIST,lenet_classic,strict,peak_gpu_memory_allocated_bytes_difference,10,-713728.0,0.0,-713728.0,-713728.0
FashionMNIST,lenet_classic,strict,peak_gpu_memory_reserved_bytes_difference,10,-20971520.0,0.0,-20971520.0,-20971520.0
FashionMNIST,lenet_classic,strict,runtime_over_bp_difference,10,-1.3113191000524516,0.030422170495808868,-1.3330818098117831,-1.28955639029312
FashionMNIST,lenet_classic,strict,test_accuracy_ratio,10,1.0,0.0,1.0,1.0
FashionMNIST,lenet_classic,strict,test_macro_f1_ratio,10,1.0,0.0,1.0,1.0
FashionMNIST,lenet_classic,strict,total_training_time_sec_ratio,10,0.735642267153038,0.005866770256949941,0.731445432533882,0.7398391017721941
FashionMNIST,lenet_classic,strict,mean_epoch_time_sec_ratio,10,0.735642267153038,0.005866770256949935,0.731445432533882,0.7398391017721941
FashionMNIST,lenet_classic,strict,median_epoch_time_sec_ratio,10,0.7176429046487449,0.007167116797559417,0.7125158581515858,0.722769951145904
FashionMNIST,lenet_classic,strict,peak_gpu_memory_allocated_bytes_ratio,10,0.9954499758463567,0.0,0.9954499758463567,0.9954499758463567
FashionMNIST,lenet_classic,strict,peak_gpu_memory_reserved_bytes_ratio,10,0.888888888888889,1.1702778228589004e-16,0.8888888888888888,0.8888888888888891
FashionMNIST,lenet_classic,strict,runtime_over_bp_ratio,10,0.7380168525081383,0.005674304246309702,0.7339576997788617,0.7420760052374149
MNIST,lenet_classic,bp,test_accuracy_difference,10,0.0,0.0,0.0,0.0
MNIST,lenet_classic,bp,test_macro_f1_difference,10,0.0,0.0,0.0,0.0
MNIST,lenet_classic,bp,total_training_time_sec_difference,10,-0.18720885799448297,0.323722912397102,-0.4187862790044083,0.04436856301544234
MNIST,lenet_classic,bp,mean_epoch_time_sec_difference,10,-0.018720885799448306,0.03237229123971023,-0.04187862790044086,0.004436856301544247
MNIST,lenet_classic,bp,median_epoch_time_sec_difference,10,-0.017753260800054703,0.03285258785369366,-0.041254586400783125,0.0057480648006737155
MNIST,lenet_classic,bp,peak_gpu_memory_allocated_bytes_difference,10,0.0,0.0,0.0,0.0
MNIST,lenet_classic,bp,peak_gpu_memory_reserved_bytes_difference,10,0.0,0.0,0.0,0.0
MNIST,lenet_classic,bp,runtime_over_bp_difference,10,0.0,0.0,0.0,0.0
MNIST,lenet_classic,bp,test_accuracy_ratio,10,1.0,0.0,1.0,1.0
MNIST,lenet_classic,bp,test_macro_f1_ratio,10,1.0,0.0,1.0,1.0
