model_seed,batch_index,parameter,cosine,relative_l2,max_abs
0,0,0.0.bias,1.0000000000000002,8.684860221514767e-13,2.7347915598774364e-15
0,0,0.0.weight,0.9999999999999998,7.674919615353327e-13,1.4267016387736753e-15
0,0,1.0.bias,0.9999999999999998,2.367741569414924e-13,6.062045396909577e-16
0,0,1.0.weight,0.9999999999999999,1.2963334059806514e-13,4.725461287460181e-16
0,0,3.0.bias,1.0,5.973272184452042e-14,1.5558301175166989e-16
0,0,3.0.weight,1.0000000000000036,2.3775806294345967e-14,5.728653228870284e-17
0,0,4.0.bias,0.9999999999999998,2.0904202125899842e-14,1.3449527949682683e-16
0,0,4.0.weight,0.9999999999999994,8.576093510876364e-15,2.688821387764051e-17
0,0,5.bias,1.0,0.0,0.0
0,0,5.weight,0.9999999999999997,0.0,0.0
0,1,0.0.bias,1.0,7.219922596917707e-13,2.067790383364354e-15
0,1,0.0.weight,0.9999999999999999,3.92904994882813e-13,1.518641983000446e-15
0,1,1.0.bias,0.9999999999999999,2.553317642492243e-13,1.6735744734486246e-15
0,1,1.0.weight,0.9999999999999996,1.6573052962921834e-13,7.696751222474596e-16
0,1,3.0.bias,0.9999999999999999,2.7067590616840808e-14,2.603169416137696e-16
0,1,3.0.weight,1.0000000000000033,1.9917847828269886e-14,8.09356921760429e-17
0,1,4.0.bias,0.9999999999999997,1.0227968515547676e-14,2.2789929665645303e-16
0,1,4.0.weight,1.0000000000000004,7.61600754481219e-15,3.973600962159374e-17
0,1,5.bias,1.0000000000000002,0.0,0.0
0,1,5.weight,0.9999999999999998,0.0,0.0
0,2,0.0.bias,0.9999999999999998,8.037171172270063e-13,1.566672139241554e-15
0,2,0.0.weight,1.0,6.365087458986697e-13,1.784163095042146e-15
0,2,1.0.bias,1.0000000000000002,1.4910211615004774e-13,1.169203622808368e-15
0,2,1.0.weight,1.0000000000000004,1.0920042863047157e-13,4.744468706796567e-16
0,2,3.0.bias,1.0000000000000002,3.6571518746181473e-14,2.2985086056692694e-16
0,2,3.0.weight,0.9999999999999962,2.2670955944589427e-14,7.768308565858639e-17
0,2,4.0.bias,1.0,1.1779801310378805e-14,1.5092094240998222e-16
0,2,4.0.weight,1.0000000000000004,7.502991643360687e-15,3.0418647201796434e-17
0,2,5.bias,1.0000000000000002,0.0,0.0
0,2,5.weight,1.0,0.0,0.0
1,0,0.0.bias,1.0000000000000002,5.936219839874014e-13,2.599374708533997e-15
1,0,0.0.weight,1.0000000000000002,4.686702490296316e-13,2.4643915380595516e-15
1,0,1.0.bias,0.9999999999999999,2.6928770168118597e-13,9.913944665207453e-16
1,0,1.0.weight,0.9999999999999996,7.417818056712048e-14,4.375839968151496e-16
1,0,3.0.bias,0.9999999999999998,5.519547527877612e-14,1.478851763270228e-16
1,0,3.0.weight,0.9999999999999972,1.9367304113661288e-14,5.736784745163925e-17
1,0,4.0.bias,0.9999999999999999,2.0867640135710076e-14,2.0187844451680093e-16
1,0,4.0.weight,1.0000000000000007,7.507486354204044e-15,2.873135757086587e-17
1,0,5.bias,0.9999999999999998,0.0,0.0
1,0,5.weight,1.0000000000000002,0.0,0.0
1,1,0.0.bias,0.9999999999999997,7.831087343653534e-13,6.5910818469738786e-15
1,1,0.0.weight,0.9999999999999999,4.207912211319341e-13,2.6335541820216024e-15
1,1,1.0.bias,1.0,8.102903231633503e-14,7.346553920761778e-16
1,1,1.0.weight,1.0,6.170433705293266e-14,3.43908929112402e-16
1,1,3.0.bias,0.9999999999999999,1.9620910681899715e-14,1.700029006457271e-16
1,1,3.0.weight,0.9999999999999976,1.4534438453120825e-14,5.767955557622884e-17
1,1,4.0.bias,1.0000000000000002,1.1026643509892164e-14,1.8127860323957634e-16
1,1,4.0.weight,0.9999999999999983,6.9348317527070216e-15,2.673770671082526e-17
1,1,5.bias,1.0000000000000002,0.0,0.0
1,1,5.weight,1.0,0.0,0.0
1,2,0.0.bias,1.0,4.960477746206887e-13,2.8078667863029594e-15
1,2,0.0.weight,1.0000000000000002,3.9104364337870804e-13,1.463672932855431e-15
1,2,1.0.bias,0.9999999999999998,1.5174416238404012e-13,8.808058449272238e-16
1,2,1.0.weight,1.0000000000000002,6.287533539000563e-14,3.155028321932818e-16
1,2,3.0.bias,0.9999999999999998,3.418200210867066e-14,2.1510571102112408e-16
1,2,3.0.weight,1.0000000000000002,1.7687847113625248e-14,6.917209860457518e-17
1,2,4.0.bias,0.9999999999999996,1.541062089737994e-14,2.5066754227864863e-16
1,2,4.0.weight,0.9999999999999991,7.752327420015732e-15,3.69712940817557e-17
1,2,5.bias,1.0,0.0,0.0
1,2,5.weight,0.9999999999999998,0.0,0.0
2,0,0.0.bias,1.0,1.0959254353588235e-12,1.9316145905001747e-15
2,0,0.0.weight,1.0,6.852816067388067e-13,2.9566464294222827e-15
2,0,1.0.bias,1.0,2.1969084511333388e-13,7.572067972638763e-16
2,0,1.0.weight,1.0,7.41058929765405e-14,3.0666658448752493e-16
2,0,3.0.bias,1.0,5.935503672240112e-14,3.730739675522621e-16
2,0,3.0.weight,0.9999999999999994,1.765544852543915e-14,7.892991815694472e-17
2,0,4.0.bias,0.9999999999999998,1.8521150523752568e-14,1.3552527156068805e-16
2,0,4.0.weight,1.000000000000001,6.486018064065773e-15,1.691355389077387e-17
2,0,5.bias,1.0,0.0,0.0
2,0,5.weight,0.9999999999999999,0.0,0.0
2,1,0.0.bias,1.0,4.270723736376127e-13,2.4299139089745125e-15
2,1,0.0.weight,0.9999999999999999,5.332985545853079e-13,2.039059025793488e-15
2,1,1.0.bias,1.0,1.4863225024950177e-13,1.6308569078526958e-15
2,1,1.0.weight,1.0000000000000002,9.578305813951783e-14,4.0744317642005257e-16
2,1,3.0.bias,1.0,2.5157608789945275e-14,2.453820566877818e-16
2,1,3.0.weight,0.9999999999999996,1.516083718499225e-14,5.898059818321144e-17
2,1,4.0.bias,0.9999999999999999,9.587541895991792e-15,1.5699247457590104e-16
2,1,4.0.weight,0.9999999999999998,6.107957168615566e-15,2.3093506273941244e-17
2,1,5.bias,1.0000000000000002,0.0,0.0
2,1,5.weight,1.0000000000000002,0.0,0.0
2,2,0.0.bias,1.0000000000000002,6.749546308665749e-13,3.4239917758721594e-15
2,2,0.0.weight,0.9999999999999999,5.233448871207356e-13,2.7299126501012516e-15
2,2,1.0.bias,1.0,5.4984520012415746e-14,2.8297676701871666e-16
2,2,1.0.weight,1.0000000000000002,5.813825903683921e-14,3.7643499428696714e-16
2,2,3.0.bias,0.9999999999999999,2.548177722640961e-14,2.0925101928970236e-16
2,2,3.0.weight,0.9999999999999989,1.4425035348482535e-14,5.0090140368830305e-17
2,2,4.0.bias,1.0000000000000002,1.169791544813155e-14,1.3357370765021415e-16
2,2,4.0.weight,0.9999999999999989,6.792213648383342e-15,2.45029690981724e-17
2,2,5.bias,1.0,0.0,0.0
2,2,5.weight,1.0000000000000002,0.0,0.0
