model_seed,batch_index,method,component,cosine,relative_l2,max_abs
0,0,exact,loss,1.0,0.0,0.0
0,0,exact,dLdy,1.0000000000000007,0.0,0.0
0,0,exact,belief[1],1.0000000000000053,0.0,0.0
0,0,exact,belief[2],0.9999999999999974,0.0,0.0
0,0,exact,belief[3],0.9999999999999974,0.0,0.0
0,0,exact,belief[4],1.0000000000000009,0.0,0.0
0,0,exact,belief[5],0.9999999999999993,0.0,0.0
0,0,exact,belief[6],1.0000000000000007,0.0,0.0
0,0,exact,epsilon[1],0.9999999999999951,0.0,0.0
0,0,exact,epsilon[2],0.9999999999999997,0.0,0.0
0,0,exact,epsilon[3],0.9999999999999997,0.0,0.0
0,0,exact,epsilon[4],0.9999999999999994,0.0,0.0
0,0,exact,epsilon[5],1.0000000000000016,0.0,0.0
0,0,exact,epsilon[6],1.0000000000000007,0.0,0.0
0,0,exact,gradient:0.0.bias,1.0,0.0,0.0
0,0,exact,gradient:0.0.weight,1.0,0.0,0.0
0,0,exact,gradient:1.0.bias,1.0,0.0,0.0
0,0,exact,gradient:1.0.weight,1.0000000000000002,0.0,0.0
0,0,exact,gradient:3.0.bias,1.0000000000000002,0.0,0.0
0,0,exact,gradient:3.0.weight,1.000000000000003,0.0,0.0
0,0,exact,gradient:4.0.bias,1.0,0.0,0.0
0,0,exact,gradient:4.0.weight,0.9999999999999994,0.0,0.0
0,0,exact,gradient:5.bias,1.0,0.0,0.0
0,0,exact,gradient:5.weight,0.9999999999999997,0.0,0.0
0,0,fixedpred,loss,1.0,0.0,0.0
0,0,fixedpred,dLdy,1.0000000000000007,0.0,0.0
0,0,fixedpred,belief[0],0.9999999999999999,0.0,0.0
0,0,fixedpred,belief[1],1.0000000000000024,0.0,0.0
0,0,fixedpred,belief[2],1.0000000000000022,0.0,0.0
0,0,fixedpred,belief[3],0.9999999999999992,0.0,0.0
0,0,fixedpred,belief[4],1.0000000000000002,0.0,0.0
0,0,fixedpred,belief[5],1.0000000000000004,0.0,0.0
0,0,fixedpred,belief[6],0.9999999999999996,0.0,0.0
0,0,fixedpred,epsilon[0],1.0000000000000207,0.0,0.0
0,0,fixedpred,epsilon[1],1.0000000000000084,0.0,0.0
0,0,fixedpred,epsilon[2],1.000000000000002,0.0,0.0
0,0,fixedpred,epsilon[3],1.000000000000001,0.0,0.0
0,0,fixedpred,epsilon[4],0.9999999999999992,0.0,0.0
0,0,fixedpred,epsilon[5],0.9999999999999998,0.0,0.0
0,0,fixedpred,epsilon[6],1.0000000000000007,0.0,0.0
0,0,fixedpred,gradient:0.0.bias,0.9999999999999999,0.0,0.0
0,0,fixedpred,gradient:0.0.weight,1.0,0.0,0.0
0,0,fixedpred,gradient:1.0.bias,1.0,0.0,0.0
0,0,fixedpred,gradient:1.0.weight,1.0000000000000002,0.0,0.0
0,0,fixedpred,gradient:3.0.bias,1.0000000000000002,0.0,0.0
0,0,fixedpred,gradient:3.0.weight,0.9999999999999973,0.0,0.0
0,0,fixedpred,gradient:4.0.bias,0.9999999999999998,0.0,0.0
0,0,fixedpred,gradient:4.0.weight,0.9999999999999998,0.0,0.0
0,0,fixedpred,gradient:5.bias,1.0,0.0,0.0
0,0,fixedpred,gradient:5.weight,0.9999999999999997,0.0,0.0
0,0,strict,loss,1.0,0.0,0.0
0,0,strict,dLdy,1.0000000000000007,0.0,0.0
0,0,strict,belief[0],0.9999999999999984,0.0,0.0
0,0,strict,belief[1],0.9999999999999974,0.0,0.0
0,0,strict,belief[2],1.0000000000000022,0.0,0.0
0,0,strict,belief[3],0.9999999999999993,0.0,0.0
0,0,strict,belief[4],1.0000000000000002,0.0,0.0
0,0,strict,belief[5],0.9999999999999983,0.0,0.0
0,0,strict,belief[6],0.9999999999999996,0.0,0.0
