dataset,model,method,eta,inference_steps,metric,n,mean,std,ci_low,ci_high
FashionMNIST,lenet_classic,bp,,,total_training_time_sec,10,25.513523293290927,0.21779445704983733,25.357722524354344,25.66932406222751
FashionMNIST,lenet_classic,bp,,,mean_epoch_time_sec,10,2.5513523293290925,0.021779445704983698,2.5357722524354345,2.5669324062227505
FashionMNIST,lenet_classic,bp,,,median_epoch_time_sec,10,1.7311605415998201,0.019426532595098245,1.717263637348509,1.7450574458511312
FashionMNIST,lenet_classic,bp,,,peak_gpu_memory_allocated_bytes,10,129994240.0,0.0,129994240.0,129994240.0
FashionMNIST,lenet_classic,bp,,,peak_gpu_memory_reserved_bytes,10,138412032.0,0.0,138412032.0,138412032.0
FashionMNIST,lenet_classic,exact,0.1,20,total_training_time_sec,10,25.486409514198023,0.27386242311269937,25.290500138533652,25.682318889862394
FashionMNIST,lenet_classic,exact,0.1,20,mean_epoch_time_sec,10,2.548640951419802,0.027386242311269918,2.529050013853365,2.5682318889862388
FashionMNIST,lenet_classic,exact,0.1,20,median_epoch_time_sec,10,1.7325672570492316,0.023973148741110808,1.7154178995389924,1.749716614559471
FashionMNIST,lenet_classic,exact,0.1,20,peak_gpu_memory_allocated_bytes,10,133660160.0,0.0,133660160.0,133660160.0
FashionMNIST,lenet_classic,exact,0.1,20,peak_gpu_memory_reserved_bytes,10,140509184.0,0.0,140509184.0,140509184.0
FashionMNIST,lenet_classic,fixedpred,0.1,10,total_training_time_sec,10,47.32127408320521,0.5148732880272994,46.95295592090596,47.689592245504464
FashionMNIST,lenet_classic,fixedpred,0.1,10,mean_epoch_time_sec,10,4.732127408320521,0.05148732880272989,4.695295592090596,4.7689592245504455
FashionMNIST,lenet_classic,fixedpred,0.1,10,median_epoch_time_sec,10,3.8932917073492717,0.04844937222234666,3.8586331143392165,3.927950300359327
FashionMNIST,lenet_classic,fixedpred,0.1,10,peak_gpu_memory_allocated_bytes,10,163132416.0,0.0,163132416.0,163132416.0
FashionMNIST,lenet_classic,fixedpred,0.1,10,peak_gpu_memory_reserved_bytes,10,195035136.0,0.0,195035136.0,195035136.0
FashionMNIST,lenet_classic,strict,0.05,20,total_training_time_sec,10,94.24036549179436,0.46949211741388724,93.90451106329525,94.57621992029348
FashionMNIST,lenet_classic,strict,0.05,20,mean_epoch_time_sec,10,9.424036549179437,0.04694921174138878,9.390451106329525,9.457621992029349
FashionMNIST,lenet_classic,strict,0.05,20,median_epoch_time_sec,10,8.60815650614968,0.05658488503292321,8.567678117866821,8.648634894432538
FashionMNIST,lenet_classic,strict,0.05,20,peak_gpu_memory_allocated_bytes,10,156148736.0,0.0,156148736.0,156148736.0
FashionMNIST,lenet_classic,strict,0.05,20,peak_gpu_memory_reserved_bytes,10,167772160.0,0.0,167772160.0,167772160.0
MNIST,lenet_classic,bp,,,total_training_time_sec,10,25.265453826605516,0.23100720787694592,25.100201225117658,25.430706428093373
MNIST,lenet_classic,bp,,,mean_epoch_time_sec,10,2.5265453826605517,0.02310072078769461,2.510020122511766,2.5430706428093375
MNIST,lenet_classic,bp,,,median_epoch_time_sec,10,1.7135764714505057,0.022634040120483208,1.697385054539901,1.7297678883611105
MNIST,lenet_classic,bp,,,peak_gpu_memory_allocated_bytes,10,129994240.0,0.0,129994240.0,129994240.0
MNIST,lenet_classic,bp,,,peak_gpu_memory_reserved_bytes,10,138412032.0,0.0,138412032.0,138412032.0
MNIST,lenet_classic,exact,0.1,20,total_training_time_sec,10,25.25819113859834,0.16107653296846122,25.142963928346695,25.373418348849988
MNIST,lenet_classic,exact,0.1,20,mean_epoch_time_sec,10,2.5258191138598343,0.016107653296846193,2.5142963928346695,2.537341834884999
MNIST,lenet_classic,exact,0.1,20,median_epoch_time_sec,10,1.7113868168995396,0.01653151076545824,1.6995608865070484,1.7232127472920309
MNIST,lenet_classic,exact,0.1,20,peak_gpu_memory_allocated_bytes,10,133660160.0,0.0,133660160.0,133660160.0
MNIST,lenet_classic,exact,0.1,20,peak_gpu_memory_reserved_bytes,10,140509184.0,0.0,140509184.0,140509184.0
MNIST,lenet_classic,fixedpred,0.1,10,total_training_time_sec,10,46.973480001103596,0.3014919880552245,46.757805625348134,47.18915437685906
MNIST,lenet_classic,fixedpred,0.1,10,mean_epoch_time_sec,10,4.697348000110361,0.030149198805522318,4.675780562534816,4.718915437685907
MNIST,lenet_classic,fixedpred,0.1,10,median_epoch_time_sec,10,3.85818355099982,0.030764946875039317,3.836175633790396,3.8801914682092438
MNIST,lenet_classic,fixedpred,0.1,10,peak_gpu_memory_allocated_bytes,10,163132416.0,0.0,163132416.0,163132416.0
MNIST,lenet_classic,fixedpred,0.1,10,peak_gpu_memory_reserved_bytes,10,195035136.0,0.0,195035136.0,195035136.0
MNIST,lenet_classic,strict,0.05,20,total_training_time_sec,10,94.04798205729966,0.3720035036126363,93.7818667819385,94.31409733266082
MNIST,lenet_classic,strict,0.05,20,mean_epoch_time_sec,10,9.404798205729966,0.037200350361263464,9.37818667819385,9.431409733266081
MNIST,lenet_classic,strict,0.05,20,median_epoch_time_sec,10,8.582231215349747,0.04100970527755616,8.552894639466901,8.611567791232593
MNIST,lenet_classic,strict,0.05,20,peak_gpu_memory_allocated_bytes,10,156148736.0,0.0,156148736.0,156148736.0
MNIST,lenet_classic,strict,0.05,20,peak_gpu_memory_reserved_bytes,10,167772160.0,0.0,167772160.0,167772160.0
