run_id,experiment_id,status,stage,dataset,model,method,eta,inference_steps,model_seed,split_seed,config_sha256,git_commit,torch2pc_commit,run_directory,started_utc,finished_utc,test_evaluated,notes,best_epoch,epochs_completed,model_parameter_count,best_validation_metric,primary_metric,total_training_time_sec,mean_epoch_time_sec,median_epoch_time_sec,runtime_device,runtime_device_name,torch_version,hip_version,split_files,split_sha256,test_loss,test_accuracy,test_macro_f1,peak_gpu_memory_allocated_bytes,peak_gpu_memory_reserved_bytes,environment_lock_sha256
20260713T125201Z-50799389,final_stage_2-mnist-bp-s0-df334e1be2-6d66b0a6-0ffe23c9,completed,final_stage_2,MNIST,lenet_classic,bp,,,0,42,df334e1be21a9ba0ad24116d8bd7d14b95cf95a944c5446dba8be57f04b01f12,6d66b0a6f82c30c4fb8eca6247383ca13e0636a2,b20d9142e4bdbf57b3ec8bf9f9c4472372ec8db4,results/stage-2/runs/final_stage_2-mnist-bp-s0-df334e1be2-6d66b0a6-0ffe23c9/20260713T125201Z-50799389,2026-07-13T12:52:01Z,2026-07-13T12:52:32Z,True,,10,10,61706,0.9836625505106168,macro_f1,25.30423496200092,2.530423496200092,1.7258620030006568,cuda,AMD Radeon RX 7700 XT,2.9.1+rocm7.2.1.gitff65f5bc,7.2.53211-e1a6bc5663,"['results/splits/MNIST_train-validation_seed42_subsetall_val0p15.npz', 'results/splits/MNIST_test_seed1042_subsetall.npz']","{'MNIST_train-validation_seed42_subsetall_val0p15.npz': '50c9a4b3a27560980abb042bbae0e3b9d6df75732f5698d984ea7ae2c9aa4314', 'MNIST_test_seed1042_subsetall.npz': '091612244d2c0528aac2991272e7e19e7d72141172298e7240f4ee6015b6194d'}",0.04536530494717881,0.9852,0.9851698419148791,129994240,138412032,0ffe23c915ee47a38d1aaa3d2eb5b8175ca8e63be25840380b19fc6bdd2b045b
20260713T125236Z-d4919de3,final_stage_2-mnist-fixedpred-s0-8e0b4eadec-6d66b0a6-0ffe23c9,completed,final_stage_2,MNIST,lenet_classic,fixedpred,0.1,10,0,42,8e0b4eadece40aa75d8d75ee7261dee04c04c427f1c88a03c64ed1aefa06a8e6,6d66b0a6f82c30c4fb8eca6247383ca13e0636a2,b20d9142e4bdbf57b3ec8bf9f9c4472372ec8db4,results/stage-2/runs/final_stage_2-mnist-fixedpred-s0-8e0b4eadec-6d66b0a6-0ffe23c9/20260713T125236Z-d4919de3,2026-07-13T12:52:36Z,2026-07-13T12:53:28Z,True,,10,10,61706,0.9842254018766882,macro_f1,46.400240534007025,4.640024053400703,3.807326527501573,cuda,AMD Radeon RX 7700 XT,2.9.1+rocm7.2.1.gitff65f5bc,7.2.53211-e1a6bc5663,"['results/splits/MNIST_train-validation_seed42_subsetall_val0p15.npz', 'results/splits/MNIST_test_seed1042_subsetall.npz']","{'MNIST_train-validation_seed42_subsetall_val0p15.npz': '50c9a4b3a27560980abb042bbae0e3b9d6df75732f5698d984ea7ae2c9aa4314', 'MNIST_test_seed1042_subsetall.npz': '091612244d2c0528aac2991272e7e19e7d72141172298e7240f4ee6015b6194d'}",0.044533790034940464,0.9857,0.9856437345949873,163132416,195035136,0ffe23c915ee47a38d1aaa3d2eb5b8175ca8e63be25840380b19fc6bdd2b045b
20260713T125332Z-a49fd791,final_stage_2-mnist-exact-s0-1bf4833a37-6d66b0a6-0ffe23c9,completed,final_stage_2,MNIST,lenet_classic,exact,0.1,20,0,42,1bf4833a374588e7b8d301a16aaab0a6836a65bacdf3cf25fb50fb1aed69e3fd,6d66b0a6f82c30c4fb8eca6247383ca13e0636a2,b20d9142e4bdbf57b3ec8bf9f9c4472372ec8db4,results/stage-2/runs/final_stage_2-mnist-exact-s0-1bf4833a37-6d66b0a6-0ffe23c9/20260713T125332Z-a49fd791,2026-07-13T12:53:32Z,2026-07-13T12:54:03Z,True,,10,10,61706,0.9836625505106168,macro_f1,25.367778143008763,2.5367778143008763,1.7326419284981966,cuda,AMD Radeon RX 7700 XT,2.9.1+rocm7.2.1.gitff65f5bc,7.2.53211-e1a6bc5663,"['results/splits/MNIST_train-validation_seed42_subsetall_val0p15.npz', 'results/splits/MNIST_test_seed1042_subsetall.npz']","{'MNIST_train-validation_seed42_subsetall_val0p15.npz': '50c9a4b3a27560980abb042bbae0e3b9d6df75732f5698d984ea7ae2c9aa4314', 'MNIST_test_seed1042_subsetall.npz': '091612244d2c0528aac2991272e7e19e7d72141172298e7240f4ee6015b6194d'}",0.04536530494717881,0.9852,0.9851698419148791,133660160,140509184,0ffe23c915ee47a38d1aaa3d2eb5b8175ca8e63be25840380b19fc6bdd2b045b
20260713T125408Z-cdba9bd4,final_stage_2-mnist-strict-s0-666615f130-6d66b0a6-0ffe23c9,completed,final_stage_2,MNIST,lenet_classic,strict,0.05,20,0,42,666615f13031ddae89f4a5736a80372045f5d5385fcb27fad8d7c48d6ba5ce16,6d66b0a6f82c30c4fb8eca6247383ca13e0636a2,b20d9142e4bdbf57b3ec8bf9f9c4472372ec8db4,results/stage-2/runs/final_stage_2-mnist-strict-s0-666615f130-6d66b0a6-0ffe23c9/20260713T125408Z-cdba9bd4,2026-07-13T12:54:08Z,2026-07-13T12:55:47Z,True,,10,10,61706,0.9826764831023862,macro_f1,94.36735851598496,9.436735851598495,8.620630014498602,cuda,AMD Radeon RX 7700 XT,2.9.1+rocm7.2.1.gitff65f5bc,7.2.53211-e1a6bc5663,"['results/splits/MNIST_train-validation_seed42_subsetall_val0p15.npz', 'results/splits/MNIST_test_seed1042_subsetall.npz']","{'MNIST_train-validation_seed42_subsetall_val0p15.npz': '50c9a4b3a27560980abb042bbae0e3b9d6df75732f5698d984ea7ae2c9aa4314', 'MNIST_test_seed1042_subsetall.npz': '091612244d2c0528aac2991272e7e19e7d72141172298e7240f4ee6015b6194d'}",0.04763269434273243,0.9857,0.9856049359203727,156148736,167772160,0ffe23c915ee47a38d1aaa3d2eb5b8175ca8e63be25840380b19fc6bdd2b045b
20260713T125552Z-9503cf1a,final_stage_2-mnist-fixedpred-s1-801ef7cc5e-6d66b0a6-0ffe23c9,completed,final_stage_2,MNIST,lenet_classic,fixedpred,0.1,10,1,42,801ef7cc5e7178c639a3a5a876a6a1c74d8df6304c649742753f7d3811bb29cb,6d66b0a6f82c30c4fb8eca6247383ca13e0636a2,b20d9142e4bdbf57b3ec8bf9f9c4472372ec8db4,results/stage-2/runs/final_stage_2-mnist-fixedpred-s1-801ef7cc5e-6d66b0a6-0ffe23c9/20260713T125552Z-9503cf1a,2026-07-13T12:55:52Z,2026-07-13T12:56:44Z,True,,10,10,61706,0.9843300640869879,macro_f1,47.21960535499966,4.721960535499965,3.8895916049987136,cuda,AMD Radeon RX 7700 XT,2.9.1+rocm7.2.1.gitff65f5bc,7.2.53211-e1a6bc5663,"['results/splits/MNIST_train-validation_seed42_subsetall_val0p15.npz', 'results/splits/MNIST_test_seed1042_subsetall.npz']","{'MNIST_train-validation_seed42_subsetall_val0p15.npz': '50c9a4b3a27560980abb042bbae0e3b9d6df75732f5698d984ea7ae2c9aa4314', 'MNIST_test_seed1042_subsetall.npz': '091612244d2c0528aac2991272e7e19e7d72141172298e7240f4ee6015b6194d'}",0.04466034164633602,0.9861,0.9860246545391946,163132416,195035136,0ffe23c915ee47a38d1aaa3d2eb5b8175ca8e63be25840380b19fc6bdd2b045b
20260713T125649Z-50fd0c2e,final_stage_2-mnist-strict-s1-cb92df4838-6d66b0a6-0ffe23c9,completed,final_stage_2,MNIST,lenet_classic,strict,0.05,20,1,42,cb92df4838f2ab0cbb1c9a5e4602500e4070cc7905d499f7fdc8476782826a48,6d66b0a6f82c30c4fb8eca6247383ca13e0636a2,b20d9142e4bdbf57b3ec8bf9f9c4472372ec8db4,results/stage-2/runs/final_stage_2-mnist-strict-s1-cb92df4838-6d66b0a6-0ffe23c9/20260713T125649Z-50fd0c2e,2026-07-13T12:56:49Z,2026-07-13T12:58:28Z,True,,10,10,61706,0.982953586186356,macro_f1,93.86430488399492,9.386430488399492,8.531961067499651,cuda,AMD Radeon RX 7700 XT,2.9.1+rocm7.2.1.gitff65f5bc,7.2.53211-e1a6bc5663,"['results/splits/MNIST_train-validation_seed42_subsetall_val0p15.npz', 'results/splits/MNIST_test_seed1042_subsetall.npz']","{'MNIST_train-validation_seed42_subsetall_val0p15.npz': '50c9a4b3a27560980abb042bbae0e3b9d6df75732f5698d984ea7ae2c9aa4314', 'MNIST_test_seed1042_subsetall.npz': '091612244d2c0528aac2991272e7e19e7d72141172298e7240f4ee6015b6194d'}",0.04739681158177555,0.9856,0.9854972959542063,156148736,167772160,0ffe23c915ee47a38d1aaa3d2eb5b8175ca8e63be25840380b19fc6bdd2b045b
20260713T125832Z-5eb7b3cb,final_stage_2-mnist-exact-s1-ace267eef0-6d66b0a6-0ffe23c9,completed,final_stage_2,MNIST,lenet_classic,exact,0.1,20,1,42,ace267eef04881c17cffd5569a9a4dbd7762fb5ccdfb1b9214ee8934c949f078,6d66b0a6f82c30c4fb8eca6247383ca13e0636a2,b20d9142e4bdbf57b3ec8bf9f9c4472372ec8db4,results/stage-2/runs/final_stage_2-mnist-exact-s1-ace267eef0-6d66b0a6-0ffe23c9/20260713T125832Z-5eb7b3cb,2026-07-13T12:58:32Z,2026-07-13T12:59:03Z,True,,10,10,61706,0.9833532786882324,macro_f1,25.03354429500905,2.503354429500905,1.69191123550263,cuda,AMD Radeon RX 7700 XT,2.9.1+rocm7.2.1.gitff65f5bc,7.2.53211-e1a6bc5663,"['results/splits/MNIST_train-validation_seed42_subsetall_val0p15.npz', 'results/splits/MNIST_test_seed1042_subsetall.npz']","{'MNIST_train-validation_seed42_subsetall_val0p15.npz': '50c9a4b3a27560980abb042bbae0e3b9d6df75732f5698d984ea7ae2c9aa4314', 'MNIST_test_seed1042_subsetall.npz': '091612244d2c0528aac2991272e7e19e7d72141172298e7240f4ee6015b6194d'}",0.04638643063306808,0.9857,0.9856229374705704,133660160,140509184,0ffe23c915ee47a38d1aaa3d2eb5b8175ca8e63be25840380b19fc6bdd2b045b
20260713T125907Z-a728a093,final_stage_2-mnist-bp-s1-6f40f1e08f-6d66b0a6-0ffe23c9,completed,final_stage_2,MNIST,lenet_classic,bp,,,1,42,6f40f1e08f7c5b0da15ba1cbc99c7e95801ed2370de6dddbf3a52f3b435d1c2b,6d66b0a6f82c30c4fb8eca6247383ca13e0636a2,b20d9142e4bdbf57b3ec8bf9f9c4472372ec8db4,results/stage-2/runs/final_stage_2-mnist-bp-s1-6f40f1e08f-6d66b0a6-0ffe23c9/20260713T125907Z-a728a093,2026-07-13T12:59:07Z,2026-07-13T12:59:38Z,True,,10,10,61706,0.9833532786882324,macro_f1,25.208862758998293,2.520886275899829,1.703516250501707,cuda,AMD Radeon RX 7700 XT,2.9.1+rocm7.2.1.gitff65f5bc,7.2.53211-e1a6bc5663,"['results/splits/MNIST_train-validation_seed42_subsetall_val0p15.npz', 'results/splits/MNIST_test_seed1042_subsetall.npz']","{'MNIST_train-validation_seed42_subsetall_val0p15.npz': '50c9a4b3a27560980abb042bbae0e3b9d6df75732f5698d984ea7ae2c9aa4314', 'MNIST_test_seed1042_subsetall.npz': '091612244d2c0528aac2991272e7e19e7d72141172298e7240f4ee6015b6194d'}",0.04638643063306808,0.9857,0.9856229374705704,129994240,138412032,0ffe23c915ee47a38d1aaa3d2eb5b8175ca8e63be25840380b19fc6bdd2b045b
20260713T125942Z-b4011f4c,final_stage_2-mnist-exact-s2-bd15b69cef-6d66b0a6-0ffe23c9,completed,final_stage_2,MNIST,lenet_classic,exact,0.1,20,2,42,bd15b69cef163f39985dfdbbc0c65ffa08d37a7f66a3ac0ae63670d609750a1e,6d66b0a6f82c30c4fb8eca6247383ca13e0636a2,b20d9142e4bdbf57b3ec8bf9f9c4472372ec8db4,results/stage-2/runs/final_stage_2-mnist-exact-s2-bd15b69cef-6d66b0a6-0ffe23c9/20260713T125942Z-b4011f4c,2026-07-13T12:59:42Z,2026-07-13T13:00:13Z,True,,10,10,61706,0.9837816403891446,macro_f1,25.333612089008966,2.5333612089008968,1.7173441534978338,cuda,AMD Radeon RX 7700 XT,2.9.1+rocm7.2.1.gitff65f5bc,7.2.53211-e1a6bc5663,"['results/splits/MNIST_train-validation_seed42_subsetall_val0p15.npz', 'results/splits/MNIST_test_seed1042_subsetall.npz']","{'MNIST_train-validation_seed42_subsetall_val0p15.npz': '50c9a4b3a27560980abb042bbae0e3b9d6df75732f5698d984ea7ae2c9aa4314', 'MNIST_test_seed1042_subsetall.npz': '091612244d2c0528aac2991272e7e19e7d72141172298e7240f4ee6015b6194d'}",0.04520378766059875,0.9859,0.9858467534060436,133660160,140509184,0ffe23c915ee47a38d1aaa3d2eb5b8175ca8e63be25840380b19fc6bdd2b045b
20260713T130017Z-fbb7dfbe,final_stage_2-mnist-bp-s2-718062ee4e-6d66b0a6-0ffe23c9,completed,final_stage_2,MNIST,lenet_classic,bp,,,2,42,718062ee4e59130b15f5a26a7db9fd66b196bcf93034951c17a3725bc6154052,6d66b0a6f82c30c4fb8eca6247383ca13e0636a2,b20d9142e4bdbf57b3ec8bf9f9c4472372ec8db4,results/stage-2/runs/final_stage_2-mnist-bp-s2-718062ee4e-6d66b0a6-0ffe23c9/20260713T130017Z-fbb7dfbe,2026-07-13T13:00:17Z,2026-07-13T13:00:48Z,True,,10,10,61706,0.9837816403891446,macro_f1,25.61886174801475,2.561886174801475,1.7451821440008644,cuda,AMD Radeon RX 7700 XT,2.9.1+rocm7.2.1.gitff65f5bc,7.2.53211-e1a6bc5663,"['results/splits/MNIST_train-validation_seed42_subsetall_val0p15.npz', 'results/splits/MNIST_test_seed1042_subsetall.npz']","{'MNIST_train-validation_seed42_subsetall_val0p15.npz': '50c9a4b3a27560980abb042bbae0e3b9d6df75732f5698d984ea7ae2c9aa4314', 'MNIST_test_seed1042_subsetall.npz': '091612244d2c0528aac2991272e7e19e7d72141172298e7240f4ee6015b6194d'}",0.04520378766059875,0.9859,0.9858467534060436,129994240,138412032,0ffe23c915ee47a38d1aaa3d2eb5b8175ca8e63be25840380b19fc6bdd2b045b
