record_key,control_id,sub_gate,case_id,lane,device,dtype,model_seed,construction_seed,layer_index,sweep_index,contract_id,implementation_schema_id,source_git_commit,source_git_branch,experiment_image,image_revision,torch2pc_commit,absolute_l2,relative_l2,max_abs,cosine,norm_ratio,reference_norm,candidate_norm,finite,zero_safe_path,comparison_passed,probe_family,candidate_form,block_count,vjp_call_count,isolated_vjp_call_count,input_shape,output_shape,cotangent_shape,graph_island_count,allow_unused,missing_gradient_count,snapshot_fingerprint,model_state_fingerprint,isolated_vs_explicit,passed,contract_digest,construction_registry_digest,threshold_registry_digest,torch_version,torch_hip_version,device_name,cpu_thread_count,visible_rocm_devices,deterministic_algorithms_enabled,dataset_loader_used,test_split_access,registered_raw_input_shape,model_input_shape_after_canonical_pad,canonical_input_preprocessing,model_state_fingerprint_after,rng_fingerprint_before,rng_fingerprint_after
JAC-C0:JAC-01-materialized-composite_vjp:cpu:c-0:m-none:l-0:s-none,MECH-C0,JAC-C0,JAC-01-materialized-composite_vjp,cpu,cpu,torch.float64,,0,0,,stage3b-a1-mechanism-controls-v1,stage3b-a1-mechanism-controls-implementation-v1,69455e6e77e447ff72609d1c8af5fa6136a7e88a,research/stage3b-a1-mechanism-controls-implementation,torch2pc-layerwise-thesis:0.1.0,69455e6e77e447ff72609d1c8af5fa6136a7e88a,b20d9142e4bdbf57b3ec8bf9f9c4472372ec8db4,0.0,0.0,0.0,1.0,1.0,0.17722687019864725,0.17722687019864725,True,False,True,materialized_oracle,composite_vjp,4,1,4,[8],[8],[8],4,False,0,8e17f28babc1ba6f8a6e222858b4edf78f8ad598065f8f46a7ddf66608ec7da8,,"{""absolute_l2"": 0.0, ""candidate_norm"": 0.17722687019864725, ""comparison_passed"": true, ""cosine"": 1.0, ""finite"": true, ""max_abs"": 0.0, ""norm_ratio"": 1.0, ""reference_norm"": 0.17722687019864725, ""relative_l2"": 0.0, ""zero_safe_path"": false}",True,aa5509e4be6c5cd79c76ae12209d7313ecd588321b1e5265a98978e1cafa7430,0c6c96d1fde5ccade1287c7014b06fa33f31f570c916bf1a187af6710e9f22ab,296ac0805aec6e344bced0dfa97f519d1b91512cd52fe69d16b168a03f897b64,2.9.1+rocm7.2.1.gitff65f5bc,7.2.53211-e1a6bc5663,cpu,1,,True,False,False,,,,,,
JAC-C0:JAC-01-materialized-chunked_composite_vjp:cpu:c-0:m-none:l-0:s-none,MECH-C0,JAC-C0,JAC-01-materialized-chunked_composite_vjp,cpu,cpu,torch.float64,,0,0,,stage3b-a1-mechanism-controls-v1,stage3b-a1-mechanism-controls-implementation-v1,69455e6e77e447ff72609d1c8af5fa6136a7e88a,research/stage3b-a1-mechanism-controls-implementation,torch2pc-layerwise-thesis:0.1.0,69455e6e77e447ff72609d1c8af5fa6136a7e88a,b20d9142e4bdbf57b3ec8bf9f9c4472372ec8db4,0.0,0.0,0.0,1.0,1.0,0.17722687019864725,0.17722687019864725,True,False,True,materialized_oracle,chunked_composite_vjp,4,2,4,[8],[8],[8],4,False,0,8e17f28babc1ba6f8a6e222858b4edf78f8ad598065f8f46a7ddf66608ec7da8,,"{""absolute_l2"": 0.0, ""candidate_norm"": 0.17722687019864725, ""comparison_passed"": true, ""cosine"": 1.0, ""finite"": true, ""max_abs"": 0.0, ""norm_ratio"": 1.0, ""reference_norm"": 0.17722687019864725, ""relative_l2"": 0.0, ""zero_safe_path"": false}",True,aa5509e4be6c5cd79c76ae12209d7313ecd588321b1e5265a98978e1cafa7430,0c6c96d1fde5ccade1287c7014b06fa33f31f570c916bf1a187af6710e9f22ab,296ac0805aec6e344bced0dfa97f519d1b91512cd52fe69d16b168a03f897b64,2.9.1+rocm7.2.1.gitff65f5bc,7.2.53211-e1a6bc5663,cpu,1,,True,False,False,,,,,,
JAC-C0:JAC-01-materialized-composite_vjp:cpu:c-0:m-none:l-1:s-none,MECH-C0,JAC-C0,JAC-01-materialized-composite_vjp,cpu,cpu,torch.float64,,0,1,,stage3b-a1-mechanism-controls-v1,stage3b-a1-mechanism-controls-implementation-v1,69455e6e77e447ff72609d1c8af5fa6136a7e88a,research/stage3b-a1-mechanism-controls-implementation,torch2pc-layerwise-thesis:0.1.0,69455e6e77e447ff72609d1c8af5fa6136a7e88a,b20d9142e4bdbf57b3ec8bf9f9c4472372ec8db4,0.0,0.0,0.0,0.9999999999999997,1.0,0.19898359716010644,0.19898359716010644,True,False,True,materialized_oracle,composite_vjp,4,1,4,[8],[8],[8],4,False,0,8e17f28babc1ba6f8a6e222858b4edf78f8ad598065f8f46a7ddf66608ec7da8,,"{""absolute_l2"": 0.0, ""candidate_norm"": 0.19898359716010644, ""comparison_passed"": true, ""cosine"": 0.9999999999999997, ""finite"": true, ""max_abs"": 0.0, ""norm_ratio"": 1.0, ""reference_norm"": 0.19898359716010644, ""relative_l2"": 0.0, ""zero_safe_path"": false}",True,aa5509e4be6c5cd79c76ae12209d7313ecd588321b1e5265a98978e1cafa7430,0c6c96d1fde5ccade1287c7014b06fa33f31f570c916bf1a187af6710e9f22ab,296ac0805aec6e344bced0dfa97f519d1b91512cd52fe69d16b168a03f897b64,2.9.1+rocm7.2.1.gitff65f5bc,7.2.53211-e1a6bc5663,cpu,1,,True,False,False,,,,,,
JAC-C0:JAC-01-materialized-chunked_composite_vjp:cpu:c-0:m-none:l-1:s-none,MECH-C0,JAC-C0,JAC-01-materialized-chunked_composite_vjp,cpu,cpu,torch.float64,,0,1,,stage3b-a1-mechanism-controls-v1,stage3b-a1-mechanism-controls-implementation-v1,69455e6e77e447ff72609d1c8af5fa6136a7e88a,research/stage3b-a1-mechanism-controls-implementation,torch2pc-layerwise-thesis:0.1.0,69455e6e77e447ff72609d1c8af5fa6136a7e88a,b20d9142e4bdbf57b3ec8bf9f9c4472372ec8db4,0.0,0.0,0.0,0.9999999999999997,1.0,0.19898359716010644,0.19898359716010644,True,False,True,materialized_oracle,chunked_composite_vjp,4,2,4,[8],[8],[8],4,False,0,8e17f28babc1ba6f8a6e222858b4edf78f8ad598065f8f46a7ddf66608ec7da8,,"{""absolute_l2"": 0.0, ""candidate_norm"": 0.19898359716010644, ""comparison_passed"": true, ""cosine"": 0.9999999999999997, ""finite"": true, ""max_abs"": 0.0, ""norm_ratio"": 1.0, ""reference_norm"": 0.19898359716010644, ""relative_l2"": 0.0, ""zero_safe_path"": false}",True,aa5509e4be6c5cd79c76ae12209d7313ecd588321b1e5265a98978e1cafa7430,0c6c96d1fde5ccade1287c7014b06fa33f31f570c916bf1a187af6710e9f22ab,296ac0805aec6e344bced0dfa97f519d1b91512cd52fe69d16b168a03f897b64,2.9.1+rocm7.2.1.gitff65f5bc,7.2.53211-e1a6bc5663,cpu,1,,True,False,False,,,,,,
JAC-C0:JAC-01-materialized-composite_vjp:cpu:c-0:m-none:l-2:s-none,MECH-C0,JAC-C0,JAC-01-materialized-composite_vjp,cpu,cpu,torch.float64,,0,2,,stage3b-a1-mechanism-controls-v1,stage3b-a1-mechanism-controls-implementation-v1,69455e6e77e447ff72609d1c8af5fa6136a7e88a,research/stage3b-a1-mechanism-controls-implementation,torch2pc-layerwise-thesis:0.1.0,69455e6e77e447ff72609d1c8af5fa6136a7e88a,b20d9142e4bdbf57b3ec8bf9f9c4472372ec8db4,0.0,0.0,0.0,1.0,1.0,0.22002086229932555,0.22002086229932555,True,False,True,materialized_oracle,composite_vjp,4,1,4,[8],[8],[8],4,False,0,8e17f28babc1ba6f8a6e222858b4edf78f8ad598065f8f46a7ddf66608ec7da8,,"{""absolute_l2"": 0.0, ""candidate_norm"": 0.22002086229932555, ""comparison_passed"": true, ""cosine"": 1.0, ""finite"": true, ""max_abs"": 0.0, ""norm_ratio"": 1.0, ""reference_norm"": 0.22002086229932555, ""relative_l2"": 0.0, ""zero_safe_path"": false}",True,aa5509e4be6c5cd79c76ae12209d7313ecd588321b1e5265a98978e1cafa7430,0c6c96d1fde5ccade1287c7014b06fa33f31f570c916bf1a187af6710e9f22ab,296ac0805aec6e344bced0dfa97f519d1b91512cd52fe69d16b168a03f897b64,2.9.1+rocm7.2.1.gitff65f5bc,7.2.53211-e1a6bc5663,cpu,1,,True,False,False,,,,,,
JAC-C0:JAC-01-materialized-chunked_composite_vjp:cpu:c-0:m-none:l-2:s-none,MECH-C0,JAC-C0,JAC-01-materialized-chunked_composite_vjp,cpu,cpu,torch.float64,,0,2,,stage3b-a1-mechanism-controls-v1,stage3b-a1-mechanism-controls-implementation-v1,69455e6e77e447ff72609d1c8af5fa6136a7e88a,research/stage3b-a1-mechanism-controls-implementation,torch2pc-layerwise-thesis:0.1.0,69455e6e77e447ff72609d1c8af5fa6136a7e88a,b20d9142e4bdbf57b3ec8bf9f9c4472372ec8db4,0.0,0.0,0.0,1.0,1.0,0.22002086229932555,0.22002086229932555,True,False,True,materialized_oracle,chunked_composite_vjp,4,2,4,[8],[8],[8],4,False,0,8e17f28babc1ba6f8a6e222858b4edf78f8ad598065f8f46a7ddf66608ec7da8,,"{""absolute_l2"": 0.0, ""candidate_norm"": 0.22002086229932555, ""comparison_passed"": true, ""cosine"": 1.0, ""finite"": true, ""max_abs"": 0.0, ""norm_ratio"": 1.0, ""reference_norm"": 0.22002086229932555, ""relative_l2"": 0.0, ""zero_safe_path"": false}",True,aa5509e4be6c5cd79c76ae12209d7313ecd588321b1e5265a98978e1cafa7430,0c6c96d1fde5ccade1287c7014b06fa33f31f570c916bf1a187af6710e9f22ab,296ac0805aec6e344bced0dfa97f519d1b91512cd52fe69d16b168a03f897b64,2.9.1+rocm7.2.1.gitff65f5bc,7.2.53211-e1a6bc5663,cpu,1,,True,False,False,,,,,,
JAC-C0:JAC-01-materialized-composite_vjp:cpu:c-0:m-none:l-3:s-none,MECH-C0,JAC-C0,JAC-01-materialized-composite_vjp,cpu,cpu,torch.float64,,0,3,,stage3b-a1-mechanism-controls-v1,stage3b-a1-mechanism-controls-implementation-v1,69455e6e77e447ff72609d1c8af5fa6136a7e88a,research/stage3b-a1-mechanism-controls-implementation,torch2pc-layerwise-thesis:0.1.0,69455e6e77e447ff72609d1c8af5fa6136a7e88a,b20d9142e4bdbf57b3ec8bf9f9c4472372ec8db4,0.0,0.0,0.0,1.0000000000000002,1.0,0.23123736038264814,0.23123736038264814,True,False,True,materialized_oracle,composite_vjp,4,1,4,[8],[8],[8],4,False,0,8e17f28babc1ba6f8a6e222858b4edf78f8ad598065f8f46a7ddf66608ec7da8,,"{""absolute_l2"": 0.0, ""candidate_norm"": 0.23123736038264814, ""comparison_passed"": true, ""cosine"": 1.0000000000000002, ""finite"": true, ""max_abs"": 0.0, ""norm_ratio"": 1.0, ""reference_norm"": 0.23123736038264814, ""relative_l2"": 0.0, ""zero_safe_path"": false}",True,aa5509e4be6c5cd79c76ae12209d7313ecd588321b1e5265a98978e1cafa7430,0c6c96d1fde5ccade1287c7014b06fa33f31f570c916bf1a187af6710e9f22ab,296ac0805aec6e344bced0dfa97f519d1b91512cd52fe69d16b168a03f897b64,2.9.1+rocm7.2.1.gitff65f5bc,7.2.53211-e1a6bc5663,cpu,1,,True,False,False,,,,,,
JAC-C0:JAC-01-materialized-chunked_composite_vjp:cpu:c-0:m-none:l-3:s-none,MECH-C0,JAC-C0,JAC-01-materialized-chunked_composite_vjp,cpu,cpu,torch.float64,,0,3,,stage3b-a1-mechanism-controls-v1,stage3b-a1-mechanism-controls-implementation-v1,69455e6e77e447ff72609d1c8af5fa6136a7e88a,research/stage3b-a1-mechanism-controls-implementation,torch2pc-layerwise-thesis:0.1.0,69455e6e77e447ff72609d1c8af5fa6136a7e88a,b20d9142e4bdbf57b3ec8bf9f9c4472372ec8db4,0.0,0.0,0.0,1.0000000000000002,1.0,0.23123736038264814,0.23123736038264814,True,False,True,materialized_oracle,chunked_composite_vjp,4,2,4,[8],[8],[8],4,False,0,8e17f28babc1ba6f8a6e222858b4edf78f8ad598065f8f46a7ddf66608ec7da8,,"{""absolute_l2"": 0.0, ""candidate_norm"": 0.23123736038264814, ""comparison_passed"": true, ""cosine"": 1.0000000000000002, ""finite"": true, ""max_abs"": 0.0, ""norm_ratio"": 1.0, ""reference_norm"": 0.23123736038264814, ""relative_l2"": 0.0, ""zero_safe_path"": false}",True,aa5509e4be6c5cd79c76ae12209d7313ecd588321b1e5265a98978e1cafa7430,0c6c96d1fde5ccade1287c7014b06fa33f31f570c916bf1a187af6710e9f22ab,296ac0805aec6e344bced0dfa97f519d1b91512cd52fe69d16b168a03f897b64,2.9.1+rocm7.2.1.gitff65f5bc,7.2.53211-e1a6bc5663,cpu,1,,True,False,False,,,,,,
JAC-C0:JAC-01-materialized-composite_vjp:cpu:c-1:m-none:l-0:s-none,MECH-C0,JAC-C0,JAC-01-materialized-composite_vjp,cpu,cpu,torch.float64,,1,0,,stage3b-a1-mechanism-controls-v1,stage3b-a1-mechanism-controls-implementation-v1,69455e6e77e447ff72609d1c8af5fa6136a7e88a,research/stage3b-a1-mechanism-controls-implementation,torch2pc-layerwise-thesis:0.1.0,69455e6e77e447ff72609d1c8af5fa6136a7e88a,b20d9142e4bdbf57b3ec8bf9f9c4472372ec8db4,0.0,0.0,0.0,1.0,1.0,0.708907480794589,0.708907480794589,True,False,True,materialized_oracle,composite_vjp,4,1,4,[8],[8],[8],4,False,0,088e60baf2c224ab27324628357176198719bbf5137c0b2ed1cb2698e0526c06,,"{""absolute_l2"": 0.0, ""candidate_norm"": 0.708907480794589, ""comparison_passed"": true, ""cosine"": 1.0, ""finite"": true, ""max_abs"": 0.0, ""norm_ratio"": 1.0, ""reference_norm"": 0.708907480794589, ""relative_l2"": 0.0, ""zero_safe_path"": false}",True,aa5509e4be6c5cd79c76ae12209d7313ecd588321b1e5265a98978e1cafa7430,0c6c96d1fde5ccade1287c7014b06fa33f31f570c916bf1a187af6710e9f22ab,296ac0805aec6e344bced0dfa97f519d1b91512cd52fe69d16b168a03f897b64,2.9.1+rocm7.2.1.gitff65f5bc,7.2.53211-e1a6bc5663,cpu,1,,True,False,False,,,,,,
JAC-C0:JAC-01-materialized-chunked_composite_vjp:cpu:c-1:m-none:l-0:s-none,MECH-C0,JAC-C0,JAC-01-materialized-chunked_composite_vjp,cpu,cpu,torch.float64,,1,0,,stage3b-a1-mechanism-controls-v1,stage3b-a1-mechanism-controls-implementation-v1,69455e6e77e447ff72609d1c8af5fa6136a7e88a,research/stage3b-a1-mechanism-controls-implementation,torch2pc-layerwise-thesis:0.1.0,69455e6e77e447ff72609d1c8af5fa6136a7e88a,b20d9142e4bdbf57b3ec8bf9f9c4472372ec8db4,0.0,0.0,0.0,1.0,1.0,0.708907480794589,0.708907480794589,True,False,True,materialized_oracle,chunked_composite_vjp,4,2,4,[8],[8],[8],4,False,0,088e60baf2c224ab27324628357176198719bbf5137c0b2ed1cb2698e0526c06,,"{""absolute_l2"": 0.0, ""candidate_norm"": 0.708907480794589, ""comparison_passed"": true, ""cosine"": 1.0, ""finite"": true, ""max_abs"": 0.0, ""norm_ratio"": 1.0, ""reference_norm"": 0.708907480794589, ""relative_l2"": 0.0, ""zero_safe_path"": false}",True,aa5509e4be6c5cd79c76ae12209d7313ecd588321b1e5265a98978e1cafa7430,0c6c96d1fde5ccade1287c7014b06fa33f31f570c916bf1a187af6710e9f22ab,296ac0805aec6e344bced0dfa97f519d1b91512cd52fe69d16b168a03f897b64,2.9.1+rocm7.2.1.gitff65f5bc,7.2.53211-e1a6bc5663,cpu,1,,True,False,False,,,,,,
