record_key,control_id,sub_gate,case_id,lane,device,dtype,model_seed,construction_seed,layer_index,sweep_index,contract_id,implementation_schema_id,source_git_commit,source_git_branch,experiment_image,image_revision,torch2pc_commit,channel_norms,activity_a,resultant_r,q_value,pairwise_p,negative_interference_n,cancellation_d,chi,pairwise_cosines,observed_class,absolute_l2,relative_l2,max_abs,cosine,norm_ratio,reference_norm,candidate_norm,finite,zero_safe_path,comparison_passed,threshold_profile,expected_class,passed,contract_digest,construction_registry_digest,threshold_registry_digest,torch_version,torch_hip_version,device_name,cpu_thread_count,visible_rocm_devices,deterministic_algorithms_enabled,dataset_loader_used,test_split_access,canonical_metrics,refined_metrics,canonical_channel_id,technical_part_count,negative_control_comparison_passed,negative_control_finite,negative_control_cosine
GEO-C0:GEO-01-exact-ncz:cpu:c-0:m-none:l-none:s-none,MECH-C0,GEO-C0,GEO-01-exact-ncz,cpu,cpu,torch.float64,,0,,,stage3b-a1-mechanism-controls-v1,stage3b-a1-mechanism-controls-implementation-v1,69455e6e77e447ff72609d1c8af5fa6136a7e88a,research/stage3b-a1-mechanism-controls-implementation,torch2pc-layerwise-thesis:0.1.0,69455e6e77e447ff72609d1c8af5fa6136a7e88a,b20d9142e4bdbf57b3ec8bf9f9c4472372ec8db4,"[0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,,,[null],NCZ,0.0,,0.0,,,0.0,0.0,True,True,True,analytic_vector,NCZ,True,aa5509e4be6c5cd79c76ae12209d7313ecd588321b1e5265a98978e1cafa7430,0c6c96d1fde5ccade1287c7014b06fa33f31f570c916bf1a187af6710e9f22ab,296ac0805aec6e344bced0dfa97f519d1b91512cd52fe69d16b168a03f897b64,2.9.1+rocm7.2.1.gitff65f5bc,7.2.53211-e1a6bc5663,cpu,1,,True,False,False,,,,,,,
GEO-C0:GEO-02-two-channel-exact-ecz:cpu:c-0:m-none:l-none:s-none,MECH-C0,GEO-C0,GEO-02-two-channel-exact-ecz,cpu,cpu,torch.float64,,0,,,stage3b-a1-mechanism-controls-v1,stage3b-a1-mechanism-controls-implementation-v1,69455e6e77e447ff72609d1c8af5fa6136a7e88a,research/stage3b-a1-mechanism-controls-implementation,torch2pc-layerwise-thesis:0.1.0,69455e6e77e447ff72609d1c8af5fa6136a7e88a,b20d9142e4bdbf57b3ec8bf9f9c4472372ec8db4,"[0.25, 0.25]",0.5,0.0,0.125,-0.0625,0.125,1.0,0.0,[-1.0],ECZ,0.0,,0.0,,,0.0,0.0,True,True,True,analytic_vector,ECZ,True,aa5509e4be6c5cd79c76ae12209d7313ecd588321b1e5265a98978e1cafa7430,0c6c96d1fde5ccade1287c7014b06fa33f31f570c916bf1a187af6710e9f22ab,296ac0805aec6e344bced0dfa97f519d1b91512cd52fe69d16b168a03f897b64,2.9.1+rocm7.2.1.gitff65f5bc,7.2.53211-e1a6bc5663,cpu,1,,True,False,False,,,,,,,
GEO-C0:GEO-03-two-channel-near-ecz:cpu:c-0:m-none:l-none:s-none,MECH-C0,GEO-C0,GEO-03-two-channel-near-ecz,cpu,cpu,torch.float64,,0,,,stage3b-a1-mechanism-controls-v1,stage3b-a1-mechanism-controls-implementation-v1,69455e6e77e447ff72609d1c8af5fa6136a7e88a,research/stage3b-a1-mechanism-controls-implementation,torch2pc-layerwise-thesis:0.1.0,69455e6e77e447ff72609d1c8af5fa6136a7e88a,b20d9142e4bdbf57b3ec8bf9f9c4472372ec8db4,"[0.25, 0.24975]",0.49975,0.0002500000000000002,0.1248750625,-0.0624375,0.124875,0.9999994994997501,0.0005002501250625317,[-1.0],near_ecz_control,0.0,0.0,0.0,1.0,1.0,0.0002500000000000002,0.0002500000000000002,True,False,True,analytic_vector,near_ecz_control,True,aa5509e4be6c5cd79c76ae12209d7313ecd588321b1e5265a98978e1cafa7430,0c6c96d1fde5ccade1287c7014b06fa33f31f570c916bf1a187af6710e9f22ab,296ac0805aec6e344bced0dfa97f519d1b91512cd52fe69d16b168a03f897b64,2.9.1+rocm7.2.1.gitff65f5bc,7.2.53211-e1a6bc5663,cpu,1,,True,False,False,,,,,,,
GEO-C0:GEO-04-aligned:cpu:c-0:m-none:l-none:s-none,MECH-C0,GEO-C0,GEO-04-aligned,cpu,cpu,torch.float64,,0,,,stage3b-a1-mechanism-controls-v1,stage3b-a1-mechanism-controls-implementation-v1,69455e6e77e447ff72609d1c8af5fa6136a7e88a,research/stage3b-a1-mechanism-controls-implementation,torch2pc-layerwise-thesis:0.1.0,69455e6e77e447ff72609d1c8af5fa6136a7e88a,b20d9142e4bdbf57b3ec8bf9f9c4472372ec8db4,"[0.25, 0.5]",0.75,0.75,0.3125,0.125,0.0,0.0,1.0,[1.0],active_non_ecz,0.0,0.0,0.0,1.0,1.0,0.75,0.75,True,False,True,analytic_vector,active_non_ecz,True,aa5509e4be6c5cd79c76ae12209d7313ecd588321b1e5265a98978e1cafa7430,0c6c96d1fde5ccade1287c7014b06fa33f31f570c916bf1a187af6710e9f22ab,296ac0805aec6e344bced0dfa97f519d1b91512cd52fe69d16b168a03f897b64,2.9.1+rocm7.2.1.gitff65f5bc,7.2.53211-e1a6bc5663,cpu,1,,True,False,False,,,,,,,
GEO-C0:GEO-05-orthogonal:cpu:c-0:m-none:l-none:s-none,MECH-C0,GEO-C0,GEO-05-orthogonal,cpu,cpu,torch.float64,,0,,,stage3b-a1-mechanism-controls-v1,stage3b-a1-mechanism-controls-implementation-v1,69455e6e77e447ff72609d1c8af5fa6136a7e88a,research/stage3b-a1-mechanism-controls-implementation,torch2pc-layerwise-thesis:0.1.0,69455e6e77e447ff72609d1c8af5fa6136a7e88a,b20d9142e4bdbf57b3ec8bf9f9c4472372ec8db4,"[0.25, 0.25]",0.5,0.3535533905932738,0.125,0.0,0.0,0.0,0.7071067811865476,[0.0],active_non_ecz,0.0,0.0,0.0,0.9999999999999998,1.0,0.3535533905932738,0.3535533905932738,True,False,True,analytic_vector,active_non_ecz,True,aa5509e4be6c5cd79c76ae12209d7313ecd588321b1e5265a98978e1cafa7430,0c6c96d1fde5ccade1287c7014b06fa33f31f570c916bf1a187af6710e9f22ab,296ac0805aec6e344bced0dfa97f519d1b91512cd52fe69d16b168a03f897b64,2.9.1+rocm7.2.1.gitff65f5bc,7.2.53211-e1a6bc5663,cpu,1,,True,False,False,,,,,,,
GEO-C0:GEO-06-three-channel-120-degree-ecz:cpu:c-0:m-none:l-none:s-none,MECH-C0,GEO-C0,GEO-06-three-channel-120-degree-ecz,cpu,cpu,torch.float64,,0,,,stage3b-a1-mechanism-controls-v1,stage3b-a1-mechanism-controls-implementation-v1,69455e6e77e447ff72609d1c8af5fa6136a7e88a,research/stage3b-a1-mechanism-controls-implementation,torch2pc-layerwise-thesis:0.1.0,69455e6e77e447ff72609d1c8af5fa6136a7e88a,b20d9142e4bdbf57b3ec8bf9f9c4472372ec8db4,"[0.25, 0.24999999999999997, 0.24999999999999997]",0.75,0.0,0.18749999999999997,-0.09375,0.1875,1.0000000000000002,0.0,"[-0.5000000000000001, -0.5000000000000001, -0.5]",ECZ,0.0,,0.0,,,0.0,0.0,True,True,True,analytic_vector,ECZ,True,aa5509e4be6c5cd79c76ae12209d7313ecd588321b1e5265a98978e1cafa7430,0c6c96d1fde5ccade1287c7014b06fa33f31f570c916bf1a187af6710e9f22ab,296ac0805aec6e344bced0dfa97f519d1b91512cd52fe69d16b168a03f897b64,2.9.1+rocm7.2.1.gitff65f5bc,7.2.53211-e1a6bc5663,cpu,1,,True,False,False,,,,,,,
GEO-C0:GEO-07-channel-refinement-invariance:cpu:c-0:m-none:l-none:s-none,MECH-C0,GEO-C0,GEO-07-channel-refinement-invariance,cpu,cpu,torch.float64,,0,,,stage3b-a1-mechanism-controls-v1,stage3b-a1-mechanism-controls-implementation-v1,69455e6e77e447ff72609d1c8af5fa6136a7e88a,research/stage3b-a1-mechanism-controls-implementation,torch2pc-layerwise-thesis:0.1.0,69455e6e77e447ff72609d1c8af5fa6136a7e88a,b20d9142e4bdbf57b3ec8bf9f9c4472372ec8db4,,,,,,,,,,active_non_ecz,0.0,0.0,0.0,0.9999999999999999,1.0,0.5590169943749475,0.5590169943749475,True,False,True,analytic_vector,active_non_ecz,True,aa5509e4be6c5cd79c76ae12209d7313ecd588321b1e5265a98978e1cafa7430,0c6c96d1fde5ccade1287c7014b06fa33f31f570c916bf1a187af6710e9f22ab,296ac0805aec6e344bced0dfa97f519d1b91512cd52fe69d16b168a03f897b64,2.9.1+rocm7.2.1.gitff65f5bc,7.2.53211-e1a6bc5663,cpu,1,,True,False,False,"{""activity_a"": 0.5590169943749475, ""cancellation_d"": 0.0, ""channel_norms"": [0.5590169943749475], ""chi"": 1.0, ""negative_interference_n"": 0.0, ""observed_class"": ""active_non_ecz"", ""pairwise_cosines"": [], ""pairwise_p"": 0.0, ""q_value"": 0.31250000000000006, ""resultant_r"": 0.5590169943749475}","{""activity_a"": 0.5590169943749475, ""cancellation_d"": 0.0, ""channel_norms"": [0.5590169943749475], ""chi"": 1.0, ""negative_interference_n"": 0.0, ""observed_class"": ""active_non_ecz"", ""pairwise_cosines"": [], ""pairwise_p"": 0.0, ""q_value"": 0.31250000000000006, ""resultant_r"": 0.5590169943749475}",self,2,,,
GEO-C0:GEO-08-zero-safe-comparison:cpu:c-0:m-none:l-none:s-none,MECH-C0,GEO-C0,GEO-08-zero-safe-comparison,cpu,cpu,torch.float64,,0,,,stage3b-a1-mechanism-controls-v1,stage3b-a1-mechanism-controls-implementation-v1,69455e6e77e447ff72609d1c8af5fa6136a7e88a,research/stage3b-a1-mechanism-controls-implementation,torch2pc-layerwise-thesis:0.1.0,69455e6e77e447ff72609d1c8af5fa6136a7e88a,b20d9142e4bdbf57b3ec8bf9f9c4472372ec8db4,,,,,,,,,,zero_safe_control,0.0,,0.0,,,0.0,0.0,True,True,True,algebraic_zero,zero_safe_control,True,aa5509e4be6c5cd79c76ae12209d7313ecd588321b1e5265a98978e1cafa7430,0c6c96d1fde5ccade1287c7014b06fa33f31f570c916bf1a187af6710e9f22ab,296ac0805aec6e344bced0dfa97f519d1b91512cd52fe69d16b168a03f897b64,2.9.1+rocm7.2.1.gitff65f5bc,7.2.53211-e1a6bc5663,cpu,1,,True,False,False,,,,,False,True,
GEO-C0:GEO-01-exact-ncz:cpu:c-1:m-none:l-none:s-none,MECH-C0,GEO-C0,GEO-01-exact-ncz,cpu,cpu,torch.float64,,1,,,stage3b-a1-mechanism-controls-v1,stage3b-a1-mechanism-controls-implementation-v1,69455e6e77e447ff72609d1c8af5fa6136a7e88a,research/stage3b-a1-mechanism-controls-implementation,torch2pc-layerwise-thesis:0.1.0,69455e6e77e447ff72609d1c8af5fa6136a7e88a,b20d9142e4bdbf57b3ec8bf9f9c4472372ec8db4,"[0.0, 0.0]",0.0,0.0,0.0,0.0,0.0,,,[null],NCZ,0.0,,0.0,,,0.0,0.0,True,True,True,analytic_vector,NCZ,True,aa5509e4be6c5cd79c76ae12209d7313ecd588321b1e5265a98978e1cafa7430,0c6c96d1fde5ccade1287c7014b06fa33f31f570c916bf1a187af6710e9f22ab,296ac0805aec6e344bced0dfa97f519d1b91512cd52fe69d16b168a03f897b64,2.9.1+rocm7.2.1.gitff65f5bc,7.2.53211-e1a6bc5663,cpu,1,,True,False,False,,,,,,,
GEO-C0:GEO-02-two-channel-exact-ecz:cpu:c-1:m-none:l-none:s-none,MECH-C0,GEO-C0,GEO-02-two-channel-exact-ecz,cpu,cpu,torch.float64,,1,,,stage3b-a1-mechanism-controls-v1,stage3b-a1-mechanism-controls-implementation-v1,69455e6e77e447ff72609d1c8af5fa6136a7e88a,research/stage3b-a1-mechanism-controls-implementation,torch2pc-layerwise-thesis:0.1.0,69455e6e77e447ff72609d1c8af5fa6136a7e88a,b20d9142e4bdbf57b3ec8bf9f9c4472372ec8db4,"[1.0, 1.0]",2.0,0.0,2.0,-1.0,2.0,1.0,0.0,[-1.0],ECZ,0.0,,0.0,,,0.0,0.0,True,True,True,analytic_vector,ECZ,True,aa5509e4be6c5cd79c76ae12209d7313ecd588321b1e5265a98978e1cafa7430,0c6c96d1fde5ccade1287c7014b06fa33f31f570c916bf1a187af6710e9f22ab,296ac0805aec6e344bced0dfa97f519d1b91512cd52fe69d16b168a03f897b64,2.9.1+rocm7.2.1.gitff65f5bc,7.2.53211-e1a6bc5663,cpu,1,,True,False,False,,,,,,,
