record_key,control_id,sub_gate,case_id,lane,device,dtype,model_seed,construction_seed,layer_index,sweep_index,contract_id,implementation_schema_id,source_git_commit,source_git_branch,experiment_image,image_revision,torch2pc_commit,absolute_l2,relative_l2,max_abs,cosine,norm_ratio,reference_norm,candidate_norm,finite,zero_safe_path,comparison_passed,threshold_profile,source_norm,transported_norm,gamma,expected_class,observed_class,passed,operator_scale,operator_norm,expected_gamma,extra_passed,contract_digest,construction_registry_digest,threshold_registry_digest,torch_version,torch_hip_version,device_name,cpu_thread_count,visible_rocm_devices,deterministic_algorithms_enabled,dataset_loader_used,test_split_access,adjoint_left,adjoint_right,norm_preservation_ratio,direct_cumulative_gain,product_local_directional_gains,tnz_transport_class,tnz_aggregation_class,tnz_aggregate_norm,ecz_transport_class,ecz_aggregation_class,ecz_aggregate_norm
TR-C0:TR-01-scaled-identity-c-1:cpu:c-0:m-none:l-none:s-none,MECH-C0,TR-C0,TR-01-scaled-identity-c-1,cpu,cpu,torch.float64,,0,,,stage3b-a1-mechanism-controls-v1,stage3b-a1-mechanism-controls-implementation-v1,69455e6e77e447ff72609d1c8af5fa6136a7e88a,research/stage3b-a1-mechanism-controls-implementation,torch2pc-layerwise-thesis:0.1.0,69455e6e77e447ff72609d1c8af5fa6136a7e88a,b20d9142e4bdbf57b3ec8bf9f9c4472372ec8db4,0.0,0.0,0.0,1.0,1.0,0.28641098093474,0.28641098093474,True,False,True,analytic_vector,0.28641098093474,0.28641098093474,1.0,transported_active,transported_active,True,1.0,1.0,1.0,True,aa5509e4be6c5cd79c76ae12209d7313ecd588321b1e5265a98978e1cafa7430,0c6c96d1fde5ccade1287c7014b06fa33f31f570c916bf1a187af6710e9f22ab,296ac0805aec6e344bced0dfa97f519d1b91512cd52fe69d16b168a03f897b64,2.9.1+rocm7.2.1.gitff65f5bc,7.2.53211-e1a6bc5663,cpu,1,,True,False,False,,,,,,,,,,,
TR-C0:TR-01-scaled-identity-c-0.5:cpu:c-0:m-none:l-none:s-none,MECH-C0,TR-C0,TR-01-scaled-identity-c-0.5,cpu,cpu,torch.float64,,0,,,stage3b-a1-mechanism-controls-v1,stage3b-a1-mechanism-controls-implementation-v1,69455e6e77e447ff72609d1c8af5fa6136a7e88a,research/stage3b-a1-mechanism-controls-implementation,torch2pc-layerwise-thesis:0.1.0,69455e6e77e447ff72609d1c8af5fa6136a7e88a,b20d9142e4bdbf57b3ec8bf9f9c4472372ec8db4,0.0,0.0,0.0,1.0,1.0,0.14320549046737,0.14320549046737,True,False,True,analytic_vector,0.28641098093474,0.14320549046737,0.5,transported_active,transported_active,True,0.5,0.5,0.5,True,aa5509e4be6c5cd79c76ae12209d7313ecd588321b1e5265a98978e1cafa7430,0c6c96d1fde5ccade1287c7014b06fa33f31f570c916bf1a187af6710e9f22ab,296ac0805aec6e344bced0dfa97f519d1b91512cd52fe69d16b168a03f897b64,2.9.1+rocm7.2.1.gitff65f5bc,7.2.53211-e1a6bc5663,cpu,1,,True,False,False,,,,,,,,,,,
TR-C0:TR-01-scaled-identity-c-0.1:cpu:c-0:m-none:l-none:s-none,MECH-C0,TR-C0,TR-01-scaled-identity-c-0.1,cpu,cpu,torch.float64,,0,,,stage3b-a1-mechanism-controls-v1,stage3b-a1-mechanism-controls-implementation-v1,69455e6e77e447ff72609d1c8af5fa6136a7e88a,research/stage3b-a1-mechanism-controls-implementation,torch2pc-layerwise-thesis:0.1.0,69455e6e77e447ff72609d1c8af5fa6136a7e88a,b20d9142e4bdbf57b3ec8bf9f9c4472372ec8db4,0.0,0.0,0.0,0.9999999999999998,1.0,0.028641098093474003,0.028641098093474003,True,False,True,analytic_vector,0.28641098093474,0.028641098093474003,0.10000000000000002,transported_active,transported_active,True,0.1,0.1,0.1,True,aa5509e4be6c5cd79c76ae12209d7313ecd588321b1e5265a98978e1cafa7430,0c6c96d1fde5ccade1287c7014b06fa33f31f570c916bf1a187af6710e9f22ab,296ac0805aec6e344bced0dfa97f519d1b91512cd52fe69d16b168a03f897b64,2.9.1+rocm7.2.1.gitff65f5bc,7.2.53211-e1a6bc5663,cpu,1,,True,False,False,,,,,,,,,,,
TR-C0:TR-01-scaled-identity-c-0.01:cpu:c-0:m-none:l-none:s-none,MECH-C0,TR-C0,TR-01-scaled-identity-c-0.01,cpu,cpu,torch.float64,,0,,,stage3b-a1-mechanism-controls-v1,stage3b-a1-mechanism-controls-implementation-v1,69455e6e77e447ff72609d1c8af5fa6136a7e88a,research/stage3b-a1-mechanism-controls-implementation,torch2pc-layerwise-thesis:0.1.0,69455e6e77e447ff72609d1c8af5fa6136a7e88a,b20d9142e4bdbf57b3ec8bf9f9c4472372ec8db4,0.0,0.0,0.0,0.9999999999999998,1.0,0.0028641098093474004,0.0028641098093474004,True,False,True,analytic_vector,0.28641098093474,0.0028641098093474004,0.010000000000000002,transported_active,transported_active,True,0.01,0.01,0.01,True,aa5509e4be6c5cd79c76ae12209d7313ecd588321b1e5265a98978e1cafa7430,0c6c96d1fde5ccade1287c7014b06fa33f31f570c916bf1a187af6710e9f22ab,296ac0805aec6e344bced0dfa97f519d1b91512cd52fe69d16b168a03f897b64,2.9.1+rocm7.2.1.gitff65f5bc,7.2.53211-e1a6bc5663,cpu,1,,True,False,False,,,,,,,,,,,
TR-C0:TR-01-scaled-identity-c-0:cpu:c-0:m-none:l-none:s-none,MECH-C0,TR-C0,TR-01-scaled-identity-c-0,cpu,cpu,torch.float64,,0,,,stage3b-a1-mechanism-controls-v1,stage3b-a1-mechanism-controls-implementation-v1,69455e6e77e447ff72609d1c8af5fa6136a7e88a,research/stage3b-a1-mechanism-controls-implementation,torch2pc-layerwise-thesis:0.1.0,69455e6e77e447ff72609d1c8af5fa6136a7e88a,b20d9142e4bdbf57b3ec8bf9f9c4472372ec8db4,0.0,,0.0,,,0.0,0.0,True,True,True,analytic_vector,0.28641098093474,0.0,0.0,TNZ,TNZ,True,0.0,0.0,0.0,True,aa5509e4be6c5cd79c76ae12209d7313ecd588321b1e5265a98978e1cafa7430,0c6c96d1fde5ccade1287c7014b06fa33f31f570c916bf1a187af6710e9f22ab,296ac0805aec6e344bced0dfa97f519d1b91512cd52fe69d16b168a03f897b64,2.9.1+rocm7.2.1.gitff65f5bc,7.2.53211-e1a6bc5663,cpu,1,,True,False,False,,,,,,,,,,,
TR-C0:TR-02-exact-tnz-nonzero-operator:cpu:c-0:m-none:l-none:s-none,MECH-C0,TR-C0,TR-02-exact-tnz-nonzero-operator,cpu,cpu,torch.float64,,0,,,stage3b-a1-mechanism-controls-v1,stage3b-a1-mechanism-controls-implementation-v1,69455e6e77e447ff72609d1c8af5fa6136a7e88a,research/stage3b-a1-mechanism-controls-implementation,torch2pc-layerwise-thesis:0.1.0,69455e6e77e447ff72609d1c8af5fa6136a7e88a,b20d9142e4bdbf57b3ec8bf9f9c4472372ec8db4,0.0,,0.0,,,0.0,0.0,True,True,True,analytic_vector,0.25,0.0,0.0,TNZ,TNZ,True,,1.0,,True,aa5509e4be6c5cd79c76ae12209d7313ecd588321b1e5265a98978e1cafa7430,0c6c96d1fde5ccade1287c7014b06fa33f31f570c916bf1a187af6710e9f22ab,296ac0805aec6e344bced0dfa97f519d1b91512cd52fe69d16b168a03f897b64,2.9.1+rocm7.2.1.gitff65f5bc,7.2.53211-e1a6bc5663,cpu,1,,True,False,False,,,,,,,,,,,
TR-C0:TR-03-active-projection-control:cpu:c-0:m-none:l-none:s-none,MECH-C0,TR-C0,TR-03-active-projection-control,cpu,cpu,torch.float64,,0,,,stage3b-a1-mechanism-controls-v1,stage3b-a1-mechanism-controls-implementation-v1,69455e6e77e447ff72609d1c8af5fa6136a7e88a,research/stage3b-a1-mechanism-controls-implementation,torch2pc-layerwise-thesis:0.1.0,69455e6e77e447ff72609d1c8af5fa6136a7e88a,b20d9142e4bdbf57b3ec8bf9f9c4472372ec8db4,0.0,0.0,0.0,1.0,1.0,0.25,0.25,True,False,True,analytic_vector,0.25,0.25,1.0,transported_active,transported_active,True,,,,,aa5509e4be6c5cd79c76ae12209d7313ecd588321b1e5265a98978e1cafa7430,0c6c96d1fde5ccade1287c7014b06fa33f31f570c916bf1a187af6710e9f22ab,296ac0805aec6e344bced0dfa97f519d1b91512cd52fe69d16b168a03f897b64,2.9.1+rocm7.2.1.gitff65f5bc,7.2.53211-e1a6bc5663,cpu,1,,True,False,False,,,,,,,,,,,
TR-C0:TR-04-orthogonal-norm-preserving:cpu:c-0:m-none:l-none:s-none,MECH-C0,TR-C0,TR-04-orthogonal-norm-preserving,cpu,cpu,torch.float64,,0,,,stage3b-a1-mechanism-controls-v1,stage3b-a1-mechanism-controls-implementation-v1,69455e6e77e447ff72609d1c8af5fa6136a7e88a,research/stage3b-a1-mechanism-controls-implementation,torch2pc-layerwise-thesis:0.1.0,69455e6e77e447ff72609d1c8af5fa6136a7e88a,b20d9142e4bdbf57b3ec8bf9f9c4472372ec8db4,0.0,0.0,0.0,1.0,1.0,0.375,0.375,True,False,True,analytic_vector,0.375,0.375,1.0,transported_active,transported_active,True,,,,True,aa5509e4be6c5cd79c76ae12209d7313ecd588321b1e5265a98978e1cafa7430,0c6c96d1fde5ccade1287c7014b06fa33f31f570c916bf1a187af6710e9f22ab,296ac0805aec6e344bced0dfa97f519d1b91512cd52fe69d16b168a03f897b64,2.9.1+rocm7.2.1.gitff65f5bc,7.2.53211-e1a6bc5663,cpu,1,,True,False,False,-0.125,-0.125,1.0,,,,,,,,
TR-C0:TR-05-direct-cumulative-transport:cpu:c-0:m-none:l-none:s-none,MECH-C0,TR-C0,TR-05-direct-cumulative-transport,cpu,cpu,torch.float64,,0,,,stage3b-a1-mechanism-controls-v1,stage3b-a1-mechanism-controls-implementation-v1,69455e6e77e447ff72609d1c8af5fa6136a7e88a,research/stage3b-a1-mechanism-controls-implementation,torch2pc-layerwise-thesis:0.1.0,69455e6e77e447ff72609d1c8af5fa6136a7e88a,b20d9142e4bdbf57b3ec8bf9f9c4472372ec8db4,0.0,0.0,0.0,1.0,1.0,0.37474440216829985,0.37474440216829985,True,False,True,analytic_vector,0.375,0.37474440216829985,0.9993184057821329,transported_active,transported_active,True,,,,True,aa5509e4be6c5cd79c76ae12209d7313ecd588321b1e5265a98978e1cafa7430,0c6c96d1fde5ccade1287c7014b06fa33f31f570c916bf1a187af6710e9f22ab,296ac0805aec6e344bced0dfa97f519d1b91512cd52fe69d16b168a03f897b64,2.9.1+rocm7.2.1.gitff65f5bc,7.2.53211-e1a6bc5663,cpu,1,,True,False,False,,,,0.9993184057821329,0.9993184057821329,,,,,,
TR-C0:TR-06-tnz-ecz-separation:cpu:c-0:m-none:l-none:s-none,MECH-C0,TR-C0,TR-06-tnz-ecz-separation,cpu,cpu,torch.float64,,0,,,stage3b-a1-mechanism-controls-v1,stage3b-a1-mechanism-controls-implementation-v1,69455e6e77e447ff72609d1c8af5fa6136a7e88a,research/stage3b-a1-mechanism-controls-implementation,torch2pc-layerwise-thesis:0.1.0,69455e6e77e447ff72609d1c8af5fa6136a7e88a,b20d9142e4bdbf57b3ec8bf9f9c4472372ec8db4,0.0,,0.0,,,0.0,0.0,True,True,True,analytic_vector,,,,,,True,,,,,aa5509e4be6c5cd79c76ae12209d7313ecd588321b1e5265a98978e1cafa7430,0c6c96d1fde5ccade1287c7014b06fa33f31f570c916bf1a187af6710e9f22ab,296ac0805aec6e344bced0dfa97f519d1b91512cd52fe69d16b168a03f897b64,2.9.1+rocm7.2.1.gitff65f5bc,7.2.53211-e1a6bc5663,cpu,1,,True,False,False,,,,,,TNZ,active_non_ecz,0.25,transported_active,ECZ,0.0
