torch2pc_commit,torch_version,torch_hip_version,cpu_thread_count,visible_rocm_devices,model_architecture,batch_size,benchmark_schema_id,observer_schema_id,key,lane,arm,model_seed,batch_index,execution_order,source_git_commit,source_git_branch,experiment_image,device_name,dtype,reference_baseline_rss_bytes,reference_peak_rss_bytes,reference_final_rss_bytes,reference_vm_hwm_bytes,candidate_baseline_rss_bytes,candidate_peak_rss_bytes,candidate_final_rss_bytes,candidate_vm_hwm_bytes,reference_incremental_peak_rss_bytes,candidate_incremental_peak_rss_bytes,reference_baseline_allocated_bytes,candidate_baseline_allocated_bytes,reference_peak_allocated_bytes,candidate_peak_allocated_bytes,reference_current_allocated_bytes,candidate_current_allocated_bytes,reference_incremental_peak_allocated_bytes,candidate_incremental_peak_allocated_bytes,reference_baseline_reserved_bytes,candidate_baseline_reserved_bytes,reference_peak_reserved_bytes,candidate_peak_reserved_bytes,reference_current_reserved_bytes,candidate_current_reserved_bytes,reference_incremental_peak_reserved_bytes,candidate_incremental_peak_reserved_bytes,candidate_payload_bytes,candidate_payload_records,candidate_payload_bytes_by_role,candidate_payload_bytes_by_layer,paired_peak_memory_difference_bytes,memory_accounting_residual_bytes,passed_structure
b20d9142e4bdbf57b3ec8bf9f9c4472372ec8db4,2.9.1+rocm7.2.1.gitff65f5bc,7.2.53211-e1a6bc5663,1,,lenet_classic,256,stage3b-a1-obs-oh0-v1,stage3b-a1-obs-ni0-first-forward-io-v1,cpu:fixedpred:s0:b0,cpu,fixedpred,0,0,off_then_on,59dbcfa41a9c35cc8b72e75288aaa505459499d8,research/stage3b-a1-obs-oh0-observer-overhead,torch2pc-layerwise-thesis:0.1.0,cpu,torch.float64,897794048,1040842752,1002536960,1040769024,905555968,1046921216,1004695552,1046765568,143048704,141365248,,,,,,,,,,,,,,,,,11046912,12,"{""layer_input"": 6561792, ""layer_output"": 4485120}","{""0"": 4505600, ""1"": 3227648, ""2"": 1638400, ""3"": 1064960, ""4"": 417792, ""5"": 192512}",-1683456,-12730368,True
b20d9142e4bdbf57b3ec8bf9f9c4472372ec8db4,2.9.1+rocm7.2.1.gitff65f5bc,7.2.53211-e1a6bc5663,1,,lenet_classic,256,stage3b-a1-obs-oh0-v1,stage3b-a1-obs-ni0-first-forward-io-v1,cpu:joint_vjp:s0:b0,cpu,joint_vjp,0,0,on_then_off,59dbcfa41a9c35cc8b72e75288aaa505459499d8,research/stage3b-a1-obs-oh0-observer-overhead,torch2pc-layerwise-thesis:0.1.0,cpu,torch.float64,922107904,1015361536,975605760,1015255040,915927040,1019662336,979824640,1019555840,93253632,103735296,,,,,,,,,,,,,,,,,11046912,12,"{""layer_input"": 6561792, ""layer_output"": 4485120}","{""0"": 4505600, ""1"": 3227648, ""2"": 1638400, ""3"": 1064960, ""4"": 417792, ""5"": 192512}",10481664,-565248,True
b20d9142e4bdbf57b3ec8bf9f9c4472372ec8db4,2.9.1+rocm7.2.1.gitff65f5bc,7.2.53211-e1a6bc5663,1,,lenet_classic,256,stage3b-a1-obs-oh0-v1,stage3b-a1-obs-ni0-first-forward-io-v1,cpu:fixedpred:s0:b1,cpu,fixedpred,0,1,on_then_off,59dbcfa41a9c35cc8b72e75288aaa505459499d8,research/stage3b-a1-obs-oh0-observer-overhead,torch2pc-layerwise-thesis:0.1.0,cpu,torch.float64,915742720,1044881408,1003556864,1044725760,897769472,1042083840,997240832,1041928192,129138688,144314368,,,,,,,,,,,,,,,,,11046912,12,"{""layer_input"": 6561792, ""layer_output"": 4485120}","{""0"": 4505600, ""1"": 3227648, ""2"": 1638400, ""3"": 1064960, ""4"": 417792, ""5"": 192512}",15175680,4128768,True
b20d9142e4bdbf57b3ec8bf9f9c4472372ec8db4,2.9.1+rocm7.2.1.gitff65f5bc,7.2.53211-e1a6bc5663,1,,lenet_classic,256,stage3b-a1-obs-oh0-v1,stage3b-a1-obs-ni0-first-forward-io-v1,cpu:joint_vjp:s0:b1,cpu,joint_vjp,0,1,off_then_on,59dbcfa41a9c35cc8b72e75288aaa505459499d8,research/stage3b-a1-obs-oh0-observer-overhead,torch2pc-layerwise-thesis:0.1.0,cpu,torch.float64,905912320,998289408,958521344,998133760,905228288,1008586752,968699904,1008431104,92377088,103358464,,,,,,,,,,,,,,,,,11046912,12,"{""layer_input"": 6561792, ""layer_output"": 4485120}","{""0"": 4505600, ""1"": 3227648, ""2"": 1638400, ""3"": 1064960, ""4"": 417792, ""5"": 192512}",10981376,-65536,True
b20d9142e4bdbf57b3ec8bf9f9c4472372ec8db4,2.9.1+rocm7.2.1.gitff65f5bc,7.2.53211-e1a6bc5663,1,,lenet_classic,256,stage3b-a1-obs-oh0-v1,stage3b-a1-obs-ni0-first-forward-io-v1,cpu:fixedpred:s0:b2,cpu,fixedpred,0,2,off_then_on,59dbcfa41a9c35cc8b72e75288aaa505459499d8,research/stage3b-a1-obs-oh0-observer-overhead,torch2pc-layerwise-thesis:0.1.0,cpu,torch.float64,897257472,1029107712,985653248,1029001216,904974336,1056886784,1007116288,1056714752,131850240,151912448,,,,,,,,,,,,,,,,,11046912,12,"{""layer_input"": 6561792, ""layer_output"": 4485120}","{""0"": 4505600, ""1"": 3227648, ""2"": 1638400, ""3"": 1064960, ""4"": 417792, ""5"": 192512}",20062208,9015296,True
b20d9142e4bdbf57b3ec8bf9f9c4472372ec8db4,2.9.1+rocm7.2.1.gitff65f5bc,7.2.53211-e1a6bc5663,1,,lenet_classic,256,stage3b-a1-obs-oh0-v1,stage3b-a1-obs-ni0-first-forward-io-v1,cpu:joint_vjp:s0:b2,cpu,joint_vjp,0,2,on_then_off,59dbcfa41a9c35cc8b72e75288aaa505459499d8,research/stage3b-a1-obs-oh0-observer-overhead,torch2pc-layerwise-thesis:0.1.0,cpu,torch.float64,905691136,997904384,958070784,997863424,922841088,1026306048,986542080,1026265088,92213248,103464960,,,,,,,,,,,,,,,,,11046912,12,"{""layer_input"": 6561792, ""layer_output"": 4485120}","{""0"": 4505600, ""1"": 3227648, ""2"": 1638400, ""3"": 1064960, ""4"": 417792, ""5"": 192512}",11251712,204800,True
b20d9142e4bdbf57b3ec8bf9f9c4472372ec8db4,2.9.1+rocm7.2.1.gitff65f5bc,7.2.53211-e1a6bc5663,1,,lenet_classic,256,stage3b-a1-obs-oh0-v1,stage3b-a1-obs-ni0-first-forward-io-v1,cpu:fixedpred:s0:b3,cpu,fixedpred,0,3,on_then_off,59dbcfa41a9c35cc8b72e75288aaa505459499d8,research/stage3b-a1-obs-oh0-observer-overhead,torch2pc-layerwise-thesis:0.1.0,cpu,torch.float64,905359360,1035079680,990150656,1035038720,905248768,1059926016,1010155520,1059753984,129720320,154677248,,,,,,,,,,,,,,,,,11046912,12,"{""layer_input"": 6561792, ""layer_output"": 4485120}","{""0"": 4505600, ""1"": 3227648, ""2"": 1638400, ""3"": 1064960, ""4"": 417792, ""5"": 192512}",24956928,13910016,True
b20d9142e4bdbf57b3ec8bf9f9c4472372ec8db4,2.9.1+rocm7.2.1.gitff65f5bc,7.2.53211-e1a6bc5663,1,,lenet_classic,256,stage3b-a1-obs-oh0-v1,stage3b-a1-obs-ni0-first-forward-io-v1,cpu:joint_vjp:s0:b3,cpu,joint_vjp,0,3,off_then_on,59dbcfa41a9c35cc8b72e75288aaa505459499d8,research/stage3b-a1-obs-oh0-observer-overhead,torch2pc-layerwise-thesis:0.1.0,cpu,torch.float64,922021888,1015283712,975527936,1015177216,905732096,1008852992,968966144,1008697344,93261824,103120896,,,,,,,,,,,,,,,,,11046912,12,"{""layer_input"": 6561792, ""layer_output"": 4485120}","{""0"": 4505600, ""1"": 3227648, ""2"": 1638400, ""3"": 1064960, ""4"": 417792, ""5"": 192512}",9859072,-1187840,True
b20d9142e4bdbf57b3ec8bf9f9c4472372ec8db4,2.9.1+rocm7.2.1.gitff65f5bc,7.2.53211-e1a6bc5663,1,,lenet_classic,256,stage3b-a1-obs-oh0-v1,stage3b-a1-obs-ni0-first-forward-io-v1,cpu:fixedpred:s0:b4,cpu,fixedpred,0,4,off_then_on,59dbcfa41a9c35cc8b72e75288aaa505459499d8,research/stage3b-a1-obs-oh0-observer-overhead,torch2pc-layerwise-thesis:0.1.0,cpu,torch.float64,922836992,1053503488,1013551104,1053347840,901709824,1042935808,1004621824,1042894848,130666496,141225984,,,,,,,,,,,,,,,,,11046912,12,"{""layer_input"": 6561792, ""layer_output"": 4485120}","{""0"": 4505600, ""1"": 3227648, ""2"": 1638400, ""3"": 1064960, ""4"": 417792, ""5"": 192512}",10559488,-487424,True
b20d9142e4bdbf57b3ec8bf9f9c4472372ec8db4,2.9.1+rocm7.2.1.gitff65f5bc,7.2.53211-e1a6bc5663,1,,lenet_classic,256,stage3b-a1-obs-oh0-v1,stage3b-a1-obs-ni0-first-forward-io-v1,cpu:joint_vjp:s0:b4,cpu,joint_vjp,0,4,on_then_off,59dbcfa41a9c35cc8b72e75288aaa505459499d8,research/stage3b-a1-obs-oh0-observer-overhead,torch2pc-layerwise-thesis:0.1.0,cpu,torch.float64,910192640,1002614784,962785280,1002508288,905347072,1008328704,968359936,1008222208,92422144,102981632,,,,,,,,,,,,,,,,,11046912,12,"{""layer_input"": 6561792, ""layer_output"": 4485120}","{""0"": 4505600, ""1"": 3227648, ""2"": 1638400, ""3"": 1064960, ""4"": 417792, ""5"": 192512}",10559488,-487424,True
