torch2pc_commit,torch_version,torch_hip_version,cpu_thread_count,visible_rocm_devices,model_architecture,batch_size,benchmark_schema_id,observer_schema_id,key,lane,arm,model_seed,batch_index,execution_order,source_git_commit,source_git_branch,experiment_image,device_name,dtype,reference_baseline_rss_bytes,reference_peak_rss_bytes,reference_final_rss_bytes,reference_vm_hwm_bytes,candidate_baseline_rss_bytes,candidate_peak_rss_bytes,candidate_final_rss_bytes,candidate_vm_hwm_bytes,reference_incremental_peak_rss_bytes,candidate_incremental_peak_rss_bytes,reference_baseline_allocated_bytes,candidate_baseline_allocated_bytes,reference_peak_allocated_bytes,candidate_peak_allocated_bytes,reference_current_allocated_bytes,candidate_current_allocated_bytes,reference_incremental_peak_allocated_bytes,candidate_incremental_peak_allocated_bytes,reference_baseline_reserved_bytes,candidate_baseline_reserved_bytes,reference_peak_reserved_bytes,candidate_peak_reserved_bytes,reference_current_reserved_bytes,candidate_current_reserved_bytes,reference_incremental_peak_reserved_bytes,candidate_incremental_peak_reserved_bytes,candidate_payload_bytes,candidate_payload_records,candidate_payload_bytes_by_role,candidate_payload_bytes_by_layer,paired_peak_memory_difference_bytes,memory_accounting_residual_bytes,passed_structure
b20d9142e4bdbf57b3ec8bf9f9c4472372ec8db4,2.9.1+rocm7.2.1.gitff65f5bc,7.2.53211-e1a6bc5663,4,0,lenet_classic,256,stage3b-a1-obs-oh0-v1,stage3b-a1-obs-ni0-first-forward-io-v1,rocm:fixedpred:s0:b0,rocm,fixedpred,0,0,off_then_on,59dbcfa41a9c35cc8b72e75288aaa505459499d8,research/stage3b-a1-obs-oh0-observer-overhead,torch2pc-layerwise-thesis:0.1.0,AMD Radeon RX 7700 XT,torch.float32,,,,,,,,,,,1299968,1299968,151787520,156139520,114795520,120318976,150487552,154839552,2097152,2097152,169869312,171966464,169869312,150994944,167772160,169869312,5523456,12,"{""layer_input"": 3280896, ""layer_output"": 2242560}","{""0"": 2252800, ""1"": 1613824, ""2"": 819200, ""3"": 532480, ""4"": 208896, ""5"": 96256}",4352000,-1171456,True
b20d9142e4bdbf57b3ec8bf9f9c4472372ec8db4,2.9.1+rocm7.2.1.gitff65f5bc,7.2.53211-e1a6bc5663,4,0,lenet_classic,256,stage3b-a1-obs-oh0-v1,stage3b-a1-obs-ni0-first-forward-io-v1,rocm:joint_vjp:s0:b0,rocm,joint_vjp,0,0,on_then_off,59dbcfa41a9c35cc8b72e75288aaa505459499d8,research/stage3b-a1-obs-oh0-observer-overhead,torch2pc-layerwise-thesis:0.1.0,AMD Radeon RX 7700 XT,torch.float32,,,,,,,,,,,1299968,1299968,132282368,137805824,114795520,120318976,130982400,136505856,2097152,2097152,138412032,142606336,138412032,142606336,136314880,140509184,5523456,12,"{""layer_input"": 3280896, ""layer_output"": 2242560}","{""0"": 2252800, ""1"": 1613824, ""2"": 819200, ""3"": 532480, ""4"": 208896, ""5"": 96256}",5523456,0,True
b20d9142e4bdbf57b3ec8bf9f9c4472372ec8db4,2.9.1+rocm7.2.1.gitff65f5bc,7.2.53211-e1a6bc5663,4,0,lenet_classic,256,stage3b-a1-obs-oh0-v1,stage3b-a1-obs-ni0-first-forward-io-v1,rocm:fixedpred:s0:b1,rocm,fixedpred,0,1,on_then_off,59dbcfa41a9c35cc8b72e75288aaa505459499d8,research/stage3b-a1-obs-oh0-observer-overhead,torch2pc-layerwise-thesis:0.1.0,AMD Radeon RX 7700 XT,torch.float32,,,,,,,,,,,1299968,1299968,151787520,156139520,114795520,120318976,150487552,154839552,2097152,2097152,169869312,171966464,169869312,150994944,167772160,169869312,5523456,12,"{""layer_input"": 3280896, ""layer_output"": 2242560}","{""0"": 2252800, ""1"": 1613824, ""2"": 819200, ""3"": 532480, ""4"": 208896, ""5"": 96256}",4352000,-1171456,True
b20d9142e4bdbf57b3ec8bf9f9c4472372ec8db4,2.9.1+rocm7.2.1.gitff65f5bc,7.2.53211-e1a6bc5663,4,0,lenet_classic,256,stage3b-a1-obs-oh0-v1,stage3b-a1-obs-ni0-first-forward-io-v1,rocm:joint_vjp:s0:b1,rocm,joint_vjp,0,1,off_then_on,59dbcfa41a9c35cc8b72e75288aaa505459499d8,research/stage3b-a1-obs-oh0-observer-overhead,torch2pc-layerwise-thesis:0.1.0,AMD Radeon RX 7700 XT,torch.float32,,,,,,,,,,,1299968,1299968,132282368,137805824,114795520,120318976,130982400,136505856,2097152,2097152,138412032,142606336,138412032,142606336,136314880,140509184,5523456,12,"{""layer_input"": 3280896, ""layer_output"": 2242560}","{""0"": 2252800, ""1"": 1613824, ""2"": 819200, ""3"": 532480, ""4"": 208896, ""5"": 96256}",5523456,0,True
b20d9142e4bdbf57b3ec8bf9f9c4472372ec8db4,2.9.1+rocm7.2.1.gitff65f5bc,7.2.53211-e1a6bc5663,4,0,lenet_classic,256,stage3b-a1-obs-oh0-v1,stage3b-a1-obs-ni0-first-forward-io-v1,rocm:fixedpred:s0:b2,rocm,fixedpred,0,2,off_then_on,59dbcfa41a9c35cc8b72e75288aaa505459499d8,research/stage3b-a1-obs-oh0-observer-overhead,torch2pc-layerwise-thesis:0.1.0,AMD Radeon RX 7700 XT,torch.float32,,,,,,,,,,,1299968,1299968,151787520,156139520,114795520,120318976,150487552,154839552,2097152,2097152,169869312,171966464,169869312,150994944,167772160,169869312,5523456,12,"{""layer_input"": 3280896, ""layer_output"": 2242560}","{""0"": 2252800, ""1"": 1613824, ""2"": 819200, ""3"": 532480, ""4"": 208896, ""5"": 96256}",4352000,-1171456,True
b20d9142e4bdbf57b3ec8bf9f9c4472372ec8db4,2.9.1+rocm7.2.1.gitff65f5bc,7.2.53211-e1a6bc5663,4,0,lenet_classic,256,stage3b-a1-obs-oh0-v1,stage3b-a1-obs-ni0-first-forward-io-v1,rocm:joint_vjp:s0:b2,rocm,joint_vjp,0,2,on_then_off,59dbcfa41a9c35cc8b72e75288aaa505459499d8,research/stage3b-a1-obs-oh0-observer-overhead,torch2pc-layerwise-thesis:0.1.0,AMD Radeon RX 7700 XT,torch.float32,,,,,,,,,,,1299968,1299968,132282368,137805824,114795520,120318976,130982400,136505856,2097152,2097152,138412032,142606336,138412032,142606336,136314880,140509184,5523456,12,"{""layer_input"": 3280896, ""layer_output"": 2242560}","{""0"": 2252800, ""1"": 1613824, ""2"": 819200, ""3"": 532480, ""4"": 208896, ""5"": 96256}",5523456,0,True
b20d9142e4bdbf57b3ec8bf9f9c4472372ec8db4,2.9.1+rocm7.2.1.gitff65f5bc,7.2.53211-e1a6bc5663,4,0,lenet_classic,256,stage3b-a1-obs-oh0-v1,stage3b-a1-obs-ni0-first-forward-io-v1,rocm:fixedpred:s0:b3,rocm,fixedpred,0,3,on_then_off,59dbcfa41a9c35cc8b72e75288aaa505459499d8,research/stage3b-a1-obs-oh0-observer-overhead,torch2pc-layerwise-thesis:0.1.0,AMD Radeon RX 7700 XT,torch.float32,,,,,,,,,,,1299968,1299968,151787520,156139520,114795520,120318976,150487552,154839552,2097152,2097152,169869312,171966464,169869312,150994944,167772160,169869312,5523456,12,"{""layer_input"": 3280896, ""layer_output"": 2242560}","{""0"": 2252800, ""1"": 1613824, ""2"": 819200, ""3"": 532480, ""4"": 208896, ""5"": 96256}",4352000,-1171456,True
b20d9142e4bdbf57b3ec8bf9f9c4472372ec8db4,2.9.1+rocm7.2.1.gitff65f5bc,7.2.53211-e1a6bc5663,4,0,lenet_classic,256,stage3b-a1-obs-oh0-v1,stage3b-a1-obs-ni0-first-forward-io-v1,rocm:joint_vjp:s0:b3,rocm,joint_vjp,0,3,off_then_on,59dbcfa41a9c35cc8b72e75288aaa505459499d8,research/stage3b-a1-obs-oh0-observer-overhead,torch2pc-layerwise-thesis:0.1.0,AMD Radeon RX 7700 XT,torch.float32,,,,,,,,,,,1299968,1299968,132282368,137805824,114795520,120318976,130982400,136505856,2097152,2097152,138412032,142606336,138412032,142606336,136314880,140509184,5523456,12,"{""layer_input"": 3280896, ""layer_output"": 2242560}","{""0"": 2252800, ""1"": 1613824, ""2"": 819200, ""3"": 532480, ""4"": 208896, ""5"": 96256}",5523456,0,True
b20d9142e4bdbf57b3ec8bf9f9c4472372ec8db4,2.9.1+rocm7.2.1.gitff65f5bc,7.2.53211-e1a6bc5663,4,0,lenet_classic,256,stage3b-a1-obs-oh0-v1,stage3b-a1-obs-ni0-first-forward-io-v1,rocm:fixedpred:s0:b4,rocm,fixedpred,0,4,off_then_on,59dbcfa41a9c35cc8b72e75288aaa505459499d8,research/stage3b-a1-obs-oh0-observer-overhead,torch2pc-layerwise-thesis:0.1.0,AMD Radeon RX 7700 XT,torch.float32,,,,,,,,,,,1299968,1299968,151787520,156139520,114795520,120318976,150487552,154839552,2097152,2097152,169869312,171966464,169869312,150994944,167772160,169869312,5523456,12,"{""layer_input"": 3280896, ""layer_output"": 2242560}","{""0"": 2252800, ""1"": 1613824, ""2"": 819200, ""3"": 532480, ""4"": 208896, ""5"": 96256}",4352000,-1171456,True
b20d9142e4bdbf57b3ec8bf9f9c4472372ec8db4,2.9.1+rocm7.2.1.gitff65f5bc,7.2.53211-e1a6bc5663,4,0,lenet_classic,256,stage3b-a1-obs-oh0-v1,stage3b-a1-obs-ni0-first-forward-io-v1,rocm:joint_vjp:s0:b4,rocm,joint_vjp,0,4,on_then_off,59dbcfa41a9c35cc8b72e75288aaa505459499d8,research/stage3b-a1-obs-oh0-observer-overhead,torch2pc-layerwise-thesis:0.1.0,AMD Radeon RX 7700 XT,torch.float32,,,,,,,,,,,1299968,1299968,132282368,137805824,114795520,120318976,130982400,136505856,2097152,2097152,138412032,142606336,138412032,142606336,136314880,140509184,5523456,12,"{""layer_input"": 3280896, ""layer_output"": 2242560}","{""0"": 2252800, ""1"": 1613824, ""2"": 819200, ""3"": 532480, ""4"": 208896, ""5"": 96256}",5523456,0,True
