cell_id,block_id,candidate_id,method,depth,width,batch_size,model_seed,event_count,measured_step_count,event_count_per_measured_step,median_logical_edge_count_per_event,graph_module_coverage_fraction,maximum_graph_island_count,orchestration_barriers_per_measured_step,graph_lifetime_distribution_json
s3b-cell-00bdb34bd7ffd5afc89d,s3b-block-03dd886dc9d22a85f182,stage2_baseline,fixedpred,4,64,256,72,10000,250,40.0,1.0,1.0,1,0.0,"{""reused_across_inference_sweeps"":10000}"
s3b-cell-019803874cd09aef387b,s3b-block-6e6fc3d0cd92233b34cc,composite_vjp,fixedpred,16,64,256,72,2500,250,10.0,16.0,1.0,1,0.0,"{""single_sweep_composite_vjp_call"":2500}"
s3b-cell-0217f479c31d184161a0,s3b-block-ee492da3396fc3e93481,composite_vjp,strict,32,64,256,71,5000,250,20.0,31.0,0.96875,1,0.0,"{""single_sweep_composite_vjp_call"":5000}"
s3b-cell-021e72629ed16de2f707,s3b-block-64454a27a9a9c9ebfa9b,isolated_layer_vjp,strict,32,256,256,71,155000,250,620.0,1.0,0.96875,1,0.0,"{""single_vjp_call"":155000}"
s3b-cell-0236df86f4b33f895e96,s3b-block-fbc757a5037e1e104d06,composite_vjp,fixedpred,8,64,256,71,2500,250,10.0,8.0,1.0,1,0.0,"{""single_sweep_composite_vjp_call"":2500}"
s3b-cell-033a2f9582aa7cc1d0b4,s3b-block-05df35b34dca0887086a,composite_vjp,fixedpred,8,256,64,72,2500,250,10.0,8.0,1.0,1,0.0,"{""single_sweep_composite_vjp_call"":2500}"
s3b-cell-03a47bb213ee0425cf4a,s3b-block-2ba7a97fcdd9242b2b3b,isolated_layer_vjp,fixedpred,4,64,256,71,10000,250,40.0,1.0,1.0,1,0.0,"{""single_vjp_call"":10000}"
s3b-cell-03c7dbfcbf55a03996ca,s3b-block-15e340f570301df94fc1,stage2_baseline,strict,16,64,256,71,75000,250,300.0,1.0,0.9375,1,0.0,"{""single_vjp_call"":75000}"
s3b-cell-0450fcee7ea98e200c6a,s3b-block-e83ff808cf35f32b4a81,isolated_layer_vjp,strict,8,64,64,71,35000,250,140.0,1.0,0.875,1,0.0,"{""single_vjp_call"":35000}"
s3b-cell-059559950c5dc73cd542,s3b-block-89e5aee5e8dffdf6b3ed,stage2_baseline,strict,8,64,256,71,35000,250,140.0,1.0,0.875,1,0.0,"{""single_vjp_call"":35000}"
s3b-cell-05e849b25302f6d24e21,s3b-block-d21540cc9c7bae2324da,composite_vjp,fixedpred,4,64,64,71,2500,250,10.0,4.0,1.0,1,0.0,"{""single_sweep_composite_vjp_call"":2500}"
s3b-cell-06bc8005a93352a8114e,s3b-block-468115f1002de4acf41a,isolated_layer_vjp,fixedpred,32,256,256,72,80000,250,320.0,1.0,1.0,1,0.0,"{""single_vjp_call"":80000}"
s3b-cell-0876b315dba7ed88068b,s3b-block-5a95fb95a9231b0407ce,isolated_layer_vjp,strict,32,64,256,72,155000,250,620.0,1.0,0.96875,1,0.0,"{""single_vjp_call"":155000}"
s3b-cell-093204359b826a93d0c9,s3b-block-770f17bf150216638d72,stage2_baseline,strict,8,256,64,70,35000,250,140.0,1.0,0.875,1,0.0,"{""single_vjp_call"":35000}"
s3b-cell-0b1478452874c096757c,s3b-block-e41d3dd827629f1e6d6b,composite_vjp,strict,16,256,64,70,5000,250,20.0,15.0,0.9375,1,0.0,"{""single_sweep_composite_vjp_call"":5000}"
s3b-cell-0bf7e6b485283ac0df53,s3b-block-42755de60eb64ef1c30a,isolated_layer_vjp,strict,32,256,256,70,155000,250,620.0,1.0,0.96875,1,0.0,"{""single_vjp_call"":155000}"
s3b-cell-0ece7338e33e967ddff4,s3b-block-6e6fc3d0cd92233b34cc,isolated_layer_vjp,fixedpred,16,64,256,72,40000,250,160.0,1.0,1.0,1,0.0,"{""single_vjp_call"":40000}"
s3b-cell-0f284443362a7cd9a1ae,s3b-block-91d8a0b7be6b9952687d,composite_vjp,strict,4,64,64,72,5000,250,20.0,3.0,0.75,1,0.0,"{""single_sweep_composite_vjp_call"":5000}"
s3b-cell-12edaaf065336c3ede0f,s3b-block-e41d3dd827629f1e6d6b,stage2_baseline,strict,16,256,64,70,75000,250,300.0,1.0,0.9375,1,0.0,"{""single_vjp_call"":75000}"
s3b-cell-12fc5073f0cf78de67c6,s3b-block-05df35b34dca0887086a,isolated_layer_vjp,fixedpred,8,256,64,72,20000,250,80.0,1.0,1.0,1,0.0,"{""single_vjp_call"":20000}"
s3b-cell-14d9c8e763010817e446,s3b-block-929a1b2367208204c01f,composite_vjp,fixedpred,8,64,64,71,2500,250,10.0,8.0,1.0,1,0.0,"{""single_sweep_composite_vjp_call"":2500}"
s3b-cell-14df16a08db62a92439b,s3b-block-1c1e8b7285564b954ea1,isolated_layer_vjp,fixedpred,32,64,256,72,80000,250,320.0,1.0,1.0,1,0.0,"{""single_vjp_call"":80000}"
s3b-cell-15312f771427630917ed,s3b-block-2b2e9efa1f112a82e9a2,stage2_baseline,fixedpred,32,256,64,71,80000,250,320.0,1.0,1.0,1,0.0,"{""reused_across_inference_sweeps"":80000}"
s3b-cell-15387b3b83396dc84bb6,s3b-block-01194f62493fd247f6f1,stage2_baseline,fixedpred,32,256,256,70,80000,250,320.0,1.0,1.0,1,0.0,"{""reused_across_inference_sweeps"":80000}"
s3b-cell-17346661c01f0301f1d0,s3b-block-730db41052eb8c30b0cc,stage2_baseline,strict,16,64,256,72,75000,250,300.0,1.0,0.9375,1,0.0,"{""single_vjp_call"":75000}"
s3b-cell-1742306bd590f13f84ca,s3b-block-cef43a3b51b07d739d90,isolated_layer_vjp,strict,4,64,256,72,15000,250,60.0,1.0,0.75,1,0.0,"{""single_vjp_call"":15000}"
