block_id,candidate_id,method,depth,width,batch_size,model_seed,device_time_ratio_to_baseline,host_time_ratio_to_baseline,peak_allocated_ratio_to_baseline,peak_reserved_ratio_to_baseline,saved_tensor_bytes_ratio_to_baseline,state_vjp_calls_ratio_to_baseline,graph_span_ratio_to_baseline,dependency_radius_ratio_to_baseline,device_time_reduction,device_speedup,peak_allocated_growth,peak_reserved_growth,candidate_observer_cost_ms,baseline_observer_cost_ms,fallback_validation_status
s3b-block-01194f62493fd247f6f1,isolated_layer_vjp,fixedpred,32,256,256,70,1.6907951815702116,1.6908156799996386,0.9999134248365935,0.994069053166702,4.418840684541427,1.0,1.0,1.0,-0.6907951815702116,0.5914376920990027,-8.657516340648819e-05,-0.005930946833297979,172.1995620727539,156.73658752441406,not_applicable_before_ex_if0
s3b-block-01194f62493fd247f6f1,composite_vjp,fixedpred,32,256,256,70,1.0928760546598435,1.0928814953278596,1.0018440291732131,0.9934335945774201,4.418840684541427,0.03125,32.0,1.0,-0.0928760546598435,0.915016845447537,0.0018440291732131353,-0.006566405422579913,13.716022491455078,156.73658752441406,not_applicable_before_ex_if0
s3b-block-03dd886dc9d22a85f182,isolated_layer_vjp,fixedpred,4,64,256,72,1.5899450534718382,1.5900181441498857,0.9987853997090467,1.0,4.320096816373466,1.0,1.0,1.0,-0.5899450534718382,0.6289525526787095,-0.0012146002909533271,0.0,23.060876846313477,21.823400497436523,not_applicable_before_ex_if0
s3b-block-03dd886dc9d22a85f182,composite_vjp,fixedpred,4,64,256,72,1.2167562446340197,1.2167582558105918,1.0049264738501453,1.0090361445783131,4.320096816373466,0.25,4.0,1.0,-0.21675624463401966,0.8218572983784305,0.00492647385014533,0.009036144578313143,8.326748847961426,21.823400497436523,not_applicable_before_ex_if0
s3b-block-05df35b34dca0887086a,isolated_layer_vjp,fixedpred,8,256,64,72,1.5654894527803906,1.5656211593295841,1.0,1.0,5.302896708600731,1.0,1.0,1.0,-0.5654894527803906,0.6387778584032924,0.0,0.0,43.64775085449219,41.0928955078125,not_applicable_before_ex_if0
s3b-block-05df35b34dca0887086a,composite_vjp,fixedpred,8,256,64,72,1.1549331270333711,1.1551357442375498,1.0,1.0009861932938855,5.302896708600731,0.125,8.0,1.0,-0.15493312703337114,0.865850997424118,0.0,0.0009861932938854956,8.752706527709961,41.0928955078125,not_applicable_before_ex_if0
s3b-block-06b1f209a877adaa915d,isolated_layer_vjp,strict,4,256,64,71,1.2868987849942926,1.2869325556776687,0.7186163574966096,0.7269461077844311,1.0794094425724567,1.0,1.0,1.0,-0.28689878499429255,0.7770618883632212,-0.28138364250339043,-0.27305389221556886,37.566548347473145,36.06167411804199,not_applicable_before_ex_if0
s3b-block-06b1f209a877adaa915d,composite_vjp,strict,4,256,64,71,1.1168958532656554,1.1168046160596508,0.7164528186145533,0.7245508982035929,1.0794094425724567,0.3333333333333333,3.0,1.0,-0.11689585326565544,0.895338627210525,-0.28354718138544666,-0.27544910179640714,14.691004753112793,36.06167411804199,not_applicable_before_ex_if0
s3b-block-0dcba60dfd67454824e3,isolated_layer_vjp,fixedpred,16,256,256,71,1.671227201217363,1.6713119683665763,0.9998361850848583,0.9976424361493124,4.461869839964984,1.0,1.0,1.0,-0.671227201217363,0.5983626877731378,-0.00016381491514172453,-0.0023575638506876384,86.2160530090332,78.80359840393066,not_applicable_before_ex_if0
s3b-block-0dcba60dfd67454824e3,composite_vjp,fixedpred,16,256,256,71,1.1477070811506118,1.1477113531570367,1.0017990756423623,1.0,4.461869839964984,0.0625,16.0,1.0,-0.14770708115061182,0.871302457241502,0.0017990756423622578,0.0,10.658811569213867,78.80359840393066,not_applicable_before_ex_if0
