candidate_id,method,depth,width,batch_size,median_device_time_ratio_to_baseline,median_peak_allocated_ratio_to_baseline,median_peak_reserved_ratio_to_baseline,median_saved_tensor_bytes_ratio_to_baseline,median_state_vjp_calls_ratio_to_baseline,median_graph_span_ratio_to_baseline,median_dependency_radius_ratio_to_baseline,dominated_by_count,dominated_by_json,pareto_admissible
stage2_baseline,fixedpred,4,64,64,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,[],True
isolated_layer_vjp,fixedpred,4,64,64,1.5618118096878553,0.999492905142606,1.0,5.101599632033526,1.0,1.0,1.0,0,[],True
composite_vjp,fixedpred,4,64,64,1.2090984182459779,1.0020692535742524,1.0,5.101599632033526,0.25,4.0,1.0,0,[],True
stage2_baseline,fixedpred,4,64,256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,[],True
isolated_layer_vjp,fixedpred,4,64,256,1.5899450534718382,0.9987853997090467,1.0,4.320096816373466,1.0,1.0,1.0,0,[],True
composite_vjp,fixedpred,4,64,256,1.2167562446340197,1.0049264738501453,1.0090361445783131,4.320096816373466,0.25,4.0,1.0,0,[],True
stage2_baseline,fixedpred,4,256,64,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,[],True
isolated_layer_vjp,fixedpred,4,256,64,1.5820647888299053,1.0,1.0,5.74995982803118,1.0,1.0,1.0,1,"[""stage2_baseline""]",False
composite_vjp,fixedpred,4,256,64,1.2113471506503772,1.0008395611625132,1.0016528925619834,5.74995982803118,0.25,4.0,1.0,0,[],True
stage2_baseline,fixedpred,4,256,256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,[],True
isolated_layer_vjp,fixedpred,4,256,256,1.5811574832831787,0.9995058725860725,1.0033898305084745,4.70419813058752,1.0,1.0,1.0,0,[],True
composite_vjp,fixedpred,4,256,256,1.209297689245219,1.0035668655830299,1.006779661016949,4.70419813058752,0.25,4.0,1.0,0,[],True
stage2_baseline,fixedpred,8,64,64,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,[],True
isolated_layer_vjp,fixedpred,8,64,64,1.5987754246336305,0.9995682299931156,1.0,4.877289631798237,1.0,1.0,1.0,0,[],True
composite_vjp,fixedpred,8,64,64,1.1360248743283747,1.0009483714005118,1.0,4.877289631798237,0.125,8.0,1.0,0,[],True
stage2_baseline,fixedpred,8,64,256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,[],True
isolated_layer_vjp,fixedpred,8,64,256,1.632331145424852,0.9989927596672555,1.0025062656641603,4.25765119611366,1.0,1.0,1.0,0,[],True
composite_vjp,fixedpred,8,64,256,1.1625726308495474,1.0022123767510156,1.0075187969924813,4.25765119611366,0.125,8.0,1.0,0,[],True
stage2_baseline,fixedpred,8,256,64,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,[],True
isolated_layer_vjp,fixedpred,8,256,64,1.617414383972585,1.0,1.0,5.302896708600731,1.0,1.0,1.0,1,"[""stage2_baseline""]",False
composite_vjp,fixedpred,8,256,64,1.1589270016269586,1.0,1.0009861932938855,5.302896708600731,0.125,8.0,1.0,0,[],True
stage2_baseline,fixedpred,8,256,256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,[],True
isolated_layer_vjp,fixedpred,8,256,256,1.6437725730426493,0.999704259868418,1.0034818941504178,4.5455820579973,1.0,1.0,1.0,0,[],True
composite_vjp,fixedpred,8,256,256,1.1834939558858646,1.0017222951743516,1.0083565459610029,4.5455820579973,0.125,8.0,1.0,0,[],True
stage2_baseline,fixedpred,16,64,64,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,[],True
isolated_layer_vjp,fixedpred,16,64,64,1.6694383179922534,0.9996676820361632,1.0,4.685549153149532,1.0,1.0,1.0,0,[],True
composite_vjp,fixedpred,16,64,64,1.1085433791625223,1.0011585089721664,1.0,4.685549153149532,0.0625,16.0,1.0,0,[],True
stage2_baseline,fixedpred,16,64,256,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,[],True
