depth,width,batch_size,seed_count,device_time_ratio_median,device_time_ratio_min,device_time_ratio_max,device_time_percent_change_median,device_time_all_seeds_strict_greater,host_time_ratio_median,host_time_ratio_min,host_time_ratio_max,host_time_percent_change_median,host_time_all_seeds_strict_greater,peak_allocated_ratio_median,peak_allocated_ratio_min,peak_allocated_ratio_max,peak_allocated_percent_change_median,peak_allocated_all_seeds_strict_greater,peak_reserved_ratio_median,peak_reserved_ratio_min,peak_reserved_ratio_max,peak_reserved_percent_change_median,peak_reserved_all_seeds_strict_greater
4,64,64,3,2.01150102796,1.94830263091,2.03112379485,101.150102796,True,2.01591190484,1.95258492565,2.03462893011,101.591190484,True,1.33489202527,1.33489202527,1.33489202527,33.4892025274,True,1.33160621762,1.33160621762,1.33160621762,33.1606217617,True
4,64,256,3,2.00218313147,1.92512729643,2.00894191708,100.218313147,True,2.00581688637,1.92792472386,2.01099329899,100.581688637,True,1.79495312632,1.79495312632,1.79495312632,79.4953126317,True,1.75748502994,1.75748502994,1.75748502994,75.748502994,True
4,256,64,3,1.97167865658,1.92697965314,2.00031645847,97.1678656579,True,1.97514752345,1.9301651508,2.00766006958,97.5147523451,True,1.39505775899,1.39505775899,1.39505775899,39.5057758987,True,1.37851239669,1.37851239669,1.37851239669,37.8512396694,True
4,256,256,3,1.9661041522,1.95210939119,2.01824742672,96.6104152198,True,1.96923920054,1.95382278598,2.02080575185,96.923920054,True,2.16029502938,2.16029502938,2.16029502938,116.029502938,True,2.05842696629,2.05842696629,2.05842696629,105.842696629,True
8,64,64,3,2.23852955341,2.10850617703,2.30213642619,123.852955341,True,2.23826166514,2.10842064163,2.30216780893,123.826166514,True,1.2846297608,1.2846297608,1.2846297608,28.4629760796,True,1.27753303965,1.27753303965,1.27753303965,27.7533039648,True
8,64,256,3,2.3010303352,2.21960971211,2.31585938863,130.10303352,True,2.30115660334,2.21963043727,2.31594556958,130.115660334,True,1.65668307522,1.65668307522,1.65668307522,65.6683075216,True,1.635,1.635,1.635,63.5,True
8,256,64,3,2.25025084462,2.15128884608,2.30999668493,125.025084462,True,2.25028044602,2.1513196627,2.31000753681,125.028044602,True,1.23498998864,1.23498998864,1.23498998864,23.4989988642,True,1.22682445759,1.22682445759,1.22682445759,22.6824457594,True
8,256,256,3,2.27608167541,2.24674046155,2.33029815053,127.608167541,True,2.2760658851,2.24675371819,2.33002982383,127.60658851,True,1.69254422556,1.69254422556,1.69254422556,69.2544225557,True,1.63351877608,1.63351877608,1.63351877608,63.3518776078,True
16,64,64,3,2.35277114238,2.32978417596,2.44087524412,135.277114238,True,2.35269565326,2.32978895283,2.44088876637,135.269565326,True,1.21891734735,1.21891734735,1.21891734735,21.8917347353,True,1.21355932203,1.21355932203,1.21355932203,21.3559322034,True
16,64,256,3,2.39478981398,2.34935330703,2.41074076207,139.478981398,True,2.39479323176,2.34964620179,2.41069265161,139.479323176,True,1.48720071182,1.48720071182,1.48720071182,48.7200711818,True,1.47565543071,1.47565543071,1.47565543071,47.5655430712,True
16,256,64,3,2.41115114051,2.37939838531,2.47077903056,141.115114051,True,2.41123214625,2.37955837687,2.47079691394,141.123214625,True,1.12980353471,1.12980353471,1.12980353471,12.9803534708,True,1.12396694215,1.12396694215,1.12396694215,12.3966942149,True
16,256,256,3,2.46263101298,2.34510912641,2.47173376892,146.263101298,True,2.46284050385,2.34504779627,2.47178904423,146.284050385,True,1.3834129745,1.3834129745,1.3834129745,38.3412974496,True,1.34538310413,1.34538310413,1.34538310413,34.5383104126,True
32,64,64,3,2.51222271997,2.41950069168,2.54210139079,151.222271997,True,2.51247935524,2.4195922163,2.54210919987,151.247935524,True,1.14976494445,1.14976494445,1.14976494445,14.9764944448,True,1.14651162791,1.14651162791,1.14651162791,14.6511627907,True
32,64,256,3,2.5011310756,2.38367951755,2.50965183474,150.11310756,True,2.50113879455,2.3837045853,2.50963780031,150.113879455,True,1.32133497512,1.32133497512,1.32133497512,32.1334975116,True,1.31421446384,1.31421446384,1.31421446384,31.421446384,True
32,256,64,3,2.61896077785,2.42324144358,2.63274094814,161.896077785,True,2.61896378145,2.42324186614,2.63263201686,161.896378145,True,1.06848916105,1.06848916105,1.06848916105,6.8489161054,True,1.06379865379,1.06379865379,1.06379865379,6.37986537899,True
32,256,256,3,2.42175086561,2.38041957948,2.51356872477,142.175086561,True,2.42175385525,2.38042205035,2.51359532474,142.175385525,True,1.20257024616,1.20257024616,1.20257024616,20.2570246157,True,1.17766928465,1.17766928465,1.17766928465,17.7669284653,True
