method,depth,width,batch_size,region,seed_count,host_time_median_us_median,host_time_median_us_min,host_time_median_us_max,device_time_median_us_median,device_time_median_us_min,device_time_median_us_max,host_time_share_of_region_sum_median,host_time_share_of_region_sum_min,host_time_share_of_region_sum_max,device_time_share_of_region_sum_median,device_time_share_of_region_sum_min,device_time_share_of_region_sum_max,host_time_to_composite_ratio_median,host_time_to_composite_ratio_min,host_time_to_composite_ratio_max,device_time_to_composite_ratio_median,device_time_to_composite_ratio_min,device_time_to_composite_ratio_max,peak_allocated_max_bytes_median,peak_allocated_max_bytes_min,peak_allocated_max_bytes_max,peak_reserved_max_bytes_median,peak_reserved_max_bytes_min,peak_reserved_max_bytes_max,vjp_calls_total_median,vjp_calls_total_min,vjp_calls_total_max,synchronization_points_total_median,synchronization_points_total_min,synchronization_points_total_max,saved_tensor_bytes_mean_median,saved_tensor_bytes_mean_min,saved_tensor_bytes_mean_max,saved_tensor_bytes_max_median,saved_tensor_bytes_max_min,saved_tensor_bytes_max_max,actual_inference_steps_total_median,actual_inference_steps_total_min,actual_inference_steps_total_max
fixedpred,4,64,64,initial_forward,3,787.0395,781.304,790.2,741.114974022,737.474024296,743.979513645,0.0201837906468,0.020115785156,0.0201970950208,0.0195626152969,0.0194904402048,0.0196054988483,0.0254277819792,0.0253776030449,0.0255478615711,0.0238972877622,0.0238252788339,0.0240614065491,401726464,401726464,401726464,404750336,404750336,404750336,250,250,250,500,500,500,339972,339972,339972,339972,339972,339972,0,0,0
fixedpred,4,64,64,local_state_vjp,3,9815.801,9769.6605,9933.622,8880.57951629,8833.49752426,8973.78794849,0.252875988323,0.250710112313,0.253576165507,0.235091254816,0.233170722291,0.236087218998,0.319022419532,0.315639554564,0.320966902969,0.28737753681,0.284836549906,0.289744759942,402687488,402687488,402687488,404750336,404750336,404750336,10000,10000,10000,20000,20000,20000,0,0,0,0,0,0,0,0,0
fixedpred,4,64,64,optimizer_step,3,187.4135,186.802,188.115,164.56899792,163.939006627,165.263995528,0.00480942604238,0.00478876350875,0.00482574319395,0.00434399534344,0.00432951171876,0.0043582633418,0.00605498150722,0.00604139179549,0.00610823909413,0.00530653520423,0.00529243171679,0.00534880274795,401184256,401184256,401184256,404750336,404750336,404750336,0,0,0,500,500,500,0,0,0,0,0,0,0,0,0
fixedpred,4,64,64,parameter_vjp,3,1394.651,1385.139,1402.981,1349.40099716,1338.6400342,1356.99999332,0.0357829418418,0.0357150903239,0.0357896887867,0.0355872949883,0.0355500746226,0.0356190517181,0.0450585790993,0.0450573208018,0.0452926638398,0.0435114996541,0.0434567116776,0.0436755207975,401213952,401213952,401213952,404750336,404750336,404750336,1000,1000,1000,500,500,500,299008,299008,299008,299008,299008,299008,0,0,0
fixedpred,4,64,64,state_inference,3,26829.191,26540.432,26967.665,26795.665741,26495.0399399,26931.4775467,0.686504372689,0.685631358811,0.688493677837,0.705538718638,0.704361723824,0.70730361535,0.866801246222,0.866077825131,0.867845656457,0.864027522636,0.862456492671,0.864447975827,401800704,401800704,401800704,404750336,404750336,404750336,10000,10000,10000,500,500,500,535040,535040,535040,535040,535040,535040,2500,2500,2500
fixedpred,4,64,256,initial_forward,3,785.1795,775.036,787.294,739.108502865,730.219006538,743.653982878,0.0203241044166,0.0202295342545,0.0204990191354,0.0196796854114,0.0196079240297,0.0199275971048,0.0256063435209,0.0254245985474,0.025864019824,0.0240632191206,0.0239142226653,0.0243632434931,670802944,670802944,670802944,698351616,698351616,698351616,250,250,250,500,500,500,1253892,1253892,1253892,1253892,1253892,1253892,0,0,0
fixedpred,4,64,256,local_state_vjp,3,9660.7335,9495.0905,9671.131,8721.26944363,8560.37249416,8725.61496496,0.250064802246,0.247835272838,0.251810250593,0.232330377564,0.229864098344,0.233702700069,0.315056698073,0.311480839773,0.317713997444,0.284080597166,0.280346926183,0.285722144863,674645504,674645504,674645504,700448768,700448768,700448768,10000,10000,10000,20000,20000,20000,0,0,0,0,0,0,0,0,0
fixedpred,4,64,256,optimizer_step,3,187.859,187.5935,188.656,165.009498596,164.754502475,165.539503098,0.00489134330474,0.00485579397053,0.00492418805619,0.00442173763902,0.00438679404479,0.00444508561348,0.00617150505416,0.00611781586667,0.00618874873369,0.00540596391,0.00536392651256,0.00542131675776,667939840,667939840,667939840,700448768,700448768,700448768,0,0,0,500,500,500,0,0,0,0,0,0,0,0,0
fixedpred,4,64,256,parameter_vjp,3,1384.299,1369.471,1391.402,1340.66355228,1324.46503639,1346.32349014,0.0360159677291,0.0357451273296,0.0360434242991,0.035847541525,0.0355646861847,0.0359255833199,0.0453765254794,0.044924687882,0.0454767047358,0.0438323697062,0.0433754141005,0.0439221913936,668116480,668116480,668116480,700448768,700448768,700448768,1000,1000,1000,500,500,500,1196032,1196032,1196032,1196032,1196032,1196032,0,0,0
fixedpred,4,64,256,state_inference,3,26483.8495,26375.84,26608.0115,26460.4196548,26347.1984863,26581.1252594,0.688739331637,0.686755962668,0.691265877522,0.707755601455,0.706022381868,0.710518205828,0.867742831896,0.866493646126,0.868787051863,0.865403982109,0.863174576969,0.86656244466,671119872,671119872,671119872,700448768,700448768,700448768,10000,10000,10000,500,500,500,1432064,1432064,1432064,1432064,1432064,1432064,2500,2500,2500
fixedpred,4,256,64,initial_forward,3,800.072,792.498,802.131,755.356997252,748.253017664,758.013516665,0.0204197441671,0.0204122992774,0.0205359094853,0.0198502144333,0.0198252822102,0.019960883215,0.0258250205319,0.0257697919656,0.0258896689697,0.0243073252537,0.0242697795571,0.0243864207836,1224521728,1224521728,1224521728,1268776960,1268776960,1268776960,250,250,250,500,500,500,1134084,1134084,1134084,1134084,1134084,1134084,0,0,0
fixedpred,4,256,64,local_state_vjp,3,9807.1675,9765.3445,9963.0405,8843.63400936,8830.55251837,8996.86902761,0.251726224749,0.251616832338,0.253535350708,0.233969247856,0.233699755612,0.2356023679,0.317541364441,0.317351838466,0.32076521849,0.286421247798,0.285513447275,0.288503855026,1225925120,1225925120,1225925120,1268776960,1268776960,1268776960,10000,10000,10000,20000,20000,20000,0,0,0,0,0,0,0,0,0
fixedpred,4,256,64,optimizer_step,3,189.241,188.129,190.524,168.418996036,167.684003711,169.638998806,0.00484837627211,0.00484738895293,0.00485735789643,0.00444285905599,0.00444236207999,0.00445060007824,0.00612368242545,0.00611742262149,0.00613401827359,0.00543887389591,0.00543734488491,0.00543983745547,1224575488,1224575488,1224575488,1268776960,1268776960,1268776960,0,0,0,500,500,500,0,0,0,0,0,0,0,0,0
fixedpred,4,256,64,parameter_vjp,3,1408.5935,1404.921,1415.3975,1366.95295572,1361.84698343,1372.77299166,0.03606091763,0.0360184525551,0.036294247942,0.0359878424267,0.0359490136436,0.0362180004297,0.0455694512471,0.0454620829358,0.0458034739003,0.0440209031556,0.0439667252725,0.0443374715733,1224695808,1224695808,1224695808,1268776960,1268776960,1268776960,1000,1000,1000,500,500,500,593920,593920,593920,593920,593920,593920,0,0,0
fixedpred,4,256,64,state_inference,3,26758.256,26655.8135,26925.362,26712.6054764,26628.9215088,26889.3718719,0.686819590239,0.685185521188,0.6868217866,0.705544610449,0.704156041943,0.705900918669,0.866771611496,0.865875058803,0.86687589244,0.862406570328,0.862265241437,0.863715935124,1224236544,1224236544,1224236544,1268776960,1268776960,1268776960,10000,10000,10000,500,500,500,1931264,1931264,1931264,1931264,1931264,1931264,2500,2500,2500
fixedpred,4,256,256,initial_forward,3,791.135,791.07,791.3245,748.967021704,748.472988605,749.08798933,0.0201907199787,0.0201566861488,0.0203872136517,0.0196192016492,0.019616457902,0.0198348516943,0.0254698272279,0.0254664241322,0.0256648856945,0.0240681612725,0.0240640919211,0.0242300892705,1652113408,1652113408,1652113408,1858076672,1858076672,1858076672,250,250,250,500,500,500,2932740,2932740,2932740,2932740,2932740,2932740,0,0,0
