cell_id,method,depth,width,batch_size,model_seed,region,host_time_median_us,device_time_median_us,host_time_share_of_region_sum,device_time_share_of_region_sum,host_time_to_composite_ratio,device_time_to_composite_ratio,peak_allocated_max_bytes,peak_reserved_max_bytes,vjp_calls_total,synchronization_points_total,saved_tensor_bytes_mean,saved_tensor_bytes_max,actual_inference_steps_total,non_finite_events_total
s3b-cell-a3d5c3368b4cd7af90a1,fixedpred,4,64,64,70,initial_forward,781.304,737.474024296,0.0201837906468,0.0196054988483,0.0255478615711,0.0240614065491,401726464,404750336,250,500,339972,339972,0,0
s3b-cell-a3d5c3368b4cd7af90a1,fixedpred,4,64,64,70,local_state_vjp,9815.801,8880.57951629,0.253576165507,0.236087218998,0.320966902969,0.289744759942,402687488,404750336,10000,20000,0,0,0,0
s3b-cell-a3d5c3368b4cd7af90a1,fixedpred,4,64,64,70,optimizer_step,186.802,163.939006627,0.00482574319395,0.0043582633418,0.00610823909413,0.00534880274795,401184256,404750336,0,500,0,0,0,0
s3b-cell-a3d5c3368b4cd7af90a1,fixedpred,4,64,64,70,parameter_vjp,1385.139,1338.6400342,0.0357829418418,0.0355872949883,0.0452926638398,0.0436755207975,401213952,404750336,1000,500,299008,299008,0,0
s3b-cell-a3d5c3368b4cd7af90a1,fixedpred,4,64,64,70,state_inference,26540.432,26495.0399399,0.685631358811,0.704361723824,0.867845656457,0.864447975827,401800704,404750336,10000,500,535040,535040,2500,0
s3b-cell-c1d4d3a7dc1f33be202c,fixedpred,4,64,64,71,initial_forward,787.0395,741.114974022,0.0201970950208,0.0195626152969,0.0254277819792,0.0238972877622,401726464,404750336,250,500,339972,339972,0,0
s3b-cell-c1d4d3a7dc1f33be202c,fixedpred,4,64,64,71,local_state_vjp,9769.6605,8833.49752426,0.250710112313,0.233170722291,0.315639554564,0.284836549906,402687488,404750336,10000,20000,0,0,0,0
s3b-cell-c1d4d3a7dc1f33be202c,fixedpred,4,64,64,71,optimizer_step,187.4135,164.56899792,0.00480942604238,0.00434399534344,0.00605498150722,0.00530653520423,401184256,404750336,0,500,0,0,0,0
s3b-cell-c1d4d3a7dc1f33be202c,fixedpred,4,64,64,71,parameter_vjp,1394.651,1349.40099716,0.0357896887867,0.0356190517181,0.0450585790993,0.0435114996541,401213952,404750336,1000,500,299008,299008,0,0
s3b-cell-c1d4d3a7dc1f33be202c,fixedpred,4,64,64,71,state_inference,26829.191,26795.665741,0.688493677837,0.70730361535,0.866801246222,0.864027522636,401800704,404750336,10000,500,535040,535040,2500,0
s3b-cell-9ea73590fd2f5bc019f6,fixedpred,4,64,64,72,initial_forward,790.2,743.979513645,0.020115785156,0.0194904402048,0.0253776030449,0.0238252788339,401726464,404750336,250,500,339972,339972,0,0
