method,depth,width,batch_size,seed_count,device_time_median_across_seeds_us,device_time_min_across_seeds_us,device_time_max_across_seeds_us,host_time_median_across_seeds_us,host_time_min_across_seeds_us,host_time_max_across_seeds_us,peak_allocated_median_across_seeds_bytes,peak_allocated_max_across_seeds_bytes,peak_reserved_median_across_seeds_bytes,peak_reserved_max_across_seeds_bytes,integrity_minimum_cosine_across_seeds,integrity_maximum_relative_l2_across_seeds
fixedpred,4,64,64,3,31012.514114379883,30649.6639251709,31226.476669311523,30951.9525,30581.9725,31137.692499999997,401184256.0,401184256.0,404750336.0,404750336.0,0.9999999999999996,0.0
fixedpred,4,64,256,3,30534.92546081543,30523.603439331055,30715.279579162598,30483.7065,30439.7385,30663.476000000002,667939840.0,667939840.0,700448768.0,700448768.0,0.9999999999999998,0.0
fixedpred,4,256,64,3,30974.492073059082,30830.647468566895,31184.571266174316,30903.1375,30752.983999999997,31060.227,1224575488.0,1224575488.0,1268776960.0,1268776960.0,0.9999999999999994,0.0
fixedpred,4,256,256,3,31118.58081817627,30890.228271484375,31128.870010375977,31059.1035,30825.5805,31073.247499999998,1648371712.0,1648371712.0,1866465280.0,1866465280.0,0.9999999999999997,0.0
fixedpred,8,64,64,3,59444.64302062988,58120.161056518555,59736.72294616699,59443.569,58122.198000000004,59735.7405,472028672.0,472028672.0,476053504.0,476053504.0,0.9999999999999996,0.0
fixedpred,8,64,256,3,59156.66580200195,59014.699935913086,59776.1116027832,59154.0895,59013.769499999995,59772.523,808580096.0,808580096.0,838860800.0,838860800.0,0.9999999999999996,0.0
fixedpred,8,256,64,3,59322.81494140625,57518.362045288086,59580.73616027832,59321.7685,57517.7,59579.6465,2058717696.0,2058717696.0,2126512128.0,2126512128.0,0.9999999999999996,0.0
fixedpred,8,256,256,3,58838.73748779297,58071.33674621582,59157.100677490234,58837.6795,58070.59,59156.259000000005,2761697280.0,2761697280.0,3015704576.0,3015704576.0,0.9999999999999996,0.0
fixedpred,16,64,64,3,113235.98861694336,113062.41607666016,115352.32162475586,113235.444,113061.47899999999,115351.501,613717504.0,613717504.0,618659840.0,618659840.0,0.9999999999999996,0.0
fixedpred,16,64,256,3,114718.06335449219,114206.0546875,115890.31219482422,114718.841,114205.12150000001,115875.65599999999,1089860608.0,1089860608.0,1119879168.0,1119879168.0,0.9999999999999996,0.0
fixedpred,16,256,64,3,113095.95108032227,113068.24111938477,113136.23809814453,113094.80249999999,113063.1735,113128.179,3727002112.0,3727002112.0,3806330880.0,3806330880.0,0.9999999999999994,0.0
fixedpred,16,256,256,3,112427.18124389648,111611.44256591797,113524.77264404297,112424.21299999999,111610.7505,113514.685,4988348416.0,4988348416.0,5337251840.0,5337251840.0,0.9999999999999996,0.0
fixedpred,32,64,64,3,226726.6082763672,223588.0584716797,228588.0889892578,226727.0395,223587.649,228565.5545,897095168.0,897095168.0,901775360.0,901775360.0,0.9999999999999994,0.0
fixedpred,32,64,256,3,225387.17651367188,223969.482421875,227059.4024658203,225386.6215,223968.845,227052.847,1652421632.0,1652421632.0,1681915904.0,1681915904.0,0.9999999999999996,0.0
fixedpred,32,256,64,3,224564.59045410156,222539.8712158203,226768.2876586914,224563.709,222539.5945,226767.8795,7063570944.0,7063570944.0,7165968384.0,7165968384.0,0.9999999999999996,0.0
fixedpred,32,256,256,3,226872.81799316406,226554.6417236328,227658.74481201172,226872.3885,226554.3675,227656.9195,9441650688.0,9441650688.0,9879683072.0,9879683072.0,0.9999999999999996,0.0
strict,4,64,64,3,62812.089920043945,59714.820861816406,62990.25535583496,62770.845,59713.898499999996,62975.738,535537664.0,535537664.0,538968064.0,538968064.0,0.9999999999999996,0.0
strict,4,64,256,3,61113.84391784668,59130.82313537598,61342.891693115234,61056.5415,59116.8735,61302.5295,1198920704.0,1198920704.0,1231028224.0,1231028224.0,0.9999999999999997,0.0
strict,4,256,64,3,61071.74491882324,59410.030364990234,62379.011154174805,61038.2555,59358.338,62358.3775,1708353536.0,1708353536.0,1749024768.0,1749024768.0,0.9999999999999997,0.0
strict,4,256,256,3,60746.87385559082,60733.40606689453,62825.761795043945,60711.619,60702.9415,62764.415,3560969216.0,3560969216.0,3841982464.0,3841982464.0,0.9999999999999998,0.0
strict,8,64,64,3,133722.41973876953,122546.71859741211,136849.67803955078,133704.218,122546.042,136849.071,606382080.0,606382080.0,608174080.0,608174080.0,0.9999999999999996,0.0
strict,8,64,256,3,136998.51989746094,130989.6011352539,137546.64611816406,136997.6515,130988.75899999999,137545.936,1339560960.0,1339560960.0,1371537408.0,1371537408.0,0.9999999999999996,0.0
strict,8,256,64,3,132867.22564697266,127620.51010131836,134071.60186767578,132866.32049999997,127620.087,134070.9135,2542495744.0,2542495744.0,2608857088.0,2608857088.0,0.9999999999999993,0.0
strict,8,256,256,3,134646.39282226562,130471.22192382812,137111.80114746094,134643.543,130470.31400000001,137093.548,4674294784.0,4674294784.0,4926210048.0,4926210048.0,0.9999999999999997,0.0
strict,16,64,64,3,271397.6135253906,263815.41442871094,275971.25244140625,271386.975,263814.6865,275970.494,748070912.0,748070912.0,750780416.0,750780416.0,0.9999999999999996,0.0
strict,16,64,256,3,273499.49645996094,272267.2882080078,276555.5114746094,273497.652,272266.795,276551.86699999997,1620841472.0,1620841472.0,1652555776.0,1652555776.0,0.9999999999999996,0.0
strict,16,256,64,3,272624.61853027344,269196.18225097656,279435.1043701172,272621.5585,269195.106,279434.289,4210780160.0,4210780160.0,4278190080.0,4278190080.0,0.9999999999999996,0.0
