cell_id,method,depth,width,batch_size,model_seed,region,record_count,host_time_mean_us,host_time_median_us,host_time_p95_us,device_time_mean_us,device_time_median_us,device_time_p95_us,peak_allocated_max_bytes,peak_reserved_max_bytes,vjp_calls_total,synchronization_points_total,saved_tensor_bytes_mean,saved_tensor_bytes_max,actual_inference_steps_total,actual_inference_steps_max,non_finite_events_total
s3b-cell-a3d5c3368b4cd7af90a1,fixedpred,4,64,64,70,initial_forward,250,797.992764,781.304,902.586,753.8726007938385,737.4740242958069,860.2020144462585,401726464,404750336,250,500,339972.0,339972,0,0,0
s3b-cell-a3d5c3368b4cd7af90a1,fixedpred,4,64,64,70,local_state_vjp,250,9734.01992,9815.801,10366.18,8806.50356052816,8880.579516291618,9426.118925213814,402687488,404750336,10000,20000,0.0,0,0,0,0
s3b-cell-a3d5c3368b4cd7af90a1,fixedpred,4,64,64,70,optimizer_step,250,190.277444,186.802,206.795,167.00738805532455,163.939006626606,181.8549931049347,401184256,404750336,0,500,0.0,0,0,0,0
s3b-cell-a3d5c3368b4cd7af90a1,fixedpred,4,64,64,70,parameter_vjp,250,1400.44646,1385.139,1504.999,1350.1197199821472,1338.640034198761,1459.6580266952515,401213952,404750336,1000,500,299008.0,299008,0,0,0
s3b-cell-a3d5c3368b4cd7af90a1,fixedpred,4,64,64,70,state_inference,250,26650.098872000002,26540.432,28335.208,26599.113647460938,26495.03993988037,28310.487747192383,401800704,404750336,10000,500,535040.0,535040,2500,10,0
s3b-cell-411495019c2637d75c3b,strict,4,64,64,70,initial_forward,250,792.4354960000001,783.789,846.869,746.9460244178772,738.338977098465,805.761992931366,535496704,538968064,250,500,339972.0,339972,0,0,0
s3b-cell-411495019c2637d75c3b,strict,4,64,64,70,local_state_vjp,250,14117.712708000001,14006.0365,14838.664,12694.297909915447,12590.065002441406,13338.09794485569,535927296,538968064,15000,30000,0.0,0,0,0,0
s3b-cell-411495019c2637d75c3b,strict,4,64,64,70,optimizer_step,250,191.89781200000002,186.74200000000002,217.396,168.99184000492096,163.3090004324913,190.84499776363373,535537664,538968064,0,500,0.0,0,0,0,0
s3b-cell-411495019c2637d75c3b,strict,4,64,64,70,parameter_vjp,250,1402.797688,1380.424,1543.001,1348.1474585533142,1334.9650502204895,1476.8890142440796,535567360,538968064,1000,500,299008.0,299008,0,0,0
s3b-cell-411495019c2637d75c3b,strict,4,64,64,70,state_inference,250,56451.158892,55588.614,59696.603,56368.07188415527,55479.99954223633,59525.508880615234,535415296,538968064,20000,500,2457680.0,2457680,5000,20,0
s3b-cell-c1d4d3a7dc1f33be202c,fixedpred,4,64,64,71,initial_forward,250,801.0039,787.0395,898.588,755.0653512477875,741.1149740219116,853.9829850196838,401726464,404750336,250,500,339972.0,339972,0,0,0
s3b-cell-c1d4d3a7dc1f33be202c,fixedpred,4,64,64,71,local_state_vjp,250,9821.559508,9769.6605,10642.421,8876.80352397263,8833.497524261475,9667.396008968353,402687488,404750336,10000,20000,0.0,0,0,0,0
s3b-cell-c1d4d3a7dc1f33be202c,fixedpred,4,64,64,71,optimizer_step,250,190.976104,187.4135,207.056,167.62352776527405,164.56899791955948,180.35399913787842,401184256,404750336,0,500,0.0,0,0,0,0
s3b-cell-c1d4d3a7dc1f33be202c,fixedpred,4,64,64,71,parameter_vjp,250,1407.213908,1394.6509999999998,1471.764,1353.5973944664001,1349.4009971618652,1426.2280464172363,401213952,404750336,1000,500,299008.0,299008,0,0,0
s3b-cell-c1d4d3a7dc1f33be202c,fixedpred,4,64,64,71,state_inference,250,26944.025304000003,26829.191,28021.331,26892.83246612549,26795.665740966797,27997.228622436523,401800704,404750336,10000,500,535040.0,535040,2500,10,0
s3b-cell-8f3ef95fb88569385de3,strict,4,64,64,71,initial_forward,250,799.92618,790.707,846.188,754.9630510807037,746.3549971580505,801.8010258674622,535496704,538968064,250,500,339972.0,339972,0,0,0
s3b-cell-8f3ef95fb88569385de3,strict,4,64,64,71,local_state_vjp,250,14350.64774,14281.7415,15061.098,12863.920309066772,12793.972462415695,13551.986053586006,535927296,538968064,15000,30000,0.0,0,0,0,0
s3b-cell-8f3ef95fb88569385de3,strict,4,64,64,71,optimizer_step,250,196.04512400000002,192.057,212.276,170.81788384914398,167.42900013923645,186.52500212192535,535537664,538968064,0,500,0.0,0,0,0,0
s3b-cell-8f3ef95fb88569385de3,strict,4,64,64,71,parameter_vjp,250,1397.471096,1385.8235,1484.428,1342.5124096870422,1338.761031627655,1427.8579950332642,535567360,538968064,1000,500,299008.0,299008,0,0,0
s3b-cell-8f3ef95fb88569385de3,strict,4,64,64,71,state_inference,250,59268.340784,58906.693499999994,60469.764,59190.484603881836,58830.98030090332,60444.664001464844,535415296,538968064,20000,500,2457680.0,2457680,5000,20,0
s3b-cell-9ea73590fd2f5bc019f6,fixedpred,4,64,64,72,initial_forward,250,807.920404,790.2,916.241,761.7383756637573,743.9795136451721,859.4629764556885,401726464,404750336,250,500,339972.0,339972,0,0,0
s3b-cell-9ea73590fd2f5bc019f6,fixedpred,4,64,64,72,local_state_vjp,250,9936.019172,9933.622,10588.407,8983.387107789516,8973.78794848919,9611.985981464386,402687488,404750336,10000,20000,0.0,0,0,0,0
s3b-cell-9ea73590fd2f5bc019f6,fixedpred,4,64,64,72,optimizer_step,250,191.098728,188.115,203.068,167.89100396633148,165.26399552822113,179.50500547885895,401184256,404750336,0,500,0.0,0,0,0,0
s3b-cell-9ea73590fd2f5bc019f6,fixedpred,4,64,64,72,parameter_vjp,250,1422.11624,1402.981,1522.66,1369.2413439750671,1356.9999933242798,1474.6880531311035,401213952,404750336,1000,500,299008.0,299008,0,0,0
s3b-cell-9ea73590fd2f5bc019f6,fixedpred,4,64,64,72,state_inference,250,27102.882864,26967.665,28165.697,27043.110260009766,26931.477546691895,28137.287139892578,401800704,404750336,10000,500,535040.0,535040,2500,10,0
s3b-cell-d10b0791f9f5ba231ea9,strict,4,64,64,72,initial_forward,250,800.1979080000001,795.785,830.577,753.6416447162628,749.8390078544617,777.9300212860107,535496704,538968064,250,500,339972.0,339972,0,0,0
s3b-cell-d10b0791f9f5ba231ea9,strict,4,64,64,72,local_state_vjp,250,14269.434088,14185.182,15115.974,12794.953398525715,12711.213037371635,13546.307921409607,535927296,538968064,15000,30000,0.0,0,0,0,0
s3b-cell-d10b0791f9f5ba231ea9,strict,4,64,64,72,optimizer_step,250,196.826156,192.4125,214.66,172.2782565355301,168.00399869680405,188.46499919891357,535537664,538968064,0,500,0.0,0,0,0,0
s3b-cell-d10b0791f9f5ba231ea9,strict,4,64,64,72,parameter_vjp,250,1413.432748,1394.4045,1507.621,1353.5362920761108,1345.8645343780518,1460.677981376648,535567360,538968064,1000,500,299008.0,299008,0,0,0
s3b-cell-d10b0791f9f5ba231ea9,strict,4,64,64,72,state_inference,250,58910.724808,58510.4345,60612.236,58831.41149902344,58426.46026611328,60585.201263427734,535415296,538968064,20000,500,2457680.0,2457680,5000,20,0
s3b-cell-cdafef86dad427d26b64,fixedpred,4,64,256,70,initial_forward,250,783.4512480000001,775.0360000000001,795.821,738.062436580658,730.2190065383911,749.6089935302734,670802944,698351616,250,500,1253892.0,1253892,0,0,0
s3b-cell-cdafef86dad427d26b64,fixedpred,4,64,256,70,local_state_vjp,250,9551.973704,9495.0905,10184.474,8616.971948631108,8560.372494161129,9257.762014865875,674645504,700448768,10000,20000,0.0,0,0,0,0
