cell_id,block_id,candidate_id,method,depth,width,batch_size,model_seed,primary_host_time_us,primary_device_time_us,primary_peak_allocated_bytes,primary_peak_reserved_bytes,observer_cost_ms,saved_tensor_bytes,state_vjp_calls,graph_span,dependency_radius,graph_lifetimes,feedback_operator,fallback_validation_cost_ms,fallback_validation_status
s3b-cell-00bdb34bd7ffd5afc89d,s3b-block-03dd886dc9d22a85f182,stage2_baseline,fixedpred,4,64,256,72,9442.713,9443.360805511475,669402112,696254464,21.823400497436523,3881988.0,40.0,1,1,reused_across_inference_sweeps,exact_local_vjp_reused_fixed_prediction_graph,,not_applicable_before_ex_if0
s3b-cell-019803874cd09aef387b,s3b-block-6e6fc3d0cd92233b34cc,composite_vjp,fixedpred,16,64,256,72,39448.8785,39447.80349731445,1089737216,1119879168,10.63546371459961,37807620.0,10.0,16,1,single_sweep_composite_vjp_call,exact_composite_state_vjp,,not_applicable_before_ex_if0
s3b-cell-0217f479c31d184161a0,s3b-block-ee492da3396fc3e93481,composite_vjp,strict,32,64,256,71,183387.2145,183391.66259765625,1646617600,1679818752,22.861900329589844,101896788.0,20.0,31,1,single_sweep_composite_vjp_call,exact_composite_state_vjp,,not_applicable_before_ex_if0
s3b-cell-021e72629ed16de2f707,s3b-block-64454a27a9a9c9ebfa9b,isolated_layer_vjp,strict,32,256,256,71,271212.8365,271215.3625488281,9388638208,9808379904,359.48655700683594,525213780.0,620.0,1,1,single_vjp_call,exact_isolated_layer_vjp,,not_applicable_before_ex_if0
s3b-cell-0236df86f4b33f895e96,s3b-block-fbc757a5037e1e104d06,composite_vjp,fixedpred,8,64,256,71,20796.229,20796.981811523438,808997376,843055104,8.872567176818848,23782916.0,10.0,8,1,single_sweep_composite_vjp_call,exact_composite_state_vjp,,not_applicable_before_ex_if0
s3b-cell-033a2f9582aa7cc1d0b4,s3b-block-05df35b34dca0887086a,composite_vjp,fixedpred,8,256,64,72,20813.345,20816.30229949951,2049668096,2128609280,8.752706527709961,38866436.0,10.0,8,1,single_sweep_composite_vjp_call,exact_composite_state_vjp,,not_applicable_before_ex_if0
s3b-cell-03a47bb213ee0425cf4a,s3b-block-2ba7a97fcdd9242b2b3b,isolated_layer_vjp,fixedpred,4,64,256,71,15108.263500000001,15109.198093414307,668589056,696254464,23.08113145828247,16770564.0,40.0,1,1,single_vjp_call,exact_isolated_layer_vjp,,not_applicable_before_ex_if0
s3b-cell-03c7dbfcbf55a03996ca,s3b-block-15e340f570301df94fc1,stage2_baseline,strict,16,64,256,71,100514.5315,100517.49038696289,1614288384,1650458624,186.48104095458984,48892500.0,300.0,1,1,single_vjp_call,exact_local_vjp_recomputed_strict_graph,,not_applicable_before_ex_if0
s3b-cell-0450fcee7ea98e200c6a,s3b-block-e83ff808cf35f32b4a81,isolated_layer_vjp,strict,8,64,64,71,65232.057,65233.87908935547,469986304,473956352,86.7667350769043,7735380.0,140.0,1,1,single_vjp_call,exact_isolated_layer_vjp,,not_applicable_before_ex_if0
s3b-cell-059559950c5dc73cd542,s3b-block-89e5aee5e8dffdf6b3ed,stage2_baseline,strict,8,64,256,71,50606.9825,50609.06982421875,1334597120,1371537408,83.44466781616211,23071316.0,140.0,1,1,single_vjp_call,exact_local_vjp_recomputed_strict_graph,,not_applicable_before_ex_if0
s3b-cell-05e849b25302f6d24e21,s3b-block-d21540cc9c7bae2324da,composite_vjp,fixedpred,4,64,64,71,11649.445,11650.398254394531,401669632,404750336,8.461260318756104,5989380.0,10.0,4,1,single_sweep_composite_vjp_call,exact_composite_state_vjp,,not_applicable_before_ex_if0
s3b-cell-06bc8005a93352a8114e,s3b-block-468115f1002de4acf41a,isolated_layer_vjp,fixedpred,32,256,256,72,113674.1315,113675.89950561523,9390517760,9846128640,171.99688720703125,299339780.0,320.0,1,1,single_vjp_call,exact_isolated_layer_vjp,,not_applicable_before_ex_if0
s3b-cell-0876b315dba7ed88068b,s3b-block-5a95fb95a9231b0407ce,isolated_layer_vjp,strict,32,64,256,72,269223.9395,269224.96032714844,1642609664,1679818752,354.19329833984375,101896788.0,620.0,1,1,single_vjp_call,exact_isolated_layer_vjp,,not_applicable_before_ex_if0
s3b-cell-093204359b826a93d0c9,s3b-block-770f17bf150216638d72,stage2_baseline,strict,8,256,64,70,50254.7475,50261.32392883301,2532284928,2613051392,83.59998893737793,52639316.0,140.0,1,1,single_vjp_call,exact_local_vjp_recomputed_strict_graph,,not_applicable_before_ex_if0
s3b-cell-0b1478452874c096757c,s3b-block-e41d3dd827629f1e6d6b,composite_vjp,strict,16,256,64,70,94655.12049999999,94658.83255004883,3709865472,3804233728,18.89470672607422,121263700.0,20.0,15,1,single_sweep_composite_vjp_call,exact_composite_state_vjp,,not_applicable_before_ex_if0
