cell_id,block_id,candidate_id,method,depth,width,batch_size,model_seed,repetition,primary_host_time_median_us,primary_device_time_median_us,primary_peak_allocated_max_bytes,primary_peak_reserved_max_bytes,observer_cost_median_ms,saved_tensor_bytes_median,state_vjp_calls_median,graph_span_max,dependency_radius_max,graph_lifetimes,feedback_operator,fallback_validation_cost_ms,fallback_validation_status
s3b-cell-a3d5c3368b4cd7af90a1,s3b-block-1fd577634741b207f982,stage2_baseline,fixedpred,4,64,64,70,0,9496.7625,9497.941970825195,199276032,203423744,21.365434169769287,1174020.0,40.0,1,1,reused_across_inference_sweeps,exact_local_vjp_reused_fixed_prediction_graph,,not_applicable_before_ex_if0
s3b-cell-a3d5c3368b4cd7af90a1,s3b-block-1fd577634741b207f982,stage2_baseline,fixedpred,4,64,64,70,1,9488.567500000001,9489.902019500732,249667072,253755392,21.525885581970215,1174020.0,40.0,1,1,reused_across_inference_sweeps,exact_local_vjp_reused_fixed_prediction_graph,,not_applicable_before_ex_if0
s3b-cell-a3d5c3368b4cd7af90a1,s3b-block-1fd577634741b207f982,stage2_baseline,fixedpred,4,64,64,70,2,9474.356500000002,9475.186824798584,300058112,304087040,21.7467041015625,1174020.0,40.0,1,1,reused_across_inference_sweeps,exact_local_vjp_reused_fixed_prediction_graph,,not_applicable_before_ex_if0
s3b-cell-a3d5c3368b4cd7af90a1,s3b-block-1fd577634741b207f982,stage2_baseline,fixedpred,4,64,64,70,3,9447.9565,9448.97174835205,350449152,354418688,21.950711727142334,1174020.0,40.0,1,1,reused_across_inference_sweeps,exact_local_vjp_reused_fixed_prediction_graph,,not_applicable_before_ex_if0
s3b-cell-a3d5c3368b4cd7af90a1,s3b-block-1fd577634741b207f982,stage2_baseline,fixedpred,4,64,64,70,4,9569.3935,9570.309162139893,400840192,404750336,21.49642324447632,1174020.0,40.0,1,1,reused_across_inference_sweeps,exact_local_vjp_reused_fixed_prediction_graph,,not_applicable_before_ex_if0
s3b-cell-eab869bd2bb2b0c31144,s3b-block-1fd577634741b207f982,isolated_layer_vjp,fixedpred,4,64,64,70,0,14992.123,14993.000984191895,199072768,203423744,23.359405040740967,5989380.0,40.0,1,1,single_vjp_call,exact_isolated_layer_vjp,,not_applicable_before_ex_if0
s3b-cell-eab869bd2bb2b0c31144,s3b-block-1fd577634741b207f982,isolated_layer_vjp,fixedpred,4,64,64,70,1,14964.607,14965.916156768799,249463808,253755392,23.22916555404663,5989380.0,40.0,1,1,single_vjp_call,exact_isolated_layer_vjp,,not_applicable_before_ex_if0
s3b-cell-eab869bd2bb2b0c31144,s3b-block-1fd577634741b207f982,isolated_layer_vjp,fixedpred,4,64,64,70,2,14845.787499999999,14846.676349639893,299854848,304087040,23.487650394439697,5989380.0,40.0,1,1,single_vjp_call,exact_isolated_layer_vjp,,not_applicable_before_ex_if0
s3b-cell-eab869bd2bb2b0c31144,s3b-block-1fd577634741b207f982,isolated_layer_vjp,fixedpred,4,64,64,70,3,14927.008,14926.972389221191,350245888,354418688,23.27114772796631,5989380.0,40.0,1,1,single_vjp_call,exact_isolated_layer_vjp,,not_applicable_before_ex_if0
s3b-cell-eab869bd2bb2b0c31144,s3b-block-1fd577634741b207f982,isolated_layer_vjp,fixedpred,4,64,64,70,4,15030.6205,15031.949520111084,400636928,404750336,23.276136875152588,5989380.0,40.0,1,1,single_vjp_call,exact_isolated_layer_vjp,,not_applicable_before_ex_if0
s3b-cell-de7098846c7388a9e064,s3b-block-1fd577634741b207f982,composite_vjp,fixedpred,4,64,64,70,0,11520.438,11521.494388580322,199591424,203423744,7.905704021453857,5989380.0,10.0,4,1,single_sweep_composite_vjp_call,exact_composite_state_vjp,,not_applicable_before_ex_if0
s3b-cell-de7098846c7388a9e064,s3b-block-1fd577634741b207f982,composite_vjp,fixedpred,4,64,64,70,1,11416.952000000001,11418.088912963867,249982464,253755392,8.509890079498291,5989380.0,10.0,4,1,single_sweep_composite_vjp_call,exact_composite_state_vjp,,not_applicable_before_ex_if0
s3b-cell-de7098846c7388a9e064,s3b-block-1fd577634741b207f982,composite_vjp,fixedpred,4,64,64,70,2,11452.654999999999,11453.72486114502,300887552,304087040,8.269968509674072,5989380.0,10.0,4,1,single_sweep_composite_vjp_call,exact_composite_state_vjp,,not_applicable_before_ex_if0
s3b-cell-de7098846c7388a9e064,s3b-block-1fd577634741b207f982,composite_vjp,fixedpred,4,64,64,70,3,11474.486499999999,11474.225521087646,351278592,354418688,8.210498809814453,5989380.0,10.0,4,1,single_sweep_composite_vjp_call,exact_composite_state_vjp,,not_applicable_before_ex_if0
s3b-cell-de7098846c7388a9e064,s3b-block-1fd577634741b207f982,composite_vjp,fixedpred,4,64,64,70,4,11621.306,11622.39694595337,401669632,404750336,8.322390079498291,5989380.0,10.0,4,1,single_sweep_composite_vjp_call,exact_composite_state_vjp,,not_applicable_before_ex_if0
s3b-cell-8a04056f1cbd0d0d9ec6,s3b-block-d21540cc9c7bae2324da,isolated_layer_vjp,fixedpred,4,64,64,71,0,14945.976,14946.554183959961,199072768,203423744,22.93369722366333,5989380.0,40.0,1,1,single_vjp_call,exact_isolated_layer_vjp,,not_applicable_before_ex_if0
s3b-cell-8a04056f1cbd0d0d9ec6,s3b-block-d21540cc9c7bae2324da,isolated_layer_vjp,fixedpred,4,64,64,71,1,14921.4305,14922.724723815918,249463808,253755392,22.69532060623169,5989380.0,40.0,1,1,single_vjp_call,exact_isolated_layer_vjp,,not_applicable_before_ex_if0
s3b-cell-8a04056f1cbd0d0d9ec6,s3b-block-d21540cc9c7bae2324da,isolated_layer_vjp,fixedpred,4,64,64,71,2,14897.1245,14898.304462432861,299854848,304087040,23.041423320770264,5989380.0,40.0,1,1,single_vjp_call,exact_isolated_layer_vjp,,not_applicable_before_ex_if0
s3b-cell-8a04056f1cbd0d0d9ec6,s3b-block-d21540cc9c7bae2324da,isolated_layer_vjp,fixedpred,4,64,64,71,3,14945.528,14946.831226348877,350245888,354418688,22.688097953796387,5989380.0,40.0,1,1,single_vjp_call,exact_isolated_layer_vjp,,not_applicable_before_ex_if0
s3b-cell-8a04056f1cbd0d0d9ec6,s3b-block-d21540cc9c7bae2324da,isolated_layer_vjp,fixedpred,4,64,64,71,4,15153.7595,15154.724597930908,400636928,404750336,22.888322830200195,5989380.0,40.0,1,1,single_vjp_call,exact_isolated_layer_vjp,,not_applicable_before_ex_if0
s3b-cell-c1d4d3a7dc1f33be202c,s3b-block-d21540cc9c7bae2324da,stage2_baseline,fixedpred,4,64,64,71,0,9418.628499999999,9418.629169464111,199276032,203423744,22.04140329360962,1174020.0,40.0,1,1,reused_across_inference_sweeps,exact_local_vjp_reused_fixed_prediction_graph,,not_applicable_before_ex_if0
s3b-cell-c1d4d3a7dc1f33be202c,s3b-block-d21540cc9c7bae2324da,stage2_baseline,fixedpred,4,64,64,71,1,9584.625,9585.426807403564,249667072,253755392,21.939939498901367,1174020.0,40.0,1,1,reused_across_inference_sweeps,exact_local_vjp_reused_fixed_prediction_graph,,not_applicable_before_ex_if0
