model_seed,batch_id,record_type,sweep_index,layer_index,graph_birth_event,graph_release_event,graph_lifetime_event_units
0,0,state_update,0,5,0,1,1
0,0,state_update,0,4,1,2,1
0,0,state_update,0,3,2,3,1
0,0,state_update,0,2,3,4,1
0,0,state_update,0,1,4,5,1
0,0,state_update,1,5,6,7,1
0,0,state_update,1,4,7,8,1
0,0,state_update,1,3,8,9,1
0,0,state_update,1,2,9,10,1
0,0,state_update,1,1,10,11,1
0,0,state_update,2,5,12,13,1
0,0,state_update,2,4,13,14,1
0,0,state_update,2,3,14,15,1
0,0,state_update,2,2,15,16,1
0,0,state_update,2,1,16,17,1
0,0,state_update,3,5,18,19,1
0,0,state_update,3,4,19,20,1
0,0,state_update,3,3,20,21,1
0,0,state_update,3,2,21,22,1
0,0,state_update,3,1,22,23,1
0,0,state_update,4,5,24,25,1
0,0,state_update,4,4,25,26,1
0,0,state_update,4,3,26,27,1
0,0,state_update,4,2,27,28,1
0,0,state_update,4,1,28,29,1
0,0,state_update,5,5,30,31,1
0,0,state_update,5,4,31,32,1
0,0,state_update,5,3,32,33,1
0,0,state_update,5,2,33,34,1
0,0,state_update,5,1,34,35,1
0,0,state_update,6,5,36,37,1
0,0,state_update,6,4,37,38,1
0,0,state_update,6,3,38,39,1
0,0,state_update,6,2,39,40,1
0,0,state_update,6,1,40,41,1
0,0,state_update,7,5,42,43,1
0,0,state_update,7,4,43,44,1
0,0,state_update,7,3,44,45,1
0,0,state_update,7,2,45,46,1
0,0,state_update,7,1,46,47,1
0,0,state_update,8,5,48,49,1
0,0,state_update,8,4,49,50,1
0,0,state_update,8,3,50,51,1
0,0,state_update,8,2,51,52,1
0,0,state_update,8,1,52,53,1
0,0,state_update,9,5,54,55,1
0,0,state_update,9,4,55,56,1
0,0,state_update,9,3,56,57,1
0,0,state_update,9,2,57,58,1
0,0,state_update,9,1,58,59,1
0,0,state_update,10,5,60,61,1
0,0,state_update,10,4,61,62,1
0,0,state_update,10,3,62,63,1
0,0,state_update,10,2,63,64,1
0,0,state_update,10,1,64,65,1
0,0,state_update,11,5,66,67,1
0,0,state_update,11,4,67,68,1
0,0,state_update,11,3,68,69,1
