model_seed,batch_id,record_type,sweep_index,layer_index,saved_tensor_count,saved_tensor_bytes
0,0,state_update,0,5,3,249216
0,0,state_update,0,4,3,724480
0,0,state_update,0,3,0,0
0,0,state_update,0,2,4,4490624
0,0,state_update,0,1,0,0
0,0,state_update,1,5,3,249216
0,0,state_update,1,4,3,724480
0,0,state_update,1,3,0,0
0,0,state_update,1,2,4,4490624
0,0,state_update,1,1,0,0
0,0,state_update,2,5,3,249216
0,0,state_update,2,4,3,724480
0,0,state_update,2,3,0,0
0,0,state_update,2,2,4,4490624
0,0,state_update,2,1,0,0
0,0,state_update,3,5,3,249216
0,0,state_update,3,4,3,724480
0,0,state_update,3,3,0,0
0,0,state_update,3,2,4,4490624
0,0,state_update,3,1,0,0
0,0,state_update,4,5,3,249216
0,0,state_update,4,4,3,724480
0,0,state_update,4,3,0,0
0,0,state_update,4,2,4,4490624
0,0,state_update,4,1,0,0
0,0,state_update,5,5,3,249216
0,0,state_update,5,4,3,724480
0,0,state_update,5,3,0,0
0,0,state_update,5,2,4,4490624
0,0,state_update,5,1,0,0
0,0,state_update,6,5,3,249216
0,0,state_update,6,4,3,724480
0,0,state_update,6,3,0,0
0,0,state_update,6,2,4,4490624
0,0,state_update,6,1,0,0
0,0,state_update,7,5,3,249216
0,0,state_update,7,4,3,724480
0,0,state_update,7,3,0,0
0,0,state_update,7,2,4,4490624
0,0,state_update,7,1,0,0
0,0,state_update,8,5,3,249216
0,0,state_update,8,4,3,724480
0,0,state_update,8,3,0,0
0,0,state_update,8,2,4,4490624
0,0,state_update,8,1,0,0
0,0,state_update,9,5,3,249216
0,0,state_update,9,4,3,724480
0,0,state_update,9,3,0,0
0,0,state_update,9,2,4,4490624
0,0,state_update,9,1,0,0
0,0,state_update,10,5,3,249216
0,0,state_update,10,4,3,724480
0,0,state_update,10,3,0,0
0,0,state_update,10,2,4,4490624
0,0,state_update,10,1,0,0
0,0,state_update,11,5,3,249216
0,0,state_update,11,4,3,724480
0,0,state_update,11,3,0,0
0,0,state_update,11,2,4,4490624
0,0,state_update,11,1,0,0
0,0,state_update,12,5,3,249216
0,0,state_update,12,4,3,724480
