analysis,order,model_seed_count,observed_median,mean_seed_value,upper_one_sided_95,lower_two_sided_95,upper_two_sided_95,bootstrap_repeats,bootstrap_seed,authorizes_primary_decision
order_stratified,ABC,10,-0.17994112404267337,-0.18523516441358345,-0.17010264311900564,-0.20084213647216917,-0.16892804823396856,10000,20260716,False
leave_one_order_out,ABC,10,-0.19320361520001025,-0.19354869918210552,-0.18947370930073804,-0.20140034107249252,-0.18672465636821148,10000,20260816,False
order_stratified,BCA,10,-0.16463196325487103,-0.16739131947149422,-0.1602988368864969,-0.17327143122470437,-0.15918862166029576,10000,20260717,False
leave_one_order_out,BCA,10,-0.20048682063989956,-0.20243699371188034,-0.19863785546905516,-0.20785136340228727,-0.19770268599693336,10000,20260817,False
order_stratified,CAB,10,-0.2050833719207878,-0.20508214771246042,-0.19924346988896308,-0.21418435166778982,-0.19708300938254933,10000,20260718,False
leave_one_order_out,CAB,10,-0.1890189623144349,-0.18920463785517455,-0.18420734364117589,-0.19564487544776743,-0.1840416451277785,10000,20260818,False
order_stratified,ACB,10,-0.21885274132507504,-0.21204758294724918,-0.1995468544943818,-0.22738736581333813,-0.19754710253625146,10000,20260719,False
leave_one_order_out,ACB,10,-0.1868849980539033,-0.18562508757696922,-0.17790631147895075,-0.1918617389843439,-0.1778939326878781,10000,20260819,False
order_stratified,CBA,10,-0.20360750569922983,-0.20416652481758116,-0.19320210719297115,-0.21621208649100163,-0.19320210719297115,10000,20260720,False
leave_one_order_out,CBA,10,-0.1902414920503825,-0.19089735843187067,-0.18524051111463014,-0.19724184458979177,-0.1840416451277785,10000,20260820,False
order_stratified,BAC,10,-0.1800586105916574,-0.1778269344234582,-0.15921260185987748,-0.19640114490859212,-0.15921260185987748,10000,20260721,False
leave_one_order_out,BAC,10,-0.1938610053165548,-0.19497732307228305,-0.1909125447472259,-0.20150499891947057,-0.18884159891759644,10000,20260821,False
