model_seed,matched_block_count,d_seed,mean_d,min_d,max_d,confirmatory_decision_made
0,18,-0.18797248545840936,-0.18725522745742268,-0.2476483933698312,-0.11089603148482469,False
1,18,-0.1911865144475936,-0.19732257020911076,-0.23033408747084821,-0.1666936750205524,False
2,18,-0.18016698531213707,-0.18319932902144712,-0.2280644891936122,-0.11471683893859984,False
3,18,-0.19069109346537144,-0.18661426499894646,-0.23666191169156944,-0.10869500362696319,False
4,18,-0.19057905328028377,-0.18503416652693808,-0.23508534802125017,-0.13187749240622063,False
5,18,-0.19019312702398197,-0.1896899447445717,-0.23170645446013888,-0.118885250159248,False
6,18,-0.1957111993747536,-0.18282043523790664,-0.21605114715967183,-0.11375405348186164,False
7,18,-0.20117356769581987,-0.20049232812911233,-0.23266004984770736,-0.16377829229614768,False
8,18,-0.18862187616037485,-0.18872530373965857,-0.22858074407834325,-0.14507052782788135,False
9,18,-0.20788127820454141,-0.19297040462120896,-0.24577149272885124,-0.1261054979077202,False
