domain,dataset,model,checkpoint_label,model_seed,method,metric,n_layers,n_valid_layers,n_missing_layers,depth_min,depth_max,value_min,value_max,spearman_rho,linear_slope
gradient,FashionMNIST,lenet_classic,final,0,exact,cosine,5,5,0,0,1,0.99999999999998646,1,-0.10259783520851541,-3.1086244689504381e-16
gradient,FashionMNIST,lenet_classic,final,0,exact,norm_ratio,5,5,0,0,1,1,1,,0
gradient,FashionMNIST,lenet_classic,final,0,exact,relative_l2,5,5,0,0,1,0,0,,0
gradient,FashionMNIST,lenet_classic,final,0,exact,sign_agreement,5,5,0,0,1,1,1,,0
gradient,FashionMNIST,lenet_classic,final,0,fixedpred,cosine,5,5,0,0,1,0.99054681610295525,1,0.99999999999999989,0.0075867056480288571
gradient,FashionMNIST,lenet_classic,final,0,fixedpred,norm_ratio,5,5,0,0,1,0.00087981865809189997,1,0.99999999999999989,1.0409965176020157
gradient,FashionMNIST,lenet_classic,final,0,fixedpred,relative_l2,5,5,0,0,1,0,0.99912899332729921,-0.99999999999999989,-1.0410037388148676
gradient,FashionMNIST,lenet_classic,final,0,fixedpred,sign_agreement,5,5,0,0,1,0.94358974358974357,1,0.8999999999999998,0.04660578734931535
gradient,FashionMNIST,lenet_classic,final,0,strict,cosine,5,5,0,0,1,0.83477336098161314,0.99999842030904795,0.69999999999999996,0.1462148114710228
gradient,FashionMNIST,lenet_classic,final,0,strict,norm_ratio,5,5,0,0,1,0.00060543441449839998,0.99836506871440645,0.99999999999999989,0.92432480584805854
gradient,FashionMNIST,lenet_classic,final,0,strict,relative_l2,5,5,0,0,1,0.0023893265946320998,0.99949428229152515,-0.99999999999999989,-0.90997974244767155
gradient,FashionMNIST,lenet_classic,final,0,strict,sign_agreement,5,5,0,0,1,0.78717948717948705,1,0.8999999999999998,0.1800395039437786
gradient,FashionMNIST,lenet_classic,final,1,exact,cosine,5,5,0,0,1,0.99999999999998956,1,-0.10259783520851541,-7.9936057773011273e-16
gradient,FashionMNIST,lenet_classic,final,1,exact,norm_ratio,5,5,0,0,1,1,1,,0
gradient,FashionMNIST,lenet_classic,final,1,exact,relative_l2,5,5,0,0,1,0,0,,0
gradient,FashionMNIST,lenet_classic,final,1,exact,sign_agreement,5,5,0,0,1,1,1,,0
gradient,FashionMNIST,lenet_classic,final,1,fixedpred,cosine,5,5,0,0,1,0.99636276013900416,1,0.99999999999999989,0.0029294165016905183
gradient,FashionMNIST,lenet_classic,final,1,fixedpred,norm_ratio,5,5,0,0,1,0.00089305276086730002,1,0.99999999999999989,1.0409902980434764
gradient,FashionMNIST,lenet_classic,final,1,fixedpred,relative_l2,5,5,0,0,1,0,0.99911022416983841,-0.99999999999999989,-1.0409930627529871
gradient,FashionMNIST,lenet_classic,final,1,fixedpred,sign_agreement,5,5,0,0,1,0.97948717948717956,1,0.99999999999999989,0.017695405136705665
gradient,FashionMNIST,lenet_classic,final,1,strict,cosine,5,5,0,0,1,0.86488658678301,0.99999879176892159,0.59999999999999998,0.08428147584239136
gradient,FashionMNIST,lenet_classic,final,1,strict,norm_ratio,5,5,0,0,1,0.00064200052285819998,0.99849600120755244,0.99999999999999989,0.92088111810759565
gradient,FashionMNIST,lenet_classic,final,1,strict,relative_l2,5,5,0,0,1,0.0021690862416009001,0.99941275360284165,-0.99999999999999989,-0.90864661169549854
gradient,FashionMNIST,lenet_classic,final,1,strict,sign_agreement,5,5,0,0,1,0.82836658354114712,0.999529411764706,0.69999999999999996,0.12000895374059679
gradient,FashionMNIST,lenet_classic,final,2,exact,cosine,5,5,0,0,1,0.99999999999998901,1,-0.22360679774997894,-6.2172489379008762e-16
gradient,FashionMNIST,lenet_classic,final,2,exact,norm_ratio,5,5,0,0,1,1,1,,0
gradient,FashionMNIST,lenet_classic,final,2,exact,relative_l2,5,5,0,0,1,0,0,,0
gradient,FashionMNIST,lenet_classic,final,2,exact,sign_agreement,5,5,0,0,1,1,1,,0
gradient,FashionMNIST,lenet_classic,final,2,fixedpred,cosine,5,5,0,0,1,0.99517866615172523,1,0.99999999999999989,0.0039064602368022779
gradient,FashionMNIST,lenet_classic,final,2,fixedpred,norm_ratio,5,5,0,0,1,0.00086940916180010003,1,0.99999999999999989,1.0410022081129031
gradient,FashionMNIST,lenet_classic,final,2,fixedpred,relative_l2,5,5,0,0,1,0,0.99913478887487239,-0.99999999999999989,-1.0410059506993699
gradient,FashionMNIST,lenet_classic,final,2,fixedpred,sign_agreement,5,5,0,0,1,0.95769230769230784,1,0.8999999999999998,0.035516169561925007
gradient,FashionMNIST,lenet_classic,final,2,strict,cosine,5,5,0,0,1,0.83233203589975313,0.99999856095941841,0.29999999999999999,0.052393458577704166
gradient,FashionMNIST,lenet_classic,final,2,strict,norm_ratio,5,5,0,0,1,0.00058620383839250005,0.99841474404377761,0.99999999999999989,0.92448464023414689
gradient,FashionMNIST,lenet_classic,final,2,strict,relative_l2,5,5,0,0,1,0.0023170964957554001,0.99944018318391925,-0.99999999999999989,-0.91066780714456819
gradient,FashionMNIST,lenet_classic,final,2,strict,sign_agreement,5,5,0,0,1,0.82107647547797158,0.999764705882353,0.59999999999999998,0.11160294763493406
gradient,FashionMNIST,lenet_classic,final,3,exact,cosine,5,5,0,0,1,0.99999999999998757,1,-0.46169025843831935,-1.1546319456101628e-15
gradient,FashionMNIST,lenet_classic,final,3,exact,norm_ratio,5,5,0,0,1,1,1,,0
gradient,FashionMNIST,lenet_classic,final,3,exact,relative_l2,5,5,0,0,1,0,0,,0
gradient,FashionMNIST,lenet_classic,final,3,exact,sign_agreement,5,5,0,0,1,1,1,,0
gradient,FashionMNIST,lenet_classic,final,3,fixedpred,cosine,5,5,0,0,1,0.99540321804112897,0.99999999999999956,0.99999999999999989,0.0037172412020503474
gradient,FashionMNIST,lenet_classic,final,3,fixedpred,norm_ratio,5,5,0,0,1,0.00088815049804570004,1,0.99999999999999989,1.0409941477491917
gradient,FashionMNIST,lenet_classic,final,3,fixedpred,relative_l2,5,5,0,0,1,0,0.99911593320149683,-0.99999999999999989,-1.0409977203374583
gradient,FashionMNIST,lenet_classic,final,3,fixedpred,sign_agreement,5,5,0,0,1,0.96538461538461562,1,0.99999999999999989,0.02928496949568573
gradient,FashionMNIST,lenet_classic,final,3,strict,cosine,5,5,0,0,1,0.84170374201649778,0.99999870431314575,0.29999999999999999,0.062860657091883931
gradient,FashionMNIST,lenet_classic,final,3,strict,norm_ratio,5,5,0,0,1,0.00065764783797340001,0.99844502001267565,0.99999999999999989,0.92402674566233611
gradient,FashionMNIST,lenet_classic,final,3,strict,relative_l2,5,5,0,0,1,0.0022534148507963999,0.99937439874566281,-0.99999999999999989,-0.91235235308882623
gradient,FashionMNIST,lenet_classic,final,3,strict,sign_agreement,5,5,0,0,1,0.82255610972568571,0.99929411764705878,0.29999999999999999,0.09201984482682142
gradient,FashionMNIST,lenet_classic,final,4,exact,cosine,5,5,0,0,1,0.99999999999998923,1,-0.22360679774997894,-1.1102230246251565e-15
gradient,FashionMNIST,lenet_classic,final,4,exact,norm_ratio,5,5,0,0,1,1,1,,0
gradient,FashionMNIST,lenet_classic,final,4,exact,relative_l2,5,5,0,0,1,0,0,,0
gradient,FashionMNIST,lenet_classic,final,4,exact,sign_agreement,5,5,0,0,1,1,1,,0
gradient,FashionMNIST,lenet_classic,final,4,fixedpred,cosine,5,5,0,0,1,0.99665622619165362,1,0.99999999999999989,0.0026930383686697645
gradient,FashionMNIST,lenet_classic,final,4,fixedpred,norm_ratio,5,5,0,0,1,0.00087872328750500004,1,0.99999999999999989,1.0409971061178465
