domain,dataset,model,checkpoint_label,layer,metric,method,target_value,absolute_tolerance,n,mean_abs_error,max_abs_error,passed
gradient,FashionMNIST,lenet_classic,final,0,cosine,exact,1,9.9999999999999998e-13,10,2.2204460492503132e-17,2.2204460492503131e-16,True
gradient,FashionMNIST,lenet_classic,final,0,norm_ratio,exact,1,9.9999999999999998e-13,10,0,0,True
gradient,FashionMNIST,lenet_classic,final,0,relative_l2,exact,0,9.9999999999999998e-13,10,0,0,True
gradient,FashionMNIST,lenet_classic,final,0,sign_agreement,exact,1,9.9999999999999998e-13,10,0,0,True
gradient,FashionMNIST,lenet_classic,final,1,cosine,exact,1,9.9999999999999998e-13,10,7.7715611723760953e-17,3.3306690738754696e-16,True
gradient,FashionMNIST,lenet_classic,final,1,norm_ratio,exact,1,9.9999999999999998e-13,10,0,0,True
gradient,FashionMNIST,lenet_classic,final,1,relative_l2,exact,0,9.9999999999999998e-13,10,0,0,True
gradient,FashionMNIST,lenet_classic,final,1,sign_agreement,exact,1,9.9999999999999998e-13,10,0,0,True
gradient,FashionMNIST,lenet_classic,final,3,cosine,exact,1,9.9999999999999998e-13,10,1.1468603844377867e-14,1.354472090042691e-14,True
gradient,FashionMNIST,lenet_classic,final,3,norm_ratio,exact,1,9.9999999999999998e-13,10,0,0,True
gradient,FashionMNIST,lenet_classic,final,3,relative_l2,exact,0,9.9999999999999998e-13,10,0,0,True
gradient,FashionMNIST,lenet_classic,final,3,sign_agreement,exact,1,9.9999999999999998e-13,10,0,0,True
gradient,FashionMNIST,lenet_classic,final,4,cosine,exact,1,9.9999999999999998e-13,10,1.7652546091539989e-15,2.6645352591003757e-15,True
gradient,FashionMNIST,lenet_classic,final,4,norm_ratio,exact,1,9.9999999999999998e-13,10,0,0,True
gradient,FashionMNIST,lenet_classic,final,4,relative_l2,exact,0,9.9999999999999998e-13,10,0,0,True
gradient,FashionMNIST,lenet_classic,final,4,sign_agreement,exact,1,9.9999999999999998e-13,10,0,0,True
gradient,FashionMNIST,lenet_classic,final,5,cosine,exact,1,9.9999999999999998e-13,10,4.4408920985006264e-17,2.2204460492503131e-16,True
gradient,FashionMNIST,lenet_classic,final,5,norm_ratio,exact,1,9.9999999999999998e-13,10,0,0,True
gradient,FashionMNIST,lenet_classic,final,5,relative_l2,exact,0,9.9999999999999998e-13,10,0,0,True
gradient,FashionMNIST,lenet_classic,final,5,sign_agreement,exact,1,9.9999999999999998e-13,10,0,0,True
representation,FashionMNIST,lenet_classic,,0,cka,exact,1,9.9999999999999998e-13,10,0,0,True
representation,FashionMNIST,lenet_classic,,0,rsa_spearman,exact,1,9.9999999999999998e-13,10,2.2204460492503131e-16,2.2204460492503131e-16,True
representation,FashionMNIST,lenet_classic,,1,cka,exact,1,9.9999999999999998e-13,10,0,0,True
representation,FashionMNIST,lenet_classic,,1,rsa_spearman,exact,1,9.9999999999999998e-13,10,2.2204460492503131e-16,2.2204460492503131e-16,True
representation,FashionMNIST,lenet_classic,,3,cka,exact,1,9.9999999999999998e-13,10,4.4408920985006264e-17,4.4408920985006262e-16,True
representation,FashionMNIST,lenet_classic,,3,rsa_spearman,exact,1,9.9999999999999998e-13,10,2.2204460492503131e-16,2.2204460492503131e-16,True
representation,FashionMNIST,lenet_classic,,4,cka,exact,1,9.9999999999999998e-13,10,0,0,True
representation,FashionMNIST,lenet_classic,,4,rsa_spearman,exact,1,9.9999999999999998e-13,10,2.2204460492503131e-16,2.2204460492503131e-16,True
representation,FashionMNIST,lenet_classic,,5,cka,exact,1,9.9999999999999998e-13,10,0,0,True
representation,FashionMNIST,lenet_classic,,5,rsa_spearman,exact,1,9.9999999999999998e-13,10,2.2204460492503131e-16,2.2204460492503131e-16,True
