dataset,model,checkpoint_label,layer,metric,method,reference,target_value,n,n_missing,candidate_mean,candidate_median,candidate_std,candidate_min,candidate_max,mean_difference,median_difference,difference_ci_low,difference_ci_high,cohen_dz,rank_biserial,p_value,p_value_holm
FashionMNIST,lenet_classic,final,0,cosine,fixedpred,bp_target,1,10,0,0.99457437189358533,0.99554683171112612,0.0036833897577159581,0.98634004722114654,0.99881255455640061,-0.0054256281064146705,-0.0044531682888738766,-0.0080605664070434995,-0.0027906898057858415,-1.4729986407355005,-1,0.001953125,0.0390625
FashionMNIST,lenet_classic,final,0,norm_ratio,fixedpred,bp_target,1,10,0,0.00088147319095814407,0.00087839352804397995,1.9863638724732267e-05,0.0008605576470792801,0.00093051870381415992,-0.9991185268090419,-0.99912160647195603,-0.99913273640018174,-0.99910431721790205,-50298.867224425194,-1,0.001953125,0.0390625
FashionMNIST,lenet_classic,final,0,relative_l2,fixedpred,bp_target,0,10,0,0.99912342025285938,0.99912660422639676,1.7545674118492421e-05,0.99908239970027157,0.99914159695662619,0.99912342025285938,0.99912660422639676,0.99911086883370848,0.99913597167201029,56944.145520166952,1,0.001953125,0.0390625
FashionMNIST,lenet_classic,final,0,sign_agreement,fixedpred,bp_target,1,10,0,0.95666666666666678,0.95833333333333348,0.015167027303272249,0.93717948717948718,0.97948717948717956,-0.043333333333333265,-0.041666666666666519,-0.054183171058042781,-0.03248349560862375,-2.8570749209361681,-1,0.001953125,0.0390625
FashionMNIST,lenet_classic,final,1,cosine,fixedpred,bp_target,1,10,0,0.99993182687880222,0.99993873556388024,2.6764400735226788e-05,0.99987646866668456,0.99996297340054419,-6.8173121197900863e-05,-6.1264436119756738e-05,-8.7319220098484748e-05,-4.9027022297316977e-05,-2.5471566455875365,-1,0.001953125,0.0390625
FashionMNIST,lenet_classic,final,1,norm_ratio,fixedpred,bp_target,1,10,0,0.0083258573052453592,0.0083264503533089194,7.7495536843712448e-06,0.0083088942549044802,0.0083378788526930411,-0.99167414269475473,-0.99167354964669108,-0.99167968639150117,-0.9916685989980083,-127965.32330553423,-1,0.001953125,0.0390625
FashionMNIST,lenet_classic,final,1,relative_l2,fixedpred,bp_target,0,10,0,0.99167471514371253,0.99167419694161474,7.7143140981649064e-06,0.99166282547061435,0.99169166353405314,0.99167471514371253,0.99167419694161474,0.99166919665584741,0.99168023363157765,128549.95305151156,1,0.001953125,0.0390625
FashionMNIST,lenet_classic,final,1,sign_agreement,fixedpred,bp_target,1,10,0,0.99635761589403971,0.99639900662251657,0.00067138659274811909,0.99552980132450331,0.99726821192052983,-0.0036423841059602057,-0.0036009933774834302,-0.0041226651416705539,-0.0031621030702498575,-5.4251665810769349,-1,0.001953125,0.0390625
FashionMNIST,lenet_classic,final,3,cosine,fixedpred,bp_target,1,10,0,0.99999992042287533,0.99999992388973746,1.2058415985762015e-08,0.99999989674678369,0.99999993412347232,-7.9577124523222414e-08,-7.611026253684372e-08,-8.820319567391747e-08,-7.0951053372527358e-08,-6.5993016509948887,-1,0.001953125,0.0390625
FashionMNIST,lenet_classic,final,3,norm_ratio,fixedpred,bp_target,1,10,0,0.22515992435286689,0.225159309872945,1.9105434210271707e-06,0.22515760322120704,0.22516317672719594,-0.77484007564713309,-0.77484069012705503,-0.77484144236756347,-0.7748387089267027,-405560.04491533042,-1,0.001953125,0.0390625
