dataset,model,checkpoint_label,model_seed,method,layer,metric,value,n_observations,n_missing
FashionMNIST,lenet_classic,final,0,exact,0,cosine,1,5,0
FashionMNIST,lenet_classic,final,0,exact,0,norm_ratio,1,5,0
FashionMNIST,lenet_classic,final,0,exact,0,relative_l2,0,5,0
FashionMNIST,lenet_classic,final,0,exact,0,sign_agreement,1,5,0
FashionMNIST,lenet_classic,final,0,exact,1,cosine,0.99999999999999967,5,0
FashionMNIST,lenet_classic,final,0,exact,1,norm_ratio,1,5,0
FashionMNIST,lenet_classic,final,0,exact,1,relative_l2,0,5,0
FashionMNIST,lenet_classic,final,0,exact,1,sign_agreement,1,5,0
FashionMNIST,lenet_classic,final,0,exact,3,cosine,0.99999999999998646,5,0
FashionMNIST,lenet_classic,final,0,exact,3,norm_ratio,1,5,0
FashionMNIST,lenet_classic,final,0,exact,3,relative_l2,0,5,0
FashionMNIST,lenet_classic,final,0,exact,3,sign_agreement,1,5,0
FashionMNIST,lenet_classic,final,0,exact,4,cosine,0.99999999999999889,5,0
FashionMNIST,lenet_classic,final,0,exact,4,norm_ratio,1,5,0
FashionMNIST,lenet_classic,final,0,exact,4,relative_l2,0,5,0
FashionMNIST,lenet_classic,final,0,exact,4,sign_agreement,1,5,0
FashionMNIST,lenet_classic,final,0,exact,5,cosine,1,5,0
FashionMNIST,lenet_classic,final,0,exact,5,norm_ratio,1,5,0
FashionMNIST,lenet_classic,final,0,exact,5,relative_l2,0,5,0
FashionMNIST,lenet_classic,final,0,exact,5,sign_agreement,1,5,0
FashionMNIST,lenet_classic,final,0,fixedpred,0,cosine,0.99054681610295514,5,0
FashionMNIST,lenet_classic,final,0,fixedpred,0,norm_ratio,0.00087981865809194008,5,0
FashionMNIST,lenet_classic,final,0,fixedpred,0,relative_l2,0.9991289933272991,5,0
FashionMNIST,lenet_classic,final,0,fixedpred,0,sign_agreement,0.94358974358974357,5,0
FashionMNIST,lenet_classic,final,0,fixedpred,1,cosine,0.9999395539137893,5,0
FashionMNIST,lenet_classic,final,0,fixedpred,1,norm_ratio,0.0083296391675456403,5,0
FashionMNIST,lenet_classic,final,0,fixedpred,1,relative_l2,0.99167086857386866,5,0
FashionMNIST,lenet_classic,final,0,fixedpred,1,sign_agreement,0.99610927152317896,5,0
FashionMNIST,lenet_classic,final,0,fixedpred,3,cosine,0.99999989674678369,5,0
FashionMNIST,lenet_classic,final,0,fixedpred,3,norm_ratio,0.22516019794269373,5,0
FashionMNIST,lenet_classic,final,0,fixedpred,3,relative_l2,0.77483983206113227,5,0
FashionMNIST,lenet_classic,final,0,fixedpred,3,sign_agreement,0.99980465502909388,5,0
FashionMNIST,lenet_classic,final,0,fixedpred,4,cosine,0.99999995023977184,5,0
FashionMNIST,lenet_classic,final,0,fixedpred,4,norm_ratio,0.61258057048876857,5,0
FashionMNIST,lenet_classic,final,0,fixedpred,4,relative_l2,0.38741950819129789,5,0
FashionMNIST,lenet_classic,final,0,fixedpred,4,sign_agreement,0.99980322707595448,5,0
FashionMNIST,lenet_classic,final,0,fixedpred,5,cosine,1,5,0
FashionMNIST,lenet_classic,final,0,fixedpred,5,norm_ratio,1,5,0
FashionMNIST,lenet_classic,final,0,fixedpred,5,relative_l2,0,5,0
FashionMNIST,lenet_classic,final,0,fixedpred,5,sign_agreement,1,5,0
FashionMNIST,lenet_classic,final,0,strict,0,cosine,0.84679369986167197,5,0
FashionMNIST,lenet_classic,final,0,strict,0,norm_ratio,0.00060543441449849994,5,0
FashionMNIST,lenet_classic,final,0,strict,0,relative_l2,0.99949428229152526,5,0
FashionMNIST,lenet_classic,final,0,strict,0,sign_agreement,0.78717948717948716,5,0
FashionMNIST,lenet_classic,final,0,strict,1,cosine,0.86329681790423207,5,0
FashionMNIST,lenet_classic,final,0,strict,1,norm_ratio,0.00368273975376126,5,0
FashionMNIST,lenet_classic,final,0,strict,1,relative_l2,0.99678441255675554,5,0
FashionMNIST,lenet_classic,final,0,strict,1,sign_agreement,0.83402317880794707,5,0
FashionMNIST,lenet_classic,final,0,strict,3,cosine,0.83477336098161314,5,0
FashionMNIST,lenet_classic,final,0,strict,3,norm_ratio,0.066004854769092833,5,0
FashionMNIST,lenet_classic,final,0,strict,3,relative_l2,0.94557933007101713,5,0
FashionMNIST,lenet_classic,final,0,strict,3,sign_agreement,0.81871155444721533,5,0
FashionMNIST,lenet_classic,final,0,strict,4,cosine,0.92242440568703687,5,0
FashionMNIST,lenet_classic,final,0,strict,4,norm_ratio,0.31897548577409174,5,0
FashionMNIST,lenet_classic,final,0,strict,4,relative_l2,0.71604496783136318,5,0
FashionMNIST,lenet_classic,final,0,strict,4,sign_agreement,0.85848091302636753,5,0
FashionMNIST,lenet_classic,final,0,strict,5,cosine,0.99999842030904806,5,0
FashionMNIST,lenet_classic,final,0,strict,5,norm_ratio,0.99836506871440656,5,0
FashionMNIST,lenet_classic,final,0,strict,5,relative_l2,0.0023893265946321198,5,0
FashionMNIST,lenet_classic,final,0,strict,5,sign_agreement,1,5,0
FashionMNIST,lenet_classic,final,1,exact,0,cosine,1,5,0
FashionMNIST,lenet_classic,final,1,exact,0,norm_ratio,1,5,0
FashionMNIST,lenet_classic,final,1,exact,0,relative_l2,0,5,0
FashionMNIST,lenet_classic,final,1,exact,0,sign_agreement,1,5,0
FashionMNIST,lenet_classic,final,1,exact,1,cosine,0.99999999999999978,5,0
FashionMNIST,lenet_classic,final,1,exact,1,norm_ratio,1,5,0
FashionMNIST,lenet_classic,final,1,exact,1,relative_l2,0,5,0
FashionMNIST,lenet_classic,final,1,exact,1,sign_agreement,1,5,0
FashionMNIST,lenet_classic,final,1,exact,3,cosine,0.99999999999998967,5,0
FashionMNIST,lenet_classic,final,1,exact,3,norm_ratio,1,5,0
FashionMNIST,lenet_classic,final,1,exact,3,relative_l2,0,5,0
FashionMNIST,lenet_classic,final,1,exact,3,sign_agreement,1,5,0
FashionMNIST,lenet_classic,final,1,exact,4,cosine,0.99999999999999767,5,0
FashionMNIST,lenet_classic,final,1,exact,4,norm_ratio,1,5,0
FashionMNIST,lenet_classic,final,1,exact,4,relative_l2,0,5,0
FashionMNIST,lenet_classic,final,1,exact,4,sign_agreement,1,5,0
FashionMNIST,lenet_classic,final,1,exact,5,cosine,1,5,0
FashionMNIST,lenet_classic,final,1,exact,5,norm_ratio,1,5,0
FashionMNIST,lenet_classic,final,1,exact,5,relative_l2,0,5,0
FashionMNIST,lenet_classic,final,1,exact,5,sign_agreement,1,5,0
FashionMNIST,lenet_classic,final,1,fixedpred,0,cosine,0.99636276013900427,5,0
FashionMNIST,lenet_classic,final,1,fixedpred,0,norm_ratio,0.00089305276086734003,5,0
FashionMNIST,lenet_classic,final,1,fixedpred,0,relative_l2,0.99911022416983852,5,0
FashionMNIST,lenet_classic,final,1,fixedpred,0,sign_agreement,0.97948717948717956,5,0
FashionMNIST,lenet_classic,final,1,fixedpred,1,cosine,0.99995090399295383,5,0
FashionMNIST,lenet_classic,final,1,fixedpred,1,norm_ratio,0.0083255214137059799,5,0
FashionMNIST,lenet_classic,final,1,fixedpred,1,relative_l2,0.99167489101130468,5,0
FashionMNIST,lenet_classic,final,1,fixedpred,1,sign_agreement,0.99668874172185418,5,0
FashionMNIST,lenet_classic,final,1,fixedpred,3,cosine,0.9999999270155856,5,0
FashionMNIST,lenet_classic,final,1,fixedpred,3,norm_ratio,0.22515873585860735,5,0
FashionMNIST,lenet_classic,final,1,fixedpred,3,relative_l2,0.7748412853497435,5,0
FashionMNIST,lenet_classic,final,1,fixedpred,3,sign_agreement,0.99981712385702404,5,0
FashionMNIST,lenet_classic,final,1,fixedpred,4,cosine,0.99999996552518833,5,0
FashionMNIST,lenet_classic,final,1,fixedpred,4,norm_ratio,0.61258737204413194,5,0
FashionMNIST,lenet_classic,final,1,fixedpred,4,relative_l2,0.3874126824685134,5,0
FashionMNIST,lenet_classic,final,1,fixedpred,4,sign_agreement,0.99990161353797724,5,0
FashionMNIST,lenet_classic,final,1,fixedpred,5,cosine,1,5,0
FashionMNIST,lenet_classic,final,1,fixedpred,5,norm_ratio,1,5,0
FashionMNIST,lenet_classic,final,1,fixedpred,5,relative_l2,0,5,0
FashionMNIST,lenet_classic,final,1,fixedpred,5,sign_agreement,1,5,0
FashionMNIST,lenet_classic,final,1,strict,0,cosine,0.91178621879389288,5,0
FashionMNIST,lenet_classic,final,1,strict,0,norm_ratio,0.00064200052285821993,5,0
FashionMNIST,lenet_classic,final,1,strict,0,relative_l2,0.99941275360284165,5,0
FashionMNIST,lenet_classic,final,1,strict,0,sign_agreement,0.85641025641025637,5,0
FashionMNIST,lenet_classic,final,1,strict,1,cosine,0.89732850847827483,5,0
FashionMNIST,lenet_classic,final,1,strict,1,norm_ratio,0.0038800453741243803,5,0
FashionMNIST,lenet_classic,final,1,strict,1,relative_l2,0.99652188747537429,5,0
FashionMNIST,lenet_classic,final,1,strict,1,sign_agreement,0.86539735099337745,5,0
FashionMNIST,lenet_classic,final,1,strict,3,cosine,0.86488658678301,5,0
FashionMNIST,lenet_classic,final,1,strict,3,norm_ratio,0.068059485279300475,5,0
FashionMNIST,lenet_classic,final,1,strict,3,relative_l2,0.94172918269923278,5,0
FashionMNIST,lenet_classic,final,1,strict,3,sign_agreement,0.82836658354114712,5,0
FashionMNIST,lenet_classic,final,1,strict,4,cosine,0.93160705213419559,5,0
FashionMNIST,lenet_classic,final,1,strict,4,norm_ratio,0.31037483927372511,5,0
FashionMNIST,lenet_classic,final,1,strict,4,relative_l2,0.71939269295910901,5,0
FashionMNIST,lenet_classic,final,1,strict,4,sign_agreement,0.87918142463596993,5,0
FashionMNIST,lenet_classic,final,1,strict,5,cosine,0.99999879176892159,5,0
FashionMNIST,lenet_classic,final,1,strict,5,norm_ratio,0.99849600120755233,5,0
FashionMNIST,lenet_classic,final,1,strict,5,relative_l2,0.0021690862416009005,5,0
FashionMNIST,lenet_classic,final,1,strict,5,sign_agreement,0.999529411764706,5,0
FashionMNIST,lenet_classic,final,2,exact,0,cosine,1,5,0
FashionMNIST,lenet_classic,final,2,exact,0,norm_ratio,1,5,0
FashionMNIST,lenet_classic,final,2,exact,0,relative_l2,0,5,0
FashionMNIST,lenet_classic,final,2,exact,0,sign_agreement,1,5,0
FashionMNIST,lenet_classic,final,2,exact,1,cosine,1,5,0
FashionMNIST,lenet_classic,final,2,exact,1,norm_ratio,1,5,0
FashionMNIST,lenet_classic,final,2,exact,1,relative_l2,0,5,0
FashionMNIST,lenet_classic,final,2,exact,1,sign_agreement,1,5,0
FashionMNIST,lenet_classic,final,2,exact,3,cosine,0.99999999999998901,5,0
FashionMNIST,lenet_classic,final,2,exact,3,norm_ratio,1,5,0
FashionMNIST,lenet_classic,final,2,exact,3,relative_l2,0,5,0
FashionMNIST,lenet_classic,final,2,exact,3,sign_agreement,1,5,0
FashionMNIST,lenet_classic,final,2,exact,4,cosine,0.99999999999999856,5,0
FashionMNIST,lenet_classic,final,2,exact,4,norm_ratio,1,5,0
FashionMNIST,lenet_classic,final,2,exact,4,relative_l2,0,5,0
FashionMNIST,lenet_classic,final,2,exact,4,sign_agreement,1,5,0
FashionMNIST,lenet_classic,final,2,exact,5,cosine,1,5,0
FashionMNIST,lenet_classic,final,2,exact,5,norm_ratio,1,5,0
FashionMNIST,lenet_classic,final,2,exact,5,relative_l2,0,5,0
FashionMNIST,lenet_classic,final,2,exact,5,sign_agreement,1,5,0
FashionMNIST,lenet_classic,final,2,fixedpred,0,cosine,0.99517866615172534,5,0
FashionMNIST,lenet_classic,final,2,fixedpred,0,norm_ratio,0.00086940916180011998,5,0
FashionMNIST,lenet_classic,final,2,fixedpred,0,relative_l2,0.99913478887487239,5,0
FashionMNIST,lenet_classic,final,2,fixedpred,0,sign_agreement,0.95769230769230784,5,0
FashionMNIST,lenet_classic,final,2,fixedpred,1,cosine,0.99987646866668456,5,0
FashionMNIST,lenet_classic,final,2,fixedpred,1,norm_ratio,0.0083261887550875394,5,0
FashionMNIST,lenet_classic,final,2,fixedpred,1,relative_l2,0.99167484822289098,5,0
FashionMNIST,lenet_classic,final,2,fixedpred,1,sign_agreement,0.99552980132450342,5,0
FashionMNIST,lenet_classic,final,2,fixedpred,3,cosine,0.99999991406627375,5,0
FashionMNIST,lenet_classic,final,2,fixedpred,3,norm_ratio,0.22515899895918037,5,0
FashionMNIST,lenet_classic,final,2,fixedpred,3,relative_l2,0.77484102601208393,5,0
FashionMNIST,lenet_classic,final,2,fixedpred,3,sign_agreement,0.99977140482128013,5,0
FashionMNIST,lenet_classic,final,2,fixedpred,4,cosine,0.99999995156214061,5,0
FashionMNIST,lenet_classic,final,2,fixedpred,4,norm_ratio,0.6125705273609453,5,0
FashionMNIST,lenet_classic,final,2,fixedpred,4,relative_l2,0.38742954922421075,5,0
FashionMNIST,lenet_classic,final,2,fixedpred,4,sign_agreement,0.9997048406139315,5,0
FashionMNIST,lenet_classic,final,2,fixedpred,5,cosine,1,5,0
FashionMNIST,lenet_classic,final,2,fixedpred,5,norm_ratio,1,5,0
FashionMNIST,lenet_classic,final,2,fixedpred,5,relative_l2,0,5,0
FashionMNIST,lenet_classic,final,2,fixedpred,5,sign_agreement,1,5,0
FashionMNIST,lenet_classic,final,2,strict,0,cosine,0.95134928234072846,5,0
FashionMNIST,lenet_classic,final,2,strict,0,norm_ratio,0.00058620383839256,5,0
FashionMNIST,lenet_classic,final,2,strict,0,relative_l2,0.99944018318391925,5,0
FashionMNIST,lenet_classic,final,2,strict,0,sign_agreement,0.86794871794871808,5,0
FashionMNIST,lenet_classic,final,2,strict,1,cosine,0.89225214661688879,5,0
FashionMNIST,lenet_classic,final,2,strict,1,norm_ratio,0.0039995496551495403,5,0
FashionMNIST,lenet_classic,final,2,strict,1,relative_l2,0.99643458201312496,5,0
FashionMNIST,lenet_classic,final,2,strict,1,sign_agreement,0.85264900662251653,5,0
FashionMNIST,lenet_classic,final,2,strict,3,cosine,0.83233203589975313,5,0
FashionMNIST,lenet_classic,final,2,strict,3,norm_ratio,0.069095913066473877,5,0
FashionMNIST,lenet_classic,final,2,strict,3,relative_l2,0.94320046570038873,5,0
FashionMNIST,lenet_classic,final,2,strict,3,sign_agreement,0.82107647547797169,5,0
FashionMNIST,lenet_classic,final,2,strict,4,cosine,0.92593723582376908,5,0
FashionMNIST,lenet_classic,final,2,strict,4,norm_ratio,0.31955406982974627,5,0
FashionMNIST,lenet_classic,final,2,strict,4,relative_l2,0.71401123752803208,5,0
FashionMNIST,lenet_classic,final,2,strict,4,sign_agreement,0.86802439984258162,5,0
