dataset,model,model_seed,method,layer,metric,value,n_observations,n_missing
FashionMNIST,lenet_classic,0,exact,0,cka,1,1,0
FashionMNIST,lenet_classic,0,exact,0,rsa_spearman,0.99999999999999978,1,0
FashionMNIST,lenet_classic,0,exact,1,cka,1,1,0
FashionMNIST,lenet_classic,0,exact,1,rsa_spearman,0.99999999999999978,1,0
FashionMNIST,lenet_classic,0,exact,3,cka,1,1,0
FashionMNIST,lenet_classic,0,exact,3,rsa_spearman,0.99999999999999978,1,0
FashionMNIST,lenet_classic,0,exact,4,cka,1,1,0
FashionMNIST,lenet_classic,0,exact,4,rsa_spearman,0.99999999999999978,1,0
FashionMNIST,lenet_classic,0,exact,5,cka,1,1,0
FashionMNIST,lenet_classic,0,exact,5,rsa_spearman,0.99999999999999978,1,0
FashionMNIST,lenet_classic,0,fixedpred,0,cka,0.99711363823691401,1,0
FashionMNIST,lenet_classic,0,fixedpred,0,rsa_spearman,0.98084411870822685,1,0
FashionMNIST,lenet_classic,0,fixedpred,1,cka,0.99104224691163356,1,0
FashionMNIST,lenet_classic,0,fixedpred,1,rsa_spearman,0.99193392139474124,1,0
FashionMNIST,lenet_classic,0,fixedpred,3,cka,0.99076698182797085,1,0
FashionMNIST,lenet_classic,0,fixedpred,3,rsa_spearman,0.98729581503007979,1,0
FashionMNIST,lenet_classic,0,fixedpred,4,cka,0.99444803161262041,1,0
FashionMNIST,lenet_classic,0,fixedpred,4,rsa_spearman,0.99282764317045358,1,0
FashionMNIST,lenet_classic,0,fixedpred,5,cka,0.99461299268177905,1,0
FashionMNIST,lenet_classic,0,fixedpred,5,rsa_spearman,0.99316650071977119,1,0
FashionMNIST,lenet_classic,0,strict,0,cka,0.98607990011853197,1,0
FashionMNIST,lenet_classic,0,strict,0,rsa_spearman,0.93852385333105925,1,0
FashionMNIST,lenet_classic,0,strict,1,cka,0.97313223041294339,1,0
FashionMNIST,lenet_classic,0,strict,1,rsa_spearman,0.96421886286360325,1,0
FashionMNIST,lenet_classic,0,strict,3,cka,0.9589131861596788,1,0
FashionMNIST,lenet_classic,0,strict,3,rsa_spearman,0.93345474956576635,1,0
FashionMNIST,lenet_classic,0,strict,4,cka,0.97396652512936843,1,0
FashionMNIST,lenet_classic,0,strict,4,rsa_spearman,0.96516404582391602,1,0
FashionMNIST,lenet_classic,0,strict,5,cka,0.96821642786854323,1,0
FashionMNIST,lenet_classic,0,strict,5,rsa_spearman,0.96498840044297796,1,0
FashionMNIST,lenet_classic,1,exact,0,cka,1,1,0
FashionMNIST,lenet_classic,1,exact,0,rsa_spearman,0.99999999999999978,1,0
FashionMNIST,lenet_classic,1,exact,1,cka,1,1,0
FashionMNIST,lenet_classic,1,exact,1,rsa_spearman,0.99999999999999978,1,0
FashionMNIST,lenet_classic,1,exact,3,cka,1,1,0
FashionMNIST,lenet_classic,1,exact,3,rsa_spearman,0.99999999999999978,1,0
FashionMNIST,lenet_classic,1,exact,4,cka,1,1,0
FashionMNIST,lenet_classic,1,exact,4,rsa_spearman,0.99999999999999978,1,0
FashionMNIST,lenet_classic,1,exact,5,cka,1,1,0
FashionMNIST,lenet_classic,1,exact,5,rsa_spearman,0.99999999999999978,1,0
FashionMNIST,lenet_classic,1,fixedpred,0,cka,0.99354313554719365,1,0
FashionMNIST,lenet_classic,1,fixedpred,0,rsa_spearman,0.98372810614359163,1,0
FashionMNIST,lenet_classic,1,fixedpred,1,cka,0.99475851738056265,1,0
FashionMNIST,lenet_classic,1,fixedpred,1,rsa_spearman,0.99153598846232405,1,0
FashionMNIST,lenet_classic,1,fixedpred,3,cka,0.98778847441776396,1,0
FashionMNIST,lenet_classic,1,fixedpred,3,rsa_spearman,0.98291220873759999,1,0
FashionMNIST,lenet_classic,1,fixedpred,4,cka,0.99330978316898677,1,0
FashionMNIST,lenet_classic,1,fixedpred,4,rsa_spearman,0.99163741176017484,1,0
FashionMNIST,lenet_classic,1,fixedpred,5,cka,0.99421163903703524,1,0
FashionMNIST,lenet_classic,1,fixedpred,5,rsa_spearman,0.99422555231924581,1,0
FashionMNIST,lenet_classic,1,strict,0,cka,0.98584415552576998,1,0
FashionMNIST,lenet_classic,1,strict,0,rsa_spearman,0.90808833919008036,1,0
FashionMNIST,lenet_classic,1,strict,1,cka,0.97304510230135721,1,0
