source_file,dataset,model,model_seed,reference_label,candidate_label,reference_layer,candidate_layer,cka
results/stage3/layerwise/confirmatory/raw/seed-0/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,0,bp,exact,0,0,1.0
results/stage3/layerwise/confirmatory/raw/seed-0/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,0,bp,exact,0,1,0.9142893749860084
results/stage3/layerwise/confirmatory/raw/seed-0/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,0,bp,exact,0,3,0.8785906494612569
results/stage3/layerwise/confirmatory/raw/seed-0/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,0,bp,exact,0,4,0.8055952672805232
results/stage3/layerwise/confirmatory/raw/seed-0/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,0,bp,exact,0,5,0.7324776450680491
results/stage3/layerwise/confirmatory/raw/seed-0/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,0,bp,exact,1,0,0.9142893749860088
results/stage3/layerwise/confirmatory/raw/seed-0/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,0,bp,exact,1,1,1.0
results/stage3/layerwise/confirmatory/raw/seed-0/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,0,bp,exact,1,3,0.9356862254465728
results/stage3/layerwise/confirmatory/raw/seed-0/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,0,bp,exact,1,4,0.8243995590421683
results/stage3/layerwise/confirmatory/raw/seed-0/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,0,bp,exact,1,5,0.728485402866438
results/stage3/layerwise/confirmatory/raw/seed-0/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,0,bp,exact,3,0,0.8785906494612569
results/stage3/layerwise/confirmatory/raw/seed-0/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,0,bp,exact,3,1,0.9356862254465732
results/stage3/layerwise/confirmatory/raw/seed-0/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,0,bp,exact,3,3,1.0
results/stage3/layerwise/confirmatory/raw/seed-0/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,0,bp,exact,3,4,0.934688910323197
results/stage3/layerwise/confirmatory/raw/seed-0/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,0,bp,exact,3,5,0.8497692792045909
results/stage3/layerwise/confirmatory/raw/seed-0/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,0,bp,exact,4,0,0.8055952672805231
results/stage3/layerwise/confirmatory/raw/seed-0/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,0,bp,exact,4,1,0.8243995590421683
results/stage3/layerwise/confirmatory/raw/seed-0/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,0,bp,exact,4,3,0.9346889103231965
results/stage3/layerwise/confirmatory/raw/seed-0/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,0,bp,exact,4,4,1.0
results/stage3/layerwise/confirmatory/raw/seed-0/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,0,bp,exact,4,5,0.9680022873656864
results/stage3/layerwise/confirmatory/raw/seed-0/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,0,bp,exact,5,0,0.7324776450680491
results/stage3/layerwise/confirmatory/raw/seed-0/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,0,bp,exact,5,1,0.7284854028664377
results/stage3/layerwise/confirmatory/raw/seed-0/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,0,bp,exact,5,3,0.8497692792045909
results/stage3/layerwise/confirmatory/raw/seed-0/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,0,bp,exact,5,4,0.9680022873656864
results/stage3/layerwise/confirmatory/raw/seed-0/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,0,bp,exact,5,5,1.0
results/stage3/layerwise/confirmatory/raw/seed-0/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,0,bp,fixedpred,0,0,0.997113638236914
