model_seed,batch_index,parameter,cosine,relative_l2,max_abs
0,0,0.0.bias,1.0000000000000002,0.0,0.0
0,0,0.0.weight,0.9999999999999998,0.0,0.0
0,0,1.0.bias,1.0,0.0,0.0
0,0,1.0.weight,1.0000000000000002,0.0,0.0
0,0,3.0.bias,1.0,0.0,0.0
0,0,3.0.weight,0.9999999999999976,0.0,0.0
0,0,4.0.bias,1.0000000000000002,0.0,0.0
0,0,4.0.weight,1.0000000000000002,0.0,0.0
0,0,5.bias,1.0000000000000002,0.0,0.0
0,0,5.weight,1.0,0.0,0.0
0,1,0.0.bias,1.0000000000000002,0.0,0.0
0,1,0.0.weight,1.0,0.0,0.0
0,1,1.0.bias,0.9999999999999999,0.0,0.0
0,1,1.0.weight,0.9999999999999998,0.0,0.0
0,1,3.0.bias,1.0000000000000002,0.0,0.0
0,1,3.0.weight,1.0000000000000024,0.0,0.0
0,1,4.0.bias,1.0,0.0,0.0
0,1,4.0.weight,0.9999999999999997,0.0,0.0
0,1,5.bias,1.0,0.0,0.0
0,1,5.weight,0.9999999999999999,0.0,0.0
0,2,0.0.bias,0.9999999999999998,0.0,0.0
0,2,0.0.weight,0.9999999999999999,0.0,0.0
0,2,1.0.bias,1.0000000000000002,0.0,0.0
0,2,1.0.weight,1.0,0.0,0.0
0,2,3.0.bias,1.0,0.0,0.0
0,2,3.0.weight,1.0000000000000007,0.0,0.0
0,2,4.0.bias,0.9999999999999997,0.0,0.0
0,2,4.0.weight,1.0000000000000016,0.0,0.0
0,2,5.bias,1.0,0.0,0.0
0,2,5.weight,0.9999999999999999,0.0,0.0
1,0,0.0.bias,0.9999999999999998,0.0,0.0
1,0,0.0.weight,1.0000000000000002,0.0,0.0
1,0,1.0.bias,1.0,0.0,0.0
1,0,1.0.weight,0.9999999999999997,0.0,0.0
1,0,3.0.bias,0.9999999999999999,0.0,0.0
1,0,3.0.weight,1.000000000000001,0.0,0.0
1,0,4.0.bias,1.0,0.0,0.0
1,0,4.0.weight,0.9999999999999993,0.0,0.0
1,0,5.bias,1.0000000000000002,0.0,0.0
1,0,5.weight,1.0,0.0,0.0
1,1,0.0.bias,1.0000000000000002,0.0,0.0
1,1,0.0.weight,1.0,0.0,0.0
1,1,1.0.bias,0.9999999999999999,0.0,0.0
1,1,1.0.weight,0.9999999999999998,0.0,0.0
1,1,3.0.bias,0.9999999999999999,0.0,0.0
1,1,3.0.weight,0.9999999999999984,0.0,0.0
1,1,4.0.bias,1.0000000000000004,0.0,0.0
1,1,4.0.weight,1.0000000000000004,0.0,0.0
1,1,5.bias,0.9999999999999998,0.0,0.0
1,1,5.weight,0.9999999999999999,0.0,0.0
1,2,0.0.bias,1.0,0.0,0.0
1,2,0.0.weight,1.0000000000000002,0.0,0.0
1,2,1.0.bias,0.9999999999999998,0.0,0.0
1,2,1.0.weight,0.9999999999999998,0.0,0.0
1,2,3.0.bias,1.0000000000000004,0.0,0.0
1,2,3.0.weight,1.000000000000003,0.0,0.0
1,2,4.0.bias,1.0000000000000002,0.0,0.0
1,2,4.0.weight,0.9999999999999981,0.0,0.0
1,2,5.bias,1.0,0.0,0.0
1,2,5.weight,1.0000000000000007,0.0,0.0
2,0,0.0.bias,1.0000000000000002,0.0,0.0
2,0,0.0.weight,1.0000000000000002,0.0,0.0
2,0,1.0.bias,1.0,0.0,0.0
2,0,1.0.weight,0.9999999999999999,0.0,0.0
2,0,3.0.bias,1.0,0.0,0.0
2,0,3.0.weight,1.000000000000001,0.0,0.0
2,0,4.0.bias,1.0000000000000002,0.0,0.0
2,0,4.0.weight,1.0000000000000004,0.0,0.0
2,0,5.bias,1.0000000000000002,0.0,0.0
2,0,5.weight,1.0000000000000002,0.0,0.0
2,1,0.0.bias,0.9999999999999999,0.0,0.0
2,1,0.0.weight,0.9999999999999999,0.0,0.0
2,1,1.0.bias,0.9999999999999999,0.0,0.0
2,1,1.0.weight,0.9999999999999996,0.0,0.0
2,1,3.0.bias,1.0000000000000002,0.0,0.0
2,1,3.0.weight,0.9999999999999974,0.0,0.0
2,1,4.0.bias,1.0,0.0,0.0
2,1,4.0.weight,1.0000000000000004,0.0,0.0
2,1,5.bias,0.9999999999999999,0.0,0.0
2,1,5.weight,1.0000000000000002,0.0,0.0
2,2,0.0.bias,0.9999999999999998,0.0,0.0
2,2,0.0.weight,1.0000000000000002,0.0,0.0
2,2,1.0.bias,1.0000000000000002,0.0,0.0
2,2,1.0.weight,1.0000000000000002,0.0,0.0
2,2,3.0.bias,1.0000000000000002,0.0,0.0
2,2,3.0.weight,1.000000000000002,0.0,0.0
2,2,4.0.bias,1.0,0.0,0.0
2,2,4.0.weight,0.9999999999999996,0.0,0.0
2,2,5.bias,0.9999999999999998,0.0,0.0
2,2,5.weight,1.0000000000000004,0.0,0.0
