model_seed,batch_index,parameter,cosine,relative_l2,max_abs
0,0,0.0.bias,0.9999999403953552,0.0,0.0
0,0,0.0.weight,1.0,0.0,0.0
0,0,1.0.bias,1.0000001192092896,0.0,0.0
0,0,1.0.weight,1.0,0.0,0.0
0,0,3.0.bias,1.000000238418579,0.0,0.0
0,0,3.0.weight,0.9999995231628418,0.0,0.0
0,0,4.0.bias,1.0,0.0,0.0
0,0,4.0.weight,1.0000001192092896,0.0,0.0
0,0,5.bias,1.0,0.0,0.0
0,0,5.weight,1.0,0.0,0.0
0,1,0.0.bias,1.0,0.0,0.0
0,1,0.0.weight,1.000000238418579,0.0,0.0
0,1,1.0.bias,1.0,0.0,0.0
0,1,1.0.weight,1.0,0.0,0.0
0,1,3.0.bias,1.0000001192092896,0.0,0.0
0,1,3.0.weight,1.000001072883606,0.0,0.0
0,1,4.0.bias,1.0000001192092896,0.0,0.0
0,1,4.0.weight,1.0000005960464478,0.0,0.0
0,1,5.bias,1.0000001192092896,0.0,0.0
0,1,5.weight,1.0000001192092896,0.0,0.0
0,2,0.0.bias,0.9999998807907104,0.0,0.0
0,2,0.0.weight,0.9999999403953552,0.0,0.0
0,2,1.0.bias,1.0,0.0,0.0
0,2,1.0.weight,1.0000003576278687,0.0,0.0
0,2,3.0.bias,0.9999998807907104,0.0,0.0
0,2,3.0.weight,0.9999992847442627,0.0,0.0
0,2,4.0.bias,1.0,0.0,0.0
0,2,4.0.weight,0.9999997019767761,0.0,0.0
0,2,5.bias,1.000000238418579,0.0,0.0
0,2,5.weight,1.0000001192092896,0.0,0.0
1,0,0.0.bias,1.0000001192092896,0.0,0.0
1,0,0.0.weight,0.9999998807907104,0.0,0.0
1,0,1.0.bias,1.0,0.0,0.0
1,0,1.0.weight,0.9999998211860657,0.0,0.0
1,0,3.0.bias,1.0,0.0,0.0
1,0,3.0.weight,0.9999997615814209,0.0,0.0
1,0,4.0.bias,0.9999999403953552,0.0,0.0
1,0,4.0.weight,1.0,0.0,0.0
1,0,5.bias,0.9999999403953552,0.0,0.0
1,0,5.weight,1.000000238418579,0.0,0.0
1,1,0.0.bias,1.0,0.0,0.0
1,1,0.0.weight,1.0000001192092896,0.0,0.0
1,1,1.0.bias,0.9999998807907104,0.0,0.0
1,1,1.0.weight,0.9999998807907104,0.0,0.0
1,1,3.0.bias,1.0,0.0,0.0
1,1,3.0.weight,0.9999995827674866,0.0,0.0
1,1,4.0.bias,0.9999998807907104,0.0,0.0
1,1,4.0.weight,1.000000238418579,0.0,0.0
1,1,5.bias,1.0,0.0,0.0
1,1,5.weight,1.0,0.0,0.0
1,2,0.0.bias,1.0,0.0,0.0
1,2,0.0.weight,1.0000001192092896,0.0,0.0
1,2,1.0.bias,1.0,0.0,0.0
1,2,1.0.weight,1.0000001192092896,0.0,0.0
1,2,3.0.bias,1.0000001192092896,0.0,0.0
1,2,3.0.weight,0.9999996423721313,0.0,0.0
1,2,4.0.bias,1.0000001192092896,0.0,0.0
1,2,4.0.weight,1.000000238418579,0.0,0.0
1,2,5.bias,1.0,0.0,0.0
1,2,5.weight,1.0,0.0,0.0
2,0,0.0.bias,1.0,0.0,0.0
2,0,0.0.weight,0.9999999403953552,0.0,0.0
2,0,1.0.bias,1.000000238418579,0.0,0.0
2,0,1.0.weight,1.0000001192092896,0.0,0.0
2,0,3.0.bias,1.0,0.0,0.0
2,0,3.0.weight,0.9999995231628418,0.0,0.0
2,0,4.0.bias,1.0000001192092896,0.0,0.0
2,0,4.0.weight,1.0,0.0,0.0
2,0,5.bias,0.9999998807907104,0.0,0.0
2,0,5.weight,1.0000001192092896,0.0,0.0
2,1,0.0.bias,0.9999999403953552,0.0,0.0
2,1,0.0.weight,1.0,0.0,0.0
2,1,1.0.bias,1.0,0.0,0.0
2,1,1.0.weight,1.0,0.0,0.0
2,1,3.0.bias,0.9999998807907104,0.0,0.0
2,1,3.0.weight,1.0000011920928955,0.0,0.0
2,1,4.0.bias,1.0000001192092896,0.0,0.0
2,1,4.0.weight,0.9999996423721313,0.0,0.0
2,1,5.bias,0.9999999403953552,0.0,0.0
2,1,5.weight,0.9999998211860657,0.0,0.0
2,2,0.0.bias,1.0,0.0,0.0
2,2,0.0.weight,0.9999998807907104,0.0,0.0
2,2,1.0.bias,1.0,0.0,0.0
2,2,1.0.weight,1.0,0.0,0.0
2,2,3.0.bias,0.9999998807907104,0.0,0.0
2,2,3.0.weight,1.0000005960464478,0.0,0.0
2,2,4.0.bias,1.0000001192092896,0.0,0.0
2,2,4.0.weight,1.0000004768371582,0.0,0.0
2,2,5.bias,1.0,0.0,0.0
2,2,5.weight,1.0000001192092896,0.0,0.0
