model_seed,batch_index,parameter,cosine,relative_l2,max_abs
0,0,0.0.bias,0.9999999403953552,7.247465819246511e-05,1.423526555299759e-06
0,0,0.0.weight,0.9999998807907104,9.351291008725996e-05,5.858601070940495e-07
0,0,1.0.bias,1.0,1.8323199548948584e-05,2.2724270820617676e-07
0,0,1.0.weight,1.0000001192092896,1.896656137468827e-05,1.30385160446167e-07
0,0,3.0.bias,1.0,3.539679912863411e-06,5.587935447692871e-08
0,0,3.0.weight,0.9999998211860657,3.458674574180281e-06,1.909211277961731e-08
0,0,4.0.bias,1.0,1.7504159345866669e-06,5.471520125865936e-08
0,0,4.0.weight,1.0000001192092896,1.539256112442839e-06,1.0157236829400063e-08
0,0,5.bias,1.0,0.0,0.0
0,0,5.weight,1.0,0.0,0.0
0,1,0.0.bias,0.9999999403953552,9.708423757543135e-05,8.204951882362366e-07
0,1,0.0.weight,1.000000238418579,0.0001404352484037027,5.860347300767899e-07
0,1,1.0.bias,0.9999999403953552,2.4966861555969933e-05,2.873130142688751e-07
0,1,1.0.weight,1.0,2.1953184909974456e-05,1.2863893061876297e-07
0,1,3.0.bias,1.0000001192092896,4.688718569814423e-06,4.7963112592697144e-08
0,1,3.0.weight,1.0000009536743164,3.8140099595822785e-06,1.996522769331932e-08
0,1,4.0.bias,1.000000238418579,2.0587350882454614e-06,7.217749953269958e-08
0,1,4.0.weight,1.0000005960464478,1.6985706771908888e-06,1.3737007975578308e-08
0,1,5.bias,1.0000001192092896,0.0,0.0
0,1,5.weight,1.0000001192092896,0.0,0.0
0,2,0.0.bias,1.0,5.966684459650351e-05,5.736947059631348e-07
0,2,0.0.weight,1.0,0.00011326777053796664,5.84055669605732e-07
0,2,1.0.bias,1.0,1.732541169705391e-05,1.8905848264694214e-07
0,2,1.0.weight,1.0000003576278687,1.959397242304718e-05,1.0058283805847168e-07
0,2,3.0.bias,0.9999999403953552,6.238266335449393e-06,5.075708031654358e-08
0,2,3.0.weight,0.9999992847442627,4.9804629679281025e-06,1.7811544239521027e-08
0,2,4.0.bias,1.0000001192092896,2.204389154698155e-06,3.3993273973464966e-08
0,2,4.0.weight,0.9999997615814209,1.6635430449769105e-06,6.28642737865448e-09
0,2,5.bias,1.000000238418579,0.0,0.0
0,2,5.weight,1.0000001192092896,0.0,0.0
1,0,0.0.bias,0.9999998807907104,5.424374721330929e-05,5.904585123062134e-07
1,0,0.0.weight,1.0,8.510295962187197e-05,6.37490302324295e-07
1,0,1.0.bias,1.0,1.7540688989132624e-05,2.942979335784912e-07
1,0,1.0.weight,0.9999998211860657,1.4644015415541032e-05,1.4016404747962952e-07
1,0,3.0.bias,1.0,3.1796180198046142e-06,4.691537469625473e-08
1,0,3.0.weight,0.9999995827674866,2.936692671214764e-06,1.816079020500183e-08
1,0,4.0.bias,1.0,1.4936766726658237e-06,5.774199962615967e-08
1,0,4.0.weight,0.9999998211860657,1.3148246348712533e-06,7.916241884231567e-09
1,0,5.bias,0.9999999403953552,0.0,0.0
1,0,5.weight,1.000000238418579,0.0,0.0
1,1,0.0.bias,1.0000001192092896,6.893635444552227e-05,5.41098415851593e-07
1,1,0.0.weight,1.0,0.0001521825903643431,6.897025741636753e-07
1,1,1.0.bias,0.9999998807907104,3.0106377520560138e-05,3.9208680391311646e-07
1,1,1.0.weight,0.9999998807907104,1.9312459728959813e-05,1.234002411365509e-07
1,1,3.0.bias,1.0000001192092896,4.5853149354298985e-06,4.7031790018081665e-08
1,1,3.0.weight,0.9999997019767761,3.297653627037491e-06,1.5133991837501526e-08
1,1,4.0.bias,0.9999998807907104,1.7734505183933415e-06,3.91155481338501e-08
1,1,4.0.weight,1.0000001192092896,1.3382320991106388e-06,7.62520357966423e-09
1,1,5.bias,1.0,0.0,0.0
1,1,5.weight,1.0,0.0,0.0
1,2,0.0.bias,0.9999998807907104,0.00010603770319057481,1.0791700333356857e-06
1,2,0.0.weight,1.0000001192092896,5.876623326305484e-05,4.4121406972408295e-07
1,2,1.0.bias,1.0000001192092896,2.250388943386887e-05,2.2491440176963806e-07
1,2,1.0.weight,0.9999998807907104,1.671122747469529e-05,1.1548399925231934e-07
1,2,3.0.bias,1.0,5.2030542125857425e-06,5.634501576423645e-08
1,2,3.0.weight,0.9999995827674866,3.859669804541896e-06,1.8102582544088364e-08
1,2,4.0.bias,1.0000001192092896,1.662147703988734e-06,3.4458935260772705e-08
1,2,4.0.weight,1.0000001192092896,1.3613668567840353e-06,6.05359673500061e-09
1,2,5.bias,1.0,0.0,0.0
1,2,5.weight,1.0,0.0,0.0
2,0,0.0.bias,1.0,9.668046520103225e-05,6.128102540969849e-07
2,0,0.0.weight,0.9999999403953552,9.478508303943486e-05,3.942986950278282e-07
2,0,1.0.bias,1.0000001192092896,1.831369472262728e-05,2.2258609533309937e-07
2,0,1.0.weight,1.0,1.5706016535800342e-05,8.754432201385498e-08
2,0,3.0.bias,1.0,3.5950130197268997e-06,4.7730281949043274e-08
2,0,3.0.weight,0.9999997019767761,2.9234100141353977e-06,1.2689270079135895e-08
2,0,4.0.bias,1.0000001192092896,1.1599506993652223e-06,3.073364496231079e-08
2,0,4.0.weight,1.000000238418579,1.068908305625766e-06,6.868503987789154e-09
2,0,5.bias,0.9999998807907104,0.0,0.0
2,0,5.weight,1.0000001192092896,0.0,0.0
2,1,0.0.bias,1.0000001192092896,0.00013111719110559027,1.1832453310489655e-06
2,1,0.0.weight,0.9999999403953552,0.00011043707168574031,6.742775440216064e-07
2,1,1.0.bias,1.0,1.8433815030061725e-05,2.4493783712387085e-07
2,1,1.0.weight,1.0,1.2056078950936732e-05,7.229391485452652e-08
2,1,3.0.bias,0.9999998807907104,3.2429855444370417e-06,3.795139491558075e-08
2,1,3.0.weight,1.000001311302185,2.5695374396517615e-06,1.04482751339674e-08
2,1,4.0.bias,1.0000001192092896,1.4836163292793073e-06,3.4458935260772705e-08
2,1,4.0.weight,0.9999997615814209,1.151810277678998e-06,6.170012056827545e-09
2,1,5.bias,0.9999999403953552,0.0,0.0
2,1,5.weight,0.9999998211860657,0.0,0.0
2,2,0.0.bias,1.0,7.230905208520816e-05,6.30505383014679e-07
2,2,0.0.weight,1.0,0.00010361906835894642,6.299233064055443e-07
2,2,1.0.bias,0.9999998807907104,2.5017745428906215e-05,2.176966518163681e-07
2,2,1.0.weight,1.0,1.6149767149742874e-05,7.171183824539185e-08
2,2,3.0.bias,1.0,4.329668920373023e-06,5.797483026981354e-08
2,2,3.0.weight,1.0000004768371582,3.3359398726493294e-06,1.3664248399436474e-08
2,2,4.0.bias,1.0,1.8113256887956447e-06,4.190951585769653e-08
2,2,4.0.weight,1.0000004768371582,1.360644705713473e-06,5.471520125865936e-09
2,2,5.bias,1.0,0.0,0.0
2,2,5.weight,1.0000001192092896,0.0,0.0
