dataset,model,method,eta,inference_steps,metric,n,mean,std,ci_low,ci_high
FashionMNIST,lenet_classic,bp,,,total_training_time_sec,10,25.595381125799396,0.12971820992031663,25.50258630850045,25.68817594309834
FashionMNIST,lenet_classic,bp,,,mean_epoch_time_sec,10,2.5595381125799395,0.012971820992031705,2.550258630850045,2.568817594309834
FashionMNIST,lenet_classic,bp,,,median_epoch_time_sec,10,1.7460160855993307,0.012672598621535034,1.7369506546585973,1.7550815165400642
FashionMNIST,lenet_classic,bp,,,peak_gpu_memory_allocated_bytes,10,129994240.0,0.0,129994240.0,129994240.0
FashionMNIST,lenet_classic,bp,,,peak_gpu_memory_reserved_bytes,10,138412032.0,0.0,138412032.0,138412032.0
FashionMNIST,lenet_classic,exact,0.1,20,total_training_time_sec,10,29.69870464469968,0.1984967528539796,29.556708621729328,29.840700667670035
FashionMNIST,lenet_classic,exact,0.1,20,mean_epoch_time_sec,10,2.969870464469968,0.019849675285397966,2.9556708621729326,2.9840700667670035
FashionMNIST,lenet_classic,exact,0.1,20,median_epoch_time_sec,10,2.15048060040026,0.018519102934360605,2.1372328322234564,2.163728368577064
FashionMNIST,lenet_classic,exact,0.1,20,peak_gpu_memory_allocated_bytes,10,164927488.0,0.0,164927488.0,164927488.0
FashionMNIST,lenet_classic,exact,0.1,20,peak_gpu_memory_reserved_bytes,10,186646528.0,0.0,186646528.0,186646528.0
FashionMNIST,lenet_classic,fixedpred,0.1,10,total_training_time_sec,10,69.00502566799987,0.5415216848689207,68.61764439098646,69.39240694501329
FashionMNIST,lenet_classic,fixedpred,0.1,10,mean_epoch_time_sec,10,6.900502566799988,0.054152168486892034,6.861764439098645,6.93924069450133
FashionMNIST,lenet_classic,fixedpred,0.1,10,median_epoch_time_sec,10,6.063851781649828,0.051281217732129396,6.027167408397657,6.100536154901999
FashionMNIST,lenet_classic,fixedpred,0.1,10,peak_gpu_memory_allocated_bytes,10,160873472.0,0.0,160873472.0,160873472.0
FashionMNIST,lenet_classic,fixedpred,0.1,10,peak_gpu_memory_reserved_bytes,10,174063616.0,0.0,174063616.0,174063616.0
FashionMNIST,lenet_classic,strict,0.05,20,total_training_time_sec,10,128.11093225559998,0.8381325744431426,127.51136833033829,128.71049618086167
FashionMNIST,lenet_classic,strict,0.05,20,mean_epoch_time_sec,10,12.811093225559997,0.08381325744431418,12.751136833033828,12.871049618086166
FashionMNIST,lenet_classic,strict,0.05,20,median_epoch_time_sec,10,11.995669606100273,0.0932129705943301,11.928989063857932,12.062350148342615
FashionMNIST,lenet_classic,strict,0.05,20,peak_gpu_memory_allocated_bytes,10,156862464.0,0.0,156862464.0,156862464.0
FashionMNIST,lenet_classic,strict,0.05,20,peak_gpu_memory_reserved_bytes,10,188743680.0,0.0,188743680.0,188743680.0
MNIST,lenet_classic,bp,,,total_training_time_sec,10,25.4526626846,0.20826631175675364,25.303677940200085,25.601647428999915
MNIST,lenet_classic,bp,,,mean_epoch_time_sec,10,2.54526626846,0.02082663117567543,2.5303677940200084,2.560164742899991
MNIST,lenet_classic,bp,,,median_epoch_time_sec,10,1.7313297322505605,0.020058299770744827,1.7169808889871738,1.7456785755139472
MNIST,lenet_classic,bp,,,peak_gpu_memory_allocated_bytes,10,129994240.0,0.0,129994240.0,129994240.0
MNIST,lenet_classic,bp,,,peak_gpu_memory_reserved_bytes,10,138412032.0,0.0,138412032.0,138412032.0
MNIST,lenet_classic,exact,0.1,20,total_training_time_sec,10,29.552565628199954,0.3530455700504423,29.30001204153578,29.805119214864128
MNIST,lenet_classic,exact,0.1,20,mean_epoch_time_sec,10,2.9552565628199954,0.03530455700504416,2.930001204153578,2.980511921486413
MNIST,lenet_classic,exact,0.1,20,median_epoch_time_sec,10,2.128991287050121,0.029668137655259927,2.1077679798906184,2.150214594209624
MNIST,lenet_classic,exact,0.1,20,peak_gpu_memory_allocated_bytes,10,164927488.0,0.0,164927488.0,164927488.0
MNIST,lenet_classic,exact,0.1,20,peak_gpu_memory_reserved_bytes,10,186646528.0,0.0,186646528.0,186646528.0
MNIST,lenet_classic,fixedpred,0.1,10,total_training_time_sec,10,68.39941247699826,0.28736717084663926,68.19384238677878,68.60498256721775
MNIST,lenet_classic,fixedpred,0.1,10,mean_epoch_time_sec,10,6.8399412476998265,0.028736717084663948,6.819384238677879,6.860498256721774
MNIST,lenet_classic,fixedpred,0.1,10,median_epoch_time_sec,10,6.0058185490001055,0.03269604738465476,5.982429205704971,6.02920789229524
MNIST,lenet_classic,fixedpred,0.1,10,peak_gpu_memory_allocated_bytes,10,160873472.0,0.0,160873472.0,160873472.0
MNIST,lenet_classic,fixedpred,0.1,10,peak_gpu_memory_reserved_bytes,10,174063616.0,0.0,174063616.0,174063616.0
MNIST,lenet_classic,strict,0.05,20,total_training_time_sec,10,128.17019818540066,1.5707308547194314,127.04656502102816,129.29383134977317
MNIST,lenet_classic,strict,0.05,20,mean_epoch_time_sec,10,12.817019818540066,0.15707308547194332,12.704656502102814,12.929383134977318
MNIST,lenet_classic,strict,0.05,20,median_epoch_time_sec,10,12.006820337749923,0.15654322590972125,11.89483606000971,12.118804615490136
MNIST,lenet_classic,strict,0.05,20,peak_gpu_memory_allocated_bytes,10,156862464.0,0.0,156862464.0,156862464.0
MNIST,lenet_classic,strict,0.05,20,peak_gpu_memory_reserved_bytes,10,188743680.0,0.0,188743680.0,188743680.0
