run_id,experiment_id,status,stage,dataset,model,method,eta,inference_steps,model_seed,split_seed,config_sha256,git_commit,torch2pc_commit,run_directory,started_utc,finished_utc,test_evaluated,notes,best_epoch,epochs_completed,model_parameter_count,best_validation_metric,primary_metric,total_training_time_sec,split_files,split_sha256,environment_lock_sha256,mean_epoch_time_sec,median_epoch_time_sec,runtime_device,runtime_device_name,torch_version,hip_version,test_loss,test_accuracy,test_macro_f1,peak_gpu_memory_allocated_bytes,peak_gpu_memory_reserved_bytes
20260712T231706Z-1b821d2c,smoke-mnist-bp-s0-ce1c573b7c-c08d1503-unlocked,completed,smoke,MNIST,lenet_classic,bp,,,0,42,ce1c573b7c6acc24a8c51e901519ce74eb1b38971b188abeabd03de771e328c7,c08d1503a6e189122d088ed0d1b93bcd89224e6c,00c6c50ee3540537bbb56ab2b6567b541f42b093,results/runs/smoke-mnist-bp-s0-ce1c573b7c-c08d1503-unlocked/20260712T231706Z-1b821d2c,2026-07-12T23:17:06Z,2026-07-12T23:17:14Z,False,,1,1,61706,0.0182741116751269,macro_f1,7.195229582999673,['results/splits/MNIST_train-validation_seed42_subset1200_val0p15.npz'],{'MNIST_train-validation_seed42_subset1200_val0p15.npz': '7c4e7e06519a96f9ef6e79f63e5703a118fa37e5859e9b5ac943c683d9df09b4'},,,,,,,,,,,,
20260713T000145Z-eddfea47,pilot-fashionmnist-bp-s40-5051a3723e-6313c899-91107ec7,completed,pilot,FashionMNIST,lenet_classic,bp,,,40,42,5051a3723ebc026e27b660c9e412d1000cae1529ae7b6df916f884f35322adea,6313c8995a3317de03806ea80576a7f779ee9823,00c6c50ee3540537bbb56ab2b6567b541f42b093,results/runs/pilot-fashionmnist-bp-s40-5051a3723e-6313c899-91107ec7/20260713T000145Z-eddfea47,2026-07-13T00:01:45Z,2026-07-13T00:01:57Z,False,,3,3,61706,0.7404444189135349,macro_f1,9.893575015001261,['results/splits/FashionMNIST_train-validation_seed42_subset12000_val0p15.npz'],{'FashionMNIST_train-validation_seed42_subset12000_val0p15.npz': '705a909ed0a7aae4752aca47c7b8fd41601c9a092d68ec55459786341a44eab5'},91107ec7a29950819b7975670fb3108178688e6dc4461075a317ecc1a8681a9d,,,,,,,,,,,
20260713T000201Z-f7684ba7,pilot-fashionmnist-bp-s41-ff5e74ddbb-6313c899-91107ec7,completed,pilot,FashionMNIST,lenet_classic,bp,,,41,42,ff5e74ddbb5ae4b30f27e42571070506f0489bd7878774d040ff655b413c2dd2,6313c8995a3317de03806ea80576a7f779ee9823,00c6c50ee3540537bbb56ab2b6567b541f42b093,results/runs/pilot-fashionmnist-bp-s41-ff5e74ddbb-6313c899-91107ec7/20260713T000201Z-f7684ba7,2026-07-13T00:02:01Z,2026-07-13T00:02:12Z,False,,3,3,61706,0.7242695185288305,macro_f1,9.830549964004604,['results/splits/FashionMNIST_train-validation_seed42_subset12000_val0p15.npz'],{'FashionMNIST_train-validation_seed42_subset12000_val0p15.npz': '705a909ed0a7aae4752aca47c7b8fd41601c9a092d68ec55459786341a44eab5'},91107ec7a29950819b7975670fb3108178688e6dc4461075a317ecc1a8681a9d,,,,,,,,,,,
20260713T000216Z-6f0c1505,pilot-fashionmnist-bp-s42-68db89c75f-6313c899-91107ec7,completed,pilot,FashionMNIST,lenet_classic,bp,,,42,42,68db89c75f1311473bdb185ba35a3e24e147b1e502cd8fecc9fb0508069ed754,6313c8995a3317de03806ea80576a7f779ee9823,00c6c50ee3540537bbb56ab2b6567b541f42b093,results/runs/pilot-fashionmnist-bp-s42-68db89c75f-6313c899-91107ec7/20260713T000216Z-6f0c1505,2026-07-13T00:02:16Z,2026-07-13T00:02:28Z,False,,3,3,61706,0.7251045837036072,macro_f1,9.80139794599745,['results/splits/FashionMNIST_train-validation_seed42_subset12000_val0p15.npz'],{'FashionMNIST_train-validation_seed42_subset12000_val0p15.npz': '705a909ed0a7aae4752aca47c7b8fd41601c9a092d68ec55459786341a44eab5'},91107ec7a29950819b7975670fb3108178688e6dc4461075a317ecc1a8681a9d,,,,,,,,,,,
20260713T000232Z-7b0cdae2,pilot-fashionmnist-fixedpred-s40-0735372eed-6313c899-91107ec7,completed,pilot,FashionMNIST,lenet_classic,fixedpred,0.1,1,40,42,0735372eed6ed7d7cee1b7650a8eb65f7825a2b9bc57f1ff484d18a0f4eae716,6313c8995a3317de03806ea80576a7f779ee9823,00c6c50ee3540537bbb56ab2b6567b541f42b093,results/runs/pilot-fashionmnist-fixedpred-s40-0735372eed-6313c899-91107ec7/20260713T000232Z-7b0cdae2,2026-07-13T00:02:32Z,2026-07-13T00:02:44Z,False,,3,3,61706,0.4972053591651959,macro_f1,10.40996887899746,['results/splits/FashionMNIST_train-validation_seed42_subset12000_val0p15.npz'],{'FashionMNIST_train-validation_seed42_subset12000_val0p15.npz': '705a909ed0a7aae4752aca47c7b8fd41601c9a092d68ec55459786341a44eab5'},91107ec7a29950819b7975670fb3108178688e6dc4461075a317ecc1a8681a9d,,,,,,,,,,,
20260713T000248Z-94047f7c,pilot-fashionmnist-fixedpred-s41-4b4fd4a0fd-6313c899-91107ec7,completed,pilot,FashionMNIST,lenet_classic,fixedpred,0.1,1,41,42,4b4fd4a0fd2c0276a5418d07344f7c31375483ce87065bb7f3ffbec2281b6638,6313c8995a3317de03806ea80576a7f779ee9823,00c6c50ee3540537bbb56ab2b6567b541f42b093,results/runs/pilot-fashionmnist-fixedpred-s41-4b4fd4a0fd-6313c899-91107ec7/20260713T000248Z-94047f7c,2026-07-13T00:02:48Z,2026-07-13T00:03:00Z,False,,3,3,61706,0.5316599862575557,macro_f1,10.445389344000432,['results/splits/FashionMNIST_train-validation_seed42_subset12000_val0p15.npz'],{'FashionMNIST_train-validation_seed42_subset12000_val0p15.npz': '705a909ed0a7aae4752aca47c7b8fd41601c9a092d68ec55459786341a44eab5'},91107ec7a29950819b7975670fb3108178688e6dc4461075a317ecc1a8681a9d,,,,,,,,,,,
20260713T000304Z-d6b3349b,pilot-fashionmnist-fixedpred-s42-1696e33093-6313c899-91107ec7,completed,pilot,FashionMNIST,lenet_classic,fixedpred,0.1,1,42,42,1696e33093fff149bb5358364cac1a1a3792d430fee9fe896d5ba4a4ec9e5503,6313c8995a3317de03806ea80576a7f779ee9823,00c6c50ee3540537bbb56ab2b6567b541f42b093,results/runs/pilot-fashionmnist-fixedpred-s42-1696e33093-6313c899-91107ec7/20260713T000304Z-d6b3349b,2026-07-13T00:03:04Z,2026-07-13T00:03:16Z,False,,3,3,61706,0.43477184953968295,macro_f1,10.501804045001336,['results/splits/FashionMNIST_train-validation_seed42_subset12000_val0p15.npz'],{'FashionMNIST_train-validation_seed42_subset12000_val0p15.npz': '705a909ed0a7aae4752aca47c7b8fd41601c9a092d68ec55459786341a44eab5'},91107ec7a29950819b7975670fb3108178688e6dc4461075a317ecc1a8681a9d,,,,,,,,,,,
20260713T000321Z-912393ed,pilot-fashionmnist-fixedpred-s40-9c8d773852-6313c899-91107ec7,completed,pilot,FashionMNIST,lenet_classic,fixedpred,0.1,5,40,42,9c8d77385226e40b7f50489d705095f84580a3de9b13268cfcfa0340cf859de6,6313c8995a3317de03806ea80576a7f779ee9823,00c6c50ee3540537bbb56ab2b6567b541f42b093,results/runs/pilot-fashionmnist-fixedpred-s40-9c8d773852-6313c899-91107ec7/20260713T000321Z-912393ed,2026-07-13T00:03:21Z,2026-07-13T00:03:34Z,False,,3,3,61706,0.7328672373170443,macro_f1,11.489757708004618,['results/splits/FashionMNIST_train-validation_seed42_subset12000_val0p15.npz'],{'FashionMNIST_train-validation_seed42_subset12000_val0p15.npz': '705a909ed0a7aae4752aca47c7b8fd41601c9a092d68ec55459786341a44eab5'},91107ec7a29950819b7975670fb3108178688e6dc4461075a317ecc1a8681a9d,,,,,,,,,,,
20260713T000338Z-b08123ec,pilot-fashionmnist-fixedpred-s41-fe05f20df9-6313c899-91107ec7,completed,pilot,FashionMNIST,lenet_classic,fixedpred,0.1,5,41,42,fe05f20df9ef0b4f461c594803e2815d7269b4c598d064903a80c33fbb6dd0d5,6313c8995a3317de03806ea80576a7f779ee9823,00c6c50ee3540537bbb56ab2b6567b541f42b093,results/runs/pilot-fashionmnist-fixedpred-s41-fe05f20df9-6313c899-91107ec7/20260713T000338Z-b08123ec,2026-07-13T00:03:38Z,2026-07-13T00:03:51Z,False,,3,3,61706,0.7224157086001508,macro_f1,11.458613214999787,['results/splits/FashionMNIST_train-validation_seed42_subset12000_val0p15.npz'],{'FashionMNIST_train-validation_seed42_subset12000_val0p15.npz': '705a909ed0a7aae4752aca47c7b8fd41601c9a092d68ec55459786341a44eab5'},91107ec7a29950819b7975670fb3108178688e6dc4461075a317ecc1a8681a9d,,,,,,,,,,,
20260713T000355Z-a4ca207a,pilot-fashionmnist-fixedpred-s42-939d56eb19-6313c899-91107ec7,completed,pilot,FashionMNIST,lenet_classic,fixedpred,0.1,5,42,42,939d56eb197c71fe47f24896ebfbcacb3fa737bde2819a35c2e0e810c9f4c08f,6313c8995a3317de03806ea80576a7f779ee9823,00c6c50ee3540537bbb56ab2b6567b541f42b093,results/runs/pilot-fashionmnist-fixedpred-s42-939d56eb19-6313c899-91107ec7/20260713T000355Z-a4ca207a,2026-07-13T00:03:55Z,2026-07-13T00:04:08Z,False,,3,3,61706,0.716595029185513,macro_f1,11.382229432998429,['results/splits/FashionMNIST_train-validation_seed42_subset12000_val0p15.npz'],{'FashionMNIST_train-validation_seed42_subset12000_val0p15.npz': '705a909ed0a7aae4752aca47c7b8fd41601c9a092d68ec55459786341a44eab5'},91107ec7a29950819b7975670fb3108178688e6dc4461075a317ecc1a8681a9d,,,,,,,,,,,
